date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,3333.3333333333326,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2021-03-10,3333.3333333333326,-0.0,6877.406820391614,10210.740153724946,0.0,0.0,0.0,0.0
2021-03-17,3407.7914898139393,-3453.8069507318683,10407.436313113532,10361.420852195602,0.0,0.0,0.0,0.0
2021-03-24,6936.997945311761,-6849.649720419933,10187.12635573807,10274.474580629898,0.0,0.0,0.0,0.0
2021-03-31,10351.693841723496,-10380.551752055715,10377.556643607022,10348.698733274803,0.0,0.0,0.0,0.0
2021-04-07,3433.2070544425837,-3433.207054442583,10413.56601032278,10413.566010322782,0.0,0.0,0.0,0.0
2021-04-14,3477.039378536583,-3436.0011191867884,10479.033970792188,10520.072230141983,0.0,0.0,0.0,0.0
2021-04-21,7013.655702278218,-6892.0258863323925,10564.967866330422,10686.597682276248,0.0,0.0,0.0,0.0
2021-04-28,3569.7396355846636,-3569.73963558466,10709.21890675398,10709.218906753984,0.0,0.0,0.0,0.0
2021-05-05,10673.525484713286,-10644.583715567183,10615.641946421083,10644.583715567185,0.0,0.0,0.0,0.0
2021-05-12,10775.684914735868,-10511.80081367721,10383.139043214753,10647.023144273411,0.0,0.0,0.0,0.0
2021-05-19,10582.638931344929,-10648.567546876939,10664.075327814606,10598.146712282596,0.0,0.0,0.0,0.0
2021-05-26,10525.935678608836,-10615.08045388294,10563.84527560472,10474.700500330617,0.0,0.0,0.0,0.0
2021-06-02,10624.12390589252,-10538.009818666565,10777.469599550095,10863.58368677605,0.0,0.0,0.0,0.0
2021-06-09,10659.472428075758,-10598.697071450471,10768.519153544428,10829.294510169715,0.0,0.0,0.0,0.0
2021-06-16,10739.473033672366,-10727.764122360515,10716.055211048664,10727.764122360515,0.0,0.0,0.0,0.0
2021-06-23,10575.528151635423,-10556.559454189703,10584.90329860872,10603.87199605444,0.0,0.0,0.0,0.0
2021-06-30,10717.306665430924,-10701.893192949557,10639.86716689806,10655.280639379427,0.0,0.0,0.0,0.0
2021-07-07,3663.809006408738,-3547.7864327870043,10527.336724739276,10643.35929836101,0.0,0.0,0.0,0.0
2021-07-14,7243.520956302666,-7025.539454087093,10468.836937860824,10686.818440076397,0.0,0.0,0.0,0.0
2021-07-21,10805.006707244851,-10490.564272708032,10370.347120594652,10684.78955513147,0.0,0.0,0.0,0.0
2021-07-28,10903.094794399536,-10683.829530254823,10476.245340782982,10695.510604927695,0.0,0.0,0.0,0.0
2021-08-04,3550.4079474212454,-3550.40794742125,10651.22384226375,10651.223842263746,0.0,0.0,0.0,0.0
2021-08-11,10759.609780520492,-10754.34441063411,10749.079040747733,10754.344410634114,0.0,0.0,0.0,0.0
2021-08-18,10909.469988309078,-10773.649549532696,10633.536128776219,10769.3565675526,0.0,0.0,0.0,0.0
2021-08-25,7320.585701447842,-7320.585701447842,10844.363195402104,10844.363195402104,0.0,0.0,0.0,0.0
2021-09-01,10763.0467099044,-10841.724162648477,10920.401615392559,10841.724162648481,0.0,0.0,0.0,0.0
2021-09-08,11041.620821271494,-11019.760717718258,10997.900614165024,11019.76071771826,0.0,0.0,0.0,0.0
2021-09-15,11310.313707570089,-11105.761229383685,10901.20875119728,11105.761229383685,0.0,0.0,0.0,0.0
2021-09-22,11297.300761004175,-11012.428433054742,10790.891303903834,11075.763631853268,0.0,0.0,0.0,0.0
2021-09-29,11083.361490386487,-11083.361490386487,11083.212598661266,11083.212598661266,0.0,0.0,0.0,0.0
2021-10-06,11174.510470174842,-11203.754208711964,11232.997947249085,11203.754208711964,0.0,0.0,0.0,0.0
2021-10-13,11343.010648794387,-11287.203833254533,11213.448039260462,11269.254854800316,0.0,0.0,0.0,0.0
2021-10-20,3603.7678088094726,-0.0,7613.236640965073,11217.004449774546,0.0,0.0,0.0,0.0
2021-10-27,3611.618065986304,-3693.481378092278,11162.307446382809,11080.444134276835,0.0,0.0,0.0,0.0
2021-11-03,3611.618065986304,-3736.9940049303123,11261.640827719166,11136.264888775157,0.0,0.0,0.0,0.0
2021-11-10,11001.394287647041,-11103.162312029988,11186.432356874051,11084.664332491104,0.0,0.0,0.0,0.0
2021-11-17,10953.173439468406,-11041.595398296206,11173.409096662166,11084.987137834367,0.0,0.0,0.0,0.0
2021-11-24,10976.966571406847,-11014.629572835756,11052.292574264668,11014.629572835758,0.0,0.0,0.0,0.0
2021-12-01,11087.028427587404,-10848.850827154729,10749.19483527841,10987.372435711084,0.0,0.0,0.0,0.0
2021-12-08,10690.56147247255,-10978.84935570055,11267.137238928548,10978.849355700548,0.0,0.0,0.0,0.0
2021-12-15,10676.807645345267,-10804.201227702073,11005.646476355589,10878.252893998782,0.0,0.0,0.0,0.0
2021-12-22,10847.765391522296,-10759.640015735815,10746.651443566629,10834.77681935311,0.0,0.0,0.0,0.0
2021-12-29,3636.5956179282152,-3662.2465167466435,10861.519789832179,10835.86889101375,0.0,0.0,0.0,0.0
2022-01-05,10742.92809488556,-10871.718279833434,11000.50846478131,10871.718279833434,0.0,0.0,0.0,0.0
2022-01-12,11245.772876461293,-11061.074611033097,10905.329837677025,11090.028103105222,0.0,0.0,0.0,0.0
2022-01-19,11243.158876118867,-10900.1412971136,10585.213763674361,10928.231342679628,0.0,0.0,0.0,0.0
2022-01-26,11174.800092715841,-10567.45960859407,10447.237298682923,11054.577782804694,0.0,0.0,0.0,0.0
2022-02-02,11332.69950896367,-11074.991668929715,10622.575441300218,10880.283281334172,0.0,0.0,0.0,0.0
2022-02-09,3422.9219466930754,-3422.921946693078,11308.480612332145,11308.480612332143,0.0,0.0,0.0,0.0
2022-02-16,10837.527684145913,-10764.789653229458,11087.94404432546,11160.682075241915,0.0,0.0,0.0,0.0
2022-02-23,11418.2684873541,-11084.008522591032,10818.305192027092,11152.56515679016,0.0,0.0,0.0,0.0
2022-03-02,11229.644068143638,-11220.345564330511,11211.047060517385,11220.345564330511,0.0,0.0,0.0,0.0
2022-03-09,11301.03321550307,-11008.027589035282,10777.097090317686,11070.102716785474,0.0,0.0,0.0,0.0
2022-03-16,11505.599696746689,-11220.777349573274,10970.33126995818,11255.153617131595,0.0,0.0,0.0,0.0
2022-03-23,7369.114293112634,-7536.544474902103,11565.87283260998,11398.442650820512,0.0,0.0,0.0,0.0
2022-03-30,3479.4791340009697,-0.0,7916.130009538727,11395.609143539696,0.0,0.0,0.0,0.0
2022-04-06,10929.140834476371,-11174.492550713101,11419.844266949833,11174.492550713103,0.0,0.0,0.0,0.0
2022-04-13,11407.268552855181,-11378.300389248472,11486.946906722653,11515.915070329362,0.0,0.0,0.0,0.0
2022-04-20,11602.882668684531,-11520.643327691336,11638.250207910387,11720.489548903583,0.0,0.0,0.0,0.0
2022-04-27,12209.652532912398,-11821.316645177547,11432.980757442689,11821.31664517754,0.0,0.0,0.0,0.0
2022-05-04,11808.423960565167,-11917.43782902325,11861.390916967133,11752.37704850905,0.0,0.0,0.0,0.0
2022-05-11,11808.423960565167,-10924.39822337721,10977.167293668825,11861.193030856783,0.0,0.0,0.0,0.0
2022-05-18,11393.065134634251,-11000.152540423094,11457.610815906663,11850.52341011782,0.0,0.0,0.0,0.0
2022-05-25,11603.03092761533,-11422.130301879552,11578.392516055745,11759.293141791522,0.0,0.0,0.0,0.0
2022-06-01,3834.0001305639526,-3880.6224887681556,11688.489824508672,11641.86746630447,0.0,0.0,0.0,0.0
2022-06-08,3814.2148741667456,-0.0,7849.814758679442,11664.029632846188,0.0,0.0,0.0,0.0
2022-06-15,11227.331189463268,-11081.164709246874,10934.998229030482,11081.164709246876,0.0,0.0,0.0,0.0
2022-06-22,11890.708543051582,-11281.199114950563,10849.609896474238,11459.119324575257,0.0,0.0,0.0,0.0
2022-06-29,11236.62260496494,-11236.034263563786,11308.146262445389,11308.734603846542,0.0,0.0,0.0,0.0
2022-07-06,7443.491831961612,-7370.117315599386,11431.07178075041,11504.446297112636,0.0,0.0,0.0,0.0
2022-07-13,11366.1416912559,-11412.472495191227,11458.803299126552,11412.472495191225,0.0,0.0,0.0,0.0
2022-07-20,11231.804070930895,-11478.318338185965,11768.75322895745,11522.23896170238,0.0,0.0,0.0,0.0
2022-07-27,3391.2386592364733,-0.0,8097.919487314453,11489.158146550926,0.0,0.0,0.0,0.0
2022-08-03,3532.023027195284,-0.0,8014.448920042852,11546.471947238137,0.0,0.0,0.0,0.0
2022-08-10,3601.330971803127,-0.0,8122.14966127458,11723.480633077706,0.0,0.0,0.0,0.0
2022-08-17,32.30588711570363,-0.0,11819.875320389221,11852.181207504924,0.0,0.0,0.0,0.0
2022-08-24,11437.459037570838,-11390.778235397687,11344.097433224537,11390.778235397687,0.0,0.0,0.0,0.0
2022-08-31,11669.03602389933,-11269.406344734274,11016.291153255339,11415.920832420396,0.0,0.0,0.0,0.0
2022-09-07,11659.610601905291,-11355.092169017216,11224.745726327576,11529.26415921565,0.0,0.0,0.0,0.0
2022-09-14,11689.388295843044,-11689.388295843042,11689.388295843042,11689.388295843044,0.0,0.0,0.0,0.0
2022-09-21,11987.38614815058,-11464.394413489445,11276.475606764252,11799.467341425387,0.0,0.0,0.0,0.0
2022-09-28,11719.706619802259,-11602.00086565562,11729.430214012938,11847.135968159577,0.0,0.0,0.0,0.0
2022-10-05,11692.691682702492,-11773.533507891627,11735.445161303194,11654.60333611406,0.0,0.0,0.0,0.0
2022-10-12,11875.261294445903,-11356.9510419618,11099.33515886059,11617.645411344693,0.0,0.0,0.0,0.0
2022-10-19,11710.869718473878,-11500.54271129788,11527.09800549755,11737.425012673548,0.0,0.0,0.0,0.0
2022-10-26,-133.02545468443986,-0.0,11873.298209129778,11740.272754445337,0.0,0.0,0.0,0.0
2022-11-02,7978.184991842954,-7718.320645330292,11317.616621482775,11577.480967995438,0.0,0.0,0.0,0.0
