date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2021-03-10,3333.3333333333326,-0.0,6846.8569291251515,10180.190262458484,0.0,0.0,0.0,0.0
2021-03-17,3480.6824152838403,-3480.6824152838412,10442.047245851523,10442.047245851521,0.0,0.0,0.0,0.0
2021-03-24,7088.7542875407,-6961.840800555932,10315.847713849129,10442.761200833897,0.0,0.0,0.0,0.0
2021-03-31,10599.638395688231,-10642.562437617229,10664.579914574882,10621.655872645884,0.0,0.0,0.0,0.0
2021-04-07,3050.151997648086,-3464.417508601119,10807.518036756393,10393.25252580336,0.0,0.0,0.0,0.0
2021-04-14,3050.151997648086,-3467.236973511476,10955.319156684393,10538.234180821002,0.0,0.0,0.0,0.0
2021-04-21,6844.282741427725,-6910.8765777958,10718.931649001735,10652.337812633661,0.0,0.0,0.0,0.0
2021-04-28,3468.5243680134904,-3540.8845343142507,10695.013769243511,10622.653602942752,0.0,0.0,0.0,0.0
2021-05-05,10573.745951698704,-10657.832375527822,10741.91879935694,10657.832375527822,0.0,0.0,0.0,0.0
2021-05-12,10738.370671462617,-10588.125876843787,10676.360036297225,10826.604830916054,0.0,0.0,0.0,0.0
2021-05-19,10656.33046911997,-10852.55100964745,11006.933690489897,10810.713149962417,0.0,0.0,0.0,0.0
2021-05-26,10404.945918280173,-10515.77637240554,10626.606826530908,10515.77637240554,0.0,0.0,0.0,0.0
2021-06-02,10182.190987295937,-10382.50930050467,10582.827613713403,10382.509300504671,0.0,0.0,0.0,0.0
2021-06-09,10182.190987295937,-10444.338585995894,10548.917431737162,10286.769833037204,0.0,0.0,0.0,0.0
2021-06-16,10039.145805303608,-10219.065990953492,10393.487941794783,10213.5677561449,0.0,0.0,0.0,0.0
2021-06-23,9926.445349790176,-10058.970322231648,10327.945149055637,10195.420176614165,0.0,0.0,0.0,0.0
2021-06-30,9938.621854722809,-10146.988930450132,10278.835543988898,10070.468468261575,0.0,0.0,0.0,0.0
2021-07-07,3086.9694780461073,-3243.412435944649,10494.962824244805,10338.519866346263,0.0,0.0,0.0,0.0
2021-07-14,6564.153896265887,-6622.952021974037,10429.222729362386,10370.424603654235,0.0,0.0,0.0,0.0
2021-07-21,10494.496939368271,-10314.20077438877,10091.586633675639,10271.88279865514,0.0,0.0,0.0,0.0
2021-07-28,10288.843174627964,-10346.714729385616,10405.087759437592,10347.21620467994,0.0,0.0,0.0,0.0
2021-08-04,3528.317872725851,-3499.115127782072,10468.142638402433,10497.345383346212,0.0,0.0,0.0,0.0
2021-08-11,10777.004326315862,-10814.71100662004,10852.41768692422,10814.711006620042,0.0,0.0,0.0,0.0
2021-08-18,10777.004326315862,-10683.643790350407,10537.455056146011,10630.815592111467,0.0,0.0,0.0,0.0
2021-08-25,7037.924151119309,-7165.591562917161,10774.67151642783,10647.004104629978,0.0,0.0,0.0,0.0
2021-09-01,10454.276049660395,-10553.263441355979,10652.250833051567,10553.263441355983,0.0,0.0,0.0,0.0
2021-09-08,10594.649213332592,-10601.13934444604,10633.746652760085,10627.256521646637,0.0,0.0,0.0,0.0
2021-09-15,10737.735955691162,-10802.993899379697,11064.745332031012,10999.487388342477,0.0,0.0,0.0,0.0
2021-09-22,10836.760851605228,-10656.032161549521,10828.123722822294,11008.852412878,0.0,0.0,0.0,0.0
2021-09-29,10619.243676582973,-10745.131721445709,11529.30958266796,11403.421537805225,0.0,0.0,0.0,0.0
