date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2025-01-08,10128.13152354891,-10107.719343002556,10087.307162456202,10107.719343002555,0.0,0.0,0.0,0.0
2025-01-15,9971.869441109753,-10044.24233946439,10156.507296325206,10084.134397970569,0.0,0.0,0.0,0.0
2025-01-22,3126.6217353273096,-3362.273144079682,10251.35337431273,10015.701965560358,0.0,0.0,0.0,0.0
2025-01-29,2951.9275690259797,-0.0,6915.661518667366,9867.589087693346,0.0,0.0,0.0,0.0
2025-02-05,9773.68705236229,-9926.994182410921,10080.301312459553,9926.994182410921,0.0,0.0,0.0,0.0
2025-02-12,9919.078529217895,-9869.615554777378,9894.99778753634,9944.460761976858,0.0,0.0,0.0,0.0
2025-02-19,6552.593232776229,-6608.021896239291,10079.419456563503,10023.990793100442,0.0,0.0,0.0,0.0
2025-02-26,10117.442832938186,-10020.328128596442,9923.213424254704,10020.328128596448,0.0,0.0,0.0,0.0
2025-03-05,10268.762063315666,-10021.775201772589,9777.486131202097,10024.472992745174,0.0,0.0,0.0,0.0
2025-03-12,10563.94381574558,-10078.6449145395,9853.492169292991,10338.791070499072,0.0,0.0,0.0,0.0
2025-03-19,10337.050254554708,-10282.372392394853,10080.91800059857,10135.595862758426,0.0,0.0,0.0,0.0
2025-03-26,10277.318150342076,-10261.579051715466,10189.817294232687,10205.556392859298,0.0,0.0,0.0,0.0
2025-04-02,10300.717494968601,-10185.845380790623,9993.539431465942,10108.411545643921,0.0,0.0,0.0,0.0
2025-04-09,10329.01281673098,-9884.018859079993,9588.375232283757,10033.369189934743,0.0,0.0,0.0,0.0
2025-04-16,10187.331399661332,-10187.331399661332,10603.571234900262,10603.571234900262,0.0,0.0,0.0,0.0
2025-04-23,3456.279304997866,-0.0,7253.983999196624,10710.26330419449,0.0,0.0,0.0,0.0
2025-04-30,33.526390496915155,-0.0,10777.058858904384,10810.585249401298,0.0,0.0,0.0,0.0
2025-05-07,67.77447199988546,-0.0,10852.20719959847,10919.981671598354,0.0,0.0,0.0,0.0
2025-05-14,11374.309146492873,-11328.624556575589,11282.939966658305,11328.624556575589,0.0,0.0,0.0,0.0
2025-05-21,7643.507769168293,-7637.600943604892,11106.642152349435,11112.548977912837,0.0,0.0,0.0,0.0
2025-05-28,11398.223492205885,-11385.052885562056,11087.824285032899,11100.994891676728,0.0,0.0,0.0,0.0
2025-06-04,11279.430485371218,-11301.55021713533,11166.926062276105,11144.806330511994,0.0,0.0,0.0,0.0
2025-06-11,7630.597989682694,-7582.407075537375,11325.419699160746,11373.610613306064,0.0,0.0,0.0,0.0
2025-06-18,11335.745778402852,-11292.403146643062,11233.056730350787,11276.399362110576,0.0,0.0,0.0,0.0
2025-06-25,11044.667623904186,-11129.078299140416,11120.039900172673,11035.629224936443,0.0,0.0,0.0,0.0
2025-07-02,11188.211982638011,-11225.025217562656,11373.08859583663,11336.275360911986,0.0,0.0,0.0,0.0
2025-07-09,11275.914274954423,-11314.309622846227,11416.557556900285,11378.16220900848,0.0,0.0,0.0,0.0
2025-07-16,7631.802215379901,-7574.595710766326,11354.586894774844,11411.793399388418,0.0,0.0,0.0,0.0
2025-07-23,3962.006201264925,-3831.670974039193,11374.478681345416,11504.813908571148,0.0,0.0,0.0,0.0
2025-07-30,11629.630707783248,-11492.720417482455,11355.810127181661,11492.720417482455,0.0,0.0,0.0,0.0
2025-08-06,11808.558773993822,-11469.496017758882,11276.408106659303,11615.470862894243,0.0,0.0,0.0,0.0
2025-08-13,11529.974192099107,-11556.701815896755,11688.151512299217,11661.42388850157,0.0,0.0,0.0,0.0
2025-08-20,7617.010679517887,-7617.010679517886,11425.51601927683,11425.51601927683,0.0,0.0,0.0,0.0
2025-08-27,7614.131398408106,-7647.529968506369,11668.479990948375,11635.081420850112,0.0,0.0,0.0,0.0
2025-09-03,11426.901663339082,-11439.181785772507,11605.424403805031,11593.144281371606,0.0,0.0,0.0,0.0
2025-09-10,11351.856670511672,-11406.940156682047,11555.495081578696,11500.41159540832,0.0,0.0,0.0,0.0
2025-09-17,11661.858981316873,-11660.048997870974,11658.239014425078,11660.048997870977,0.0,0.0,0.0,0.0
2025-09-24,11594.154179204344,-11587.344245723278,11669.152551050827,11675.962484531894,0.0,0.0,0.0,0.0
2025-10-01,11630.131958957554,-11627.187678102746,11871.14948451335,11874.093765368158,0.0,0.0,0.0,0.0
2025-10-08,11815.954958994796,-11828.374895447361,11800.077547117322,11787.657610664757,0.0,0.0,0.0,0.0
2025-10-15,11707.780953506453,-11695.663961287166,11593.608505876666,11605.725498095953,0.0,0.0,0.0,0.0
2025-10-22,11707.60519445737,-11707.605194457374,11766.729174952769,11766.729174952765,0.0,0.0,0.0,0.0
2025-10-29,11914.215303247784,-12069.40989592544,12224.604488603096,12069.409895925439,0.0,0.0,0.0,0.0
2025-11-05,12016.973298296156,-12075.34539269774,12128.287303269784,12069.9152088682,0.0,0.0,0.0,0.0
2025-11-12,11943.563215357039,-12085.055622416638,12127.936141140097,11986.443734080498,0.0,0.0,0.0,0.0
2025-11-19,11859.88997485502,-11766.232792004132,11639.390329639284,11733.047512490171,0.0,0.0,0.0,0.0
2025-11-26,11833.64593022337,-11813.179633407828,11737.182568299533,11757.648865115076,0.0,0.0,0.0,0.0
2025-12-03,7731.883620122195,-7873.553404032347,11951.999889958679,11810.330106048526,0.0,0.0,0.0,0.0
2025-12-10,11862.193625761549,-11891.278669308405,12105.096592812512,12076.011549265655,0.0,0.0,0.0,0.0
2025-12-17,11853.374131266966,-11853.374131266966,11909.570872667198,11909.570872667198,0.0,0.0,0.0,0.0
2025-12-24,12078.089436894377,-12057.568277615599,12317.305714167138,12337.826873445916,0.0,0.0,0.0,0.0
2025-12-31,12194.55856803515,-12047.013191441449,12094.97341088064,12242.518787474342,0.0,0.0,0.0,0.0
2026-01-07,12057.7738840758,-12034.048920362586,12054.81140860588,12078.536372319093,0.0,0.0,0.0,0.0
2026-01-14,11776.500153587676,-12134.689714999382,12492.879276411088,12134.689714999382,0.0,0.0,0.0,0.0
2026-01-21,11776.500153587676,-11988.56560533451,12648.025297911287,12435.959846164453,0.0,0.0,0.0,0.0
2026-01-28,12070.079766144121,-12128.525609835255,12423.148380329181,12364.702536638048,0.0,0.0,0.0,0.0
2026-02-04,12318.21500857794,-12352.022148349377,12515.78443412037,12481.977294348933,0.0,0.0,0.0,0.0
2026-02-11,12349.4901488711,-12349.490148871093,12349.490148871093,12349.4901488711,0.0,0.0,0.0,0.0
2026-02-18,12225.675606576719,-12263.191615572627,12433.154850082065,12395.638841086156,0.0,0.0,0.0,0.0
2026-02-25,8102.236048632883,-8189.494331978463,12376.514024429438,12289.255741083856,0.0,0.0,0.0,0.0
