date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,10010.857731576272,-10016.28659736441,10021.715463152546,10016.28659736441,0.0,0.0,0.0,0.0
2025-01-15,10207.346296451084,-10121.248580420757,10202.151015161566,10288.248731191892,0.0,0.0,0.0,0.0
2025-01-22,3331.8585812375313,-3331.8585812375277,10374.36547877793,10374.365478777934,0.0,0.0,0.0,0.0
2025-01-29,3370.0741407948917,-0.0,6988.430974499477,10358.505115294369,0.0,0.0,0.0,0.0
2025-02-05,10366.314328978287,-10431.806625476664,10497.298921975042,10431.806625476665,0.0,0.0,0.0,0.0
2025-02-12,10371.26465431925,-10371.26465431925,10634.934104880813,10634.934104880813,0.0,0.0,0.0,0.0
2025-02-19,6949.370262373586,-6980.077785803048,10672.507704821497,10641.800181392035,0.0,0.0,0.0,0.0
2025-02-26,10521.452075733976,-10359.410048872662,10471.388183561523,10633.430210422837,0.0,0.0,0.0,0.0
2025-03-05,10381.811291729366,-10121.856122268317,10484.58757109496,10744.54274055601,0.0,0.0,0.0,0.0
2025-03-12,10782.347807806864,-10201.537211711413,10225.7174959177,10806.52809201315,0.0,0.0,0.0,0.0
2025-03-19,10933.36154599922,-10337.096856939796,10378.923793123367,10975.188482182792,0.0,0.0,0.0,0.0
2025-03-26,11206.844720698242,-10923.13613730175,10825.771701079691,11109.480284476183,0.0,0.0,0.0,0.0
2025-04-02,11045.251653624964,-11013.398917956893,10967.628105804451,10999.480841472523,0.0,0.0,0.0,0.0
2025-04-09,10937.501841200912,-10719.62118018005,11082.032195347196,11299.912856368059,0.0,0.0,0.0,0.0
2025-04-16,10937.501841200912,-10494.813860734022,10778.667786729085,11221.355767195975,0.0,0.0,0.0,0.0
2025-04-23,322.6362595194696,-0.0,10954.794207830388,11277.430467349857,0.0,0.0,0.0,0.0
2025-04-30,154.34225936009352,-0.0,11353.402645694796,11507.74490505489,0.0,0.0,0.0,0.0
2025-05-07,7.0188753555285075,-0.0,11628.541112504514,11635.559987860042,0.0,0.0,0.0,0.0
2025-05-14,12357.649830118078,-12249.473906784346,12141.297983450613,12249.473906784346,0.0,0.0,0.0,0.0
2025-05-21,8137.208537554447,-8258.4247542051,11994.583620362233,11873.36740371158,0.0,0.0,0.0,0.0
