date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.333333333332,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,10006.22119603138,-10016.28659736441,10026.351998697437,10016.286597364407,0.0,0.0,0.0,0.0
2025-01-15,9881.632348287309,-9953.367184842691,10064.600000217713,9992.86516366233,0.0,0.0,0.0,0.0
2025-01-22,3098.3225755579742,-3331.8585812375277,10158.587727729719,9925.051722050164,0.0,0.0,0.0,0.0
2025-01-29,2925.192416419925,-0.0,6853.08666266448,9778.279079084405,0.0,0.0,0.0,0.0
2025-02-05,9685.209417875243,-9837.146379488673,9989.083341102101,9837.146379488671,0.0,0.0,0.0,0.0
2025-02-12,9829.302095005845,-9780.286940231219,9805.439304669188,9854.454459443814,0.0,0.0,0.0,0.0
2025-02-19,6493.286375675445,-6548.213498449076,9988.191797134179,9933.264674360547,0.0,0.0,0.0,0.0
2025-02-26,9774.587204992953,-9703.782506305144,9858.830463582257,9929.635162270066,0.0,0.0,0.0,0.0
2025-03-05,9788.050197712691,-9581.415894719281,9537.09448058949,9743.728783582901,0.0,0.0,0.0,0.0
2025-03-12,10027.62631483229,-9830.818392780067,9813.499202323232,10010.307124375455,0.0,0.0,0.0,0.0
2025-03-19,9903.411672958508,-10024.011156440087,10036.662580729517,9916.063097247938,0.0,0.0,0.0,0.0
2025-03-26,9922.32775316314,-9980.77772726409,10007.599714923279,9949.149740822328,0.0,0.0,0.0,0.0
2025-04-02,9719.632683607355,-9751.869359852415,9700.58822327578,9668.35154703072,0.0,0.0,0.0,0.0
2025-04-09,9883.5915552582,-9518.329315965653,9293.743533862911,9659.005773155457,0.0,0.0,0.0,0.0
2025-04-16,9861.942366538162,-9861.942366538164,10108.757068611047,10108.757068611045,0.0,0.0,0.0,0.0
2025-04-23,3371.139278214399,-0.0,6915.477852038972,10286.617130253371,0.0,0.0,0.0,0.0
2025-04-30,57.3441404528412,-0.0,10324.913425487732,10382.257565940574,0.0,0.0,0.0,0.0
2025-05-07,90.24568647844308,-0.0,10397.058272287122,10487.303958765566,0.0,0.0,0.0,0.0
2025-05-14,10967.788500770901,-11071.804581325358,11175.820661879816,11071.80458132536,0.0,0.0,0.0,0.0
2025-05-21,7250.884452574397,-7464.45649208635,11124.378409777642,10910.80637026569,0.0,0.0,0.0,0.0
2025-05-28,10884.508653456538,-11144.132786672122,11160.496735862007,10900.872602646423,0.0,0.0,0.0,0.0
2025-06-04,10656.702476685263,-11023.223695366041,11225.494251151047,10858.973032470269,0.0,0.0,0.0,0.0
2025-06-11,7120.395509140277,-7390.628848405344,11356.176611873085,11085.943272608018,0.0,0.0,0.0,0.0
2025-06-18,10970.743949330219,-11003.528390505528,11019.08314458715,10986.298703411841,0.0,0.0,0.0,0.0
2025-06-25,10713.717870727782,-10870.967772229145,10909.907777493085,10752.657875991721,0.0,0.0,0.0,0.0
2025-07-02,10953.431544006904,-10911.52502935234,10926.671184254536,10968.5776989091,0.0,0.0,0.0,0.0
2025-07-09,10984.431616634549,-10974.20835734842,11004.250603749902,11014.473863036032,0.0,0.0,0.0,0.0
2025-07-16,7381.732991886565,-7314.416231102743,10925.511555205114,10992.828315988936,0.0,0.0,0.0,0.0
2025-07-23,3793.4884301955026,-3709.1965310438504,10996.474243843522,11080.766142995175,0.0,0.0,0.0,0.0
2025-07-30,11201.894853445418,-11069.802731056314,10937.71060866721,11069.802731056314,0.0,0.0,0.0,0.0
2025-08-06,11254.853079229739,-10987.7418379182,10720.63059660666,10987.741837918198,0.0,0.0,0.0,0.0
2025-08-13,11131.158439803075,-11085.199189841826,11021.321185196794,11067.280435158043,0.0,0.0,0.0,0.0
2025-08-20,7148.474745585014,-7171.44785681076,10780.144896441885,10757.171785216138,0.0,0.0,0.0,0.0
2025-08-27,7189.259287647528,-7200.354390589405,10966.091083770873,10954.995980828997,0.0,0.0,0.0,0.0
2025-09-03,10718.33099785651,-10744.436732160186,10863.779620582452,10837.673886278777,0.0,0.0,0.0,0.0
2025-09-10,10711.319781138269,-10785.544208418825,10901.956969645327,10827.73254236477,0.0,0.0,0.0,0.0
2025-09-17,11104.41752573942,-11025.652915169485,11018.159249607104,11096.92386017704,0.0,0.0,0.0,0.0
2025-09-24,10989.893455400717,-10908.1934119343,10961.646242055056,11043.346285521473,0.0,0.0,0.0,0.0
2025-10-01,10731.704762033445,-10839.455682439058,11006.801450562012,10899.050530156399,0.0,0.0,0.0,0.0
2025-10-08,10725.425179855603,-10734.576482430964,10835.60970364729,10826.458401071928,0.0,0.0,0.0,0.0
2025-10-15,10616.9148344378,-10650.224191402565,10622.730438751201,10589.421081786437,0.0,0.0,0.0,0.0
2025-10-22,10628.46605373831,-10697.458904660023,10729.690180450854,10660.697329529141,0.0,0.0,0.0,0.0
2025-10-29,10803.732640595978,-10944.069249876533,11084.405859157087,10944.069249876531,0.0,0.0,0.0,0.0
2025-11-05,10886.278096868642,-10907.121095123954,10838.379752319983,10817.536754064671,0.0,0.0,0.0,0.0
2025-11-12,10809.457967407956,-10915.60672126574,10901.582748103843,10795.43399424606,0.0,0.0,0.0,0.0
2025-11-19,10722.956947227562,-10597.049515914923,10461.518503872987,10587.425935185625,0.0,0.0,0.0,0.0
2025-11-26,10673.175740283139,-10669.114759454504,10604.964891965781,10609.025872794417,0.0,0.0,0.0,0.0
2025-12-03,6985.104742556268,-7175.277684294288,10803.966950056469,10613.79400831845,0.0,0.0,0.0,0.0
2025-12-10,10646.304893387209,-10686.930347296216,10893.767344996631,10853.141891087624,0.0,0.0,0.0,0.0
2025-12-17,10652.717717989704,-10652.717717989706,10703.116704022723,10703.116704022721,0.0,0.0,0.0,0.0
2025-12-24,10809.087983914607,-10821.061656568074,11054.339498254747,11042.36582560128,0.0,0.0,0.0,0.0
2025-12-31,10895.914159158478,-10811.456013572288,10871.896007513416,10956.354153099606,0.0,0.0,0.0,0.0
2026-01-07,10944.930421677578,-10875.41928164083,10875.885950139425,10945.397090176173,0.0,0.0,0.0,0.0
2026-01-14,10574.756533784719,-10924.557915273503,11274.359296762283,10924.557915273499,0.0,0.0,0.0,0.0
2026-01-21,10456.946907782203,-10793.006030854203,11470.755573833927,11134.696450761927,0.0,0.0,0.0,0.0
2026-01-28,10353.20351955356,-10860.242157350056,11462.372244335622,10955.333606539127,0.0,0.0,0.0,0.0
2026-02-04,10988.693356163334,-11127.117269901959,11385.986752034238,11247.562838295613,0.0,0.0,0.0,0.0
2026-02-11,11127.12520636727,-11127.125206367264,11127.125206367262,11127.125206367267,0.0,0.0,0.0,0.0
2026-02-18,11096.959517991896,-11039.050388750886,11079.842325875596,11137.751455116606,0.0,0.0,0.0,0.0
2026-02-25,7409.63517687646,-7349.694518776116,11130.796337645053,11190.736995745398,0.0,0.0,0.0,0.0
