date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2021-03-10,3333.3333333333326,-0.0,6985.156993304243,10318.490326637575,0.0,0.0,0.0,0.0
2021-03-17,3418.7096702713716,-3442.888770274436,10352.84541082637,10328.666310823306,0.0,0.0,0.0,0.0
2021-03-24,3440.7872528364333,-3383.8567256448896,10094.639649743125,10151.570176934669,0.0,0.0,0.0,0.0
2021-03-31,6916.280259234034,-6880.121075413564,10284.022429299876,10320.181613120345,0.0,0.0,0.0,0.0
2021-04-07,-244.35777208009495,-0.0,10389.389262174558,10145.031490094463,0.0,0.0,0.0,0.0
2021-04-14,3313.510079838786,-3415.187486758165,10347.239867193875,10245.562460274497,0.0,0.0,0.0,0.0
2021-04-21,3313.510079838786,-3309.6561799910905,10383.650304195211,10387.504204042907,0.0,0.0,0.0,0.0
2021-04-28,6.655477318733574,-0.0,10319.949793214644,10326.605270533379,0.0,0.0,0.0,0.0
2021-05-05,3539.652782790143,-3423.7359371787425,10155.290965924827,10271.207811536227,0.0,0.0,0.0,0.0
2021-05-12,10169.675869010474,-10001.884236472122,9777.242996792143,9945.034629330496,0.0,0.0,0.0,0.0
2021-05-19,10125.848999698757,-10109.822021778666,9905.367721292685,9921.394699212777,0.0,0.0,0.0,0.0
2021-05-26,10092.806381888226,-10092.80638188822,10111.115396757828,10111.115396757834,0.0,0.0,0.0,0.0
2021-06-02,6775.602953119489,-6722.491980691719,10041.64621363674,10094.757186064511,0.0,0.0,0.0,0.0
2021-06-09,6825.797450700984,-6825.797450700982,10238.696176051473,10238.696176051475,0.0,0.0,0.0,0.0
2021-06-16,6678.612857453847,-6699.075220630027,10069.075194121218,10048.61283094504,0.0,0.0,0.0,0.0
2021-06-23,9891.882459719915,-9853.254751223194,9873.619923348027,9912.247631844748,0.0,0.0,0.0,0.0
2021-06-30,9988.743986474416,-9958.57039049628,9952.257194505886,9982.430790484023,0.0,0.0,0.0,0.0
2021-07-07,123.99778401996446,-0.0,9893.169554390282,10017.167338410247,0.0,0.0,0.0,0.0
2021-07-14,123.99778401996446,-0.0,9817.544861091445,9941.542645111409,0.0,0.0,0.0,0.0
2021-07-21,10017.938526505872,-9806.190918922282,9594.443311338693,9806.190918922282,0.0,0.0,0.0,0.0
2021-07-28,9837.007275031581,-9837.007275031585,9877.868680881253,9877.868680881249,0.0,0.0,0.0,0.0
2021-08-04,19.488158333498177,-0.0,9900.502051798856,9919.990210132353,0.0,0.0,0.0,0.0
2021-08-11,6810.065797243764,-6810.065797243764,10215.098695865647,10215.098695865647,0.0,0.0,0.0,0.0
2021-08-18,10391.519878412328,-10304.499260161756,10322.492195067482,10409.512813318053,0.0,0.0,0.0,0.0
2021-08-25,7071.825826578361,-7071.825826578357,10453.767364628726,10453.76736462873,0.0,0.0,0.0,0.0
2021-09-01,6967.469674415346,-6967.469674415344,10451.204511623017,10451.204511623018,0.0,0.0,0.0,0.0
2021-09-08,10494.949406331227,-10436.801523091015,10373.610296296178,10431.75817953639,0.0,0.0,0.0,0.0
2021-09-15,10600.141228301785,-10600.141228301783,10790.959297794825,10790.959297794827,0.0,0.0,0.0,0.0
2021-09-22,10611.86737136525,-10556.623590252899,10491.095466639339,10546.33924775169,0.0,0.0,0.0,0.0
2021-09-29,10580.190200338893,-10511.371790853113,10421.31053879705,10490.12894828283,0.0,0.0,0.0,0.0
2021-10-06,10640.730392624448,-10475.655537549464,10324.294305963138,10489.369161038121,0.0,0.0,0.0,0.0
2021-10-13,10594.305549442228,-10456.684000859716,10246.851061743058,10384.47261032557,0.0,0.0,0.0,0.0
2021-10-20,9.094947017729282e-13,-0.0,10395.782884006001,10395.782884006003,0.0,0.0,0.0,0.0
