date,direction,ticker,volume,price,market_price
2025-01-01,long,XLB,79.23302432453848,42.07,42.07
2025-01-01,long,XLC,34.43170471370038,96.81,96.81
2025-01-08,long,XLC,34.43170471370038,96.81,97.26
2025-01-08,long,XLK,28.551070627000765,116.94,116.94
2025-01-08,long,XLY,29.942712874951525,111.505,111.505
2025-01-08,short,XLP,43.14761177463776,77.38,77.38
2025-01-08,short,XLB,79.34320815402732,42.08,42.08
2025-01-15,long,XLP,43.67210043836114,76.23,76.23
2025-01-15,long,XLRE,82.83464086629186,40.19,40.19
2025-01-15,long,XLI,24.607319213661544,135.29,135.29
2025-01-15,short,XLY,29.29535565308228,113.64,113.64
2025-01-15,short,XLK,28.663517296622928,116.145,116.145
2025-01-15,short,XLC,34.28552231118713,97.1,97.1
2025-01-22,long,XLP,43.67210043836114,76.23,77.22
2025-01-22,long,XLRE,82.83464086629186,40.19,41.1
2025-01-29,long,XLP,43.67210043836114,76.23,78.95
2025-01-29,long,XLRE,82.83464086629186,40.19,40.97
2025-02-05,long,XLRE,82.83464086629186,40.19,42.0
2025-02-05,long,XLY,29.49983945277118,114.585,114.585
2025-02-05,long,XLI,24.651685412017105,137.12,137.12
2025-02-05,short,XLU,86.24158958274744,39.195,39.195
2025-02-05,short,XLE,74.92494965523186,45.115,45.115
2025-02-12,long,XLRE,82.83464086629186,40.19,41.9
2025-02-12,long,XLV,23.03152015320328,145.82,145.82
2025-02-12,long,XLE,75.43702310736977,44.52,44.52
2025-02-12,short,XLY,30.021062561366787,111.87,111.87
2025-02-12,short,XLI,24.38080775854884,137.75,137.75
2025-02-12,short,XLB,75.7945445438976,44.31,44.31
2025-02-19,long,XLRE,82.83464086629186,40.19,42.29
2025-02-19,long,XLE,75.43702310736977,44.52,46.01
2025-02-19,long,XLB,75.0427977180311,44.96,44.96
2025-02-19,short,XLY,30.021062561366787,111.87,113.12
2025-02-19,short,XLV,23.04593022816037,146.4,146.4
2025-02-26,long,XLE,75.43702310736977,44.52,44.565
2025-02-26,long,XLY,31.307875742205397,107.77,107.77
2025-02-26,long,XLI,24.992961249907225,135.0,135.0
2025-02-26,short,XLK,29.212552110281173,115.5,115.5
2025-02-26,short,XLC,33.23859490431953,101.51,101.51
2025-02-26,short,XLF,66.35299446878024,50.85,50.85
2025-03-05,long,XLE,75.43702310736977,44.52,42.85
2025-03-05,long,XLU,86.7287373527286,38.745,38.745
2025-03-05,long,XLP,40.76061291522889,82.44,82.44
2025-03-05,short,XLK,29.212552110281173,115.5,110.785
2025-03-05,short,XLF,66.35299446878024,50.85,50.21
2025-03-05,short,XLY,31.78946056223896,105.705,105.705
2025-03-12,long,XLP,40.76061291522889,82.44,79.7
2025-03-12,long,XLY,35.66295960227206,98.765,98.765
2025-03-12,long,XLI,27.071341212192756,130.11,130.11
2025-03-12,short,XLU,91.28553077927693,38.585,38.585
2025-03-12,short,XLRE,84.93494586733543,41.47,41.47
2025-03-12,short,XLV,24.35859063014108,144.6,144.6
2025-03-19,long,XLP,40.76061291522889,82.44,79.75
2025-03-19,long,XLU,88.49432138836461,39.47,39.47
2025-03-19,long,XLRE,83.22303705500957,41.97,41.97
2025-03-19,short,XLV,24.35859063014108,144.6,146.92
2025-03-19,short,XLY,35.42285751431216,98.605,98.605
2025-03-19,short,XLK,32.50542892558514,107.455,107.455
2025-03-26,long,XLY,33.95501204454244,101.615,101.615
2025-03-26,long,XLK,32.32470066428874,106.74,106.74
2025-03-26,long,XLC,34.82024976189505,99.09,99.09
2025-03-26,short,XLV,24.35859063014108,144.6,144.74
2025-03-26,short,XLU,89.12149164164225,38.715,38.715
2025-03-26,short,XLRE,83.08062963896413,41.53,41.53
2025-04-02,long,XLU,84.67122264177037,39.71,39.71
2025-04-02,long,XLP,41.22984979895404,81.55,81.55
2025-04-02,long,XLRE,79.90242992168969,42.08,42.08
2025-04-02,short,XLV,24.35859063014108,144.6,144.3
2025-04-02,short,XLK,32.09367872003724,104.765,104.765
2025-04-02,short,XLB,77.28523735443515,43.505,43.505
2025-04-09,long,XLU,84.67122264177037,39.71,37.985
2025-04-09,long,XLP,41.22984979895404,81.55,79.31
2025-04-09,long,XLRE,79.90242992168969,42.08,39.21
2025-04-09,short,XLV,24.35859063014108,144.6,138.76
2025-04-09,short,XLK,32.09367872003724,104.765,101.93
2025-04-09,short,XLY,34.388867051334906,97.77,97.77
2025-04-16,long,XLP,41.22984979895404,81.55,80.16
2025-04-16,long,XLY,38.45445175195814,92.12,92.12
2025-04-16,long,XLV,25.991812278159692,136.29,136.29
2025-04-16,short,XLK,32.09367872003724,104.765,96.955
