date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.333333333332,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6682.160933787831,-6677.524398242939,10011.650061819517,10016.286597364407,0.0,0.0,0.0,0.0
2025-01-15,6727.692261282255,-6675.154188005687,9973.115436616656,10025.653509893224,0.0,0.0,0.0,0.0
2025-01-22,3230.133532601878,-0.0,6749.620135008197,9979.753667610075,0.0,0.0,0.0,0.0
2025-01-29,3347.8628659918563,-0.0,6695.7257319837145,10043.588597975571,0.0,0.0,0.0,0.0
2025-02-05,6731.518142062312,-6767.3105521409125,10186.758238289967,10150.965828211367,0.0,0.0,0.0,0.0
2025-02-12,10240.614480731016,-10240.61448073102,10352.376905935605,10352.376905935602,0.0,0.0,0.0,0.0
2025-02-19,3331.990575146344,-0.0,6971.076461438115,10303.06703658446,0.0,0.0,0.0,0.0
2025-02-26,10163.082983736576,-10246.638612885348,10330.194242034122,10246.63861288535,0.0,0.0,0.0,0.0
2025-03-05,10177.502417792955,-10177.502417792952,10352.081078081186,10352.08107808119,0.0,0.0,0.0,0.0
2025-03-12,10694.434106509347,-10490.501372704031,10286.568638898714,10490.50137270403,0.0,0.0,0.0,0.0
2025-03-19,10493.042833640862,-10502.472751457293,10454.64685049564,10445.216932679208,0.0,0.0,0.0,0.0
2025-03-26,7076.088869646478,-7024.468139906295,10516.104355317539,10567.725085057722,0.0,0.0,0.0,0.0
2025-04-02,10521.25197165834,-10544.163929589013,10516.75252601343,10493.840568082756,0.0,0.0,0.0,0.0
2025-04-09,10393.678194469358,-10319.084427848918,10534.003198803306,10608.596965423745,0.0,0.0,0.0,0.0
2025-04-16,10489.022533622554,-10169.680987161548,10097.422424388473,10416.763970849479,0.0,0.0,0.0,0.0
2025-04-23,243.415761393911,-0.0,10328.368844048786,10571.784605442697,0.0,0.0,0.0,0.0
2025-04-30,27.89019456764072,-0.0,10996.755733764587,11024.645928332227,0.0,0.0,0.0,0.0
2025-05-07,27.89019456764072,-0.0,10850.650402560008,10878.540597127649,0.0,0.0,0.0,0.0
2025-05-14,7490.306738116697,-7222.35599161177,10565.583240912725,10833.533987417652,0.0,0.0,0.0,0.0
2025-05-21,7198.571257368923,-7230.59247671671,10882.28709655197,10850.265877204183,0.0,0.0,0.0,0.0
2025-05-28,7268.433025651098,-7275.709157853919,10782.817740149158,10775.541607946336,0.0,0.0,0.0,0.0
2025-06-04,7282.885350761195,-7297.2887676865375,10798.839316096013,10784.43589917067,0.0,0.0,0.0,0.0
2025-06-11,46.968555395053954,-0.0,10922.963117045358,10969.931672440413,0.0,0.0,0.0,0.0
2025-06-18,10859.524855515465,-10851.785285028789,10844.045714542111,10851.785285028787,0.0,0.0,0.0,0.0
2025-06-25,10645.502764335208,-10747.237223450069,10848.971682564928,10747.237223450067,0.0,0.0,0.0,0.0
2025-07-02,3596.5596213282774,-3621.4738127114797,11001.240127223122,10976.32593583992,0.0,0.0,0.0,0.0
2025-07-09,7392.134955959649,-7345.088501269905,10970.586297215114,11017.632751904857,0.0,0.0,0.0,0.0
2025-07-16,3702.663860576047,-3651.186965336778,11038.585077245167,11090.061972484436,0.0,0.0,0.0,0.0
2025-07-23,4.547473508864641e-13,-0.0,11300.084144368126,11300.084144368126,0.0,0.0,0.0,0.0
2025-07-30,11157.358569890177,-11219.814241780885,11282.269913671591,11219.814241780883,0.0,0.0,0.0,0.0
2025-08-06,11332.196318559798,-11215.608355691256,11286.303000391905,11402.890963260446,0.0,0.0,0.0,0.0
2025-08-13,11624.899630825406,-11596.674582659107,11576.444889136888,11604.669937303188,0.0,0.0,0.0,0.0
2025-08-20,3742.829726157778,-0.0,7729.801429670091,11472.631155827868,0.0,0.0,0.0,0.0
2025-08-27,3910.1743733892017,-3862.581601430378,11540.15203233231,11587.744804291133,0.0,0.0,0.0,0.0
