date,direction,ticker,volume,price,market_price
2025-01-01,long,XLC,34.43170471370038,96.81,96.81
2025-01-01,long,XLB,79.23302432453848,42.07,42.07
2025-01-08,long,XLC,34.43170471370038,96.81,97.26
2025-01-08,long,XLB,79.23302432453848,42.07,42.08
2025-01-08,long,XLE,75.84500181022437,44.015,44.015
2025-01-08,short,XLP,43.14186811420297,77.38,77.38
2025-01-08,short,XLY,29.938727004861,111.505,111.505
2025-01-15,long,XLC,34.43170471370038,96.81,97.1
2025-01-15,long,XLV,24.378682514141115,140.57,140.57
2025-01-15,long,XLK,29.50545784160159,116.145,116.145
2025-01-15,short,XLP,43.14186811420297,77.38,76.23
2025-01-15,short,XLY,29.938727004861,111.505,113.64
2025-01-15,short,XLRE,85.26776315035622,40.19,40.19
2025-01-22,long,XLP,44.73810545921828,77.22,77.22
2025-01-22,long,XLF,68.53157118747939,50.41,50.41
2025-01-29,long,XLP,44.73810545921828,77.22,78.95
2025-01-29,long,XLRE,85.40080270526684,40.97,40.97
2025-02-05,long,XLP,44.73810545921828,77.22,79.11
2025-02-05,long,XLC,34.43338194236175,102.52,102.52
2025-02-05,long,XLI,25.744678505913992,137.12,137.12
2025-02-05,short,XLU,90.06532253427545,39.195,39.195
2025-02-05,short,XLY,30.807787378198952,114.585,114.585
2025-02-05,short,XLE,78.24693154673449,45.115,45.115
2025-02-12,long,XLRE,85.86612238361502,41.9,41.9
2025-02-12,long,XLF,70.05043862681988,51.36,51.36
2025-02-12,long,XLK,30.513022880785933,117.91,117.91
2025-02-12,short,XLE,78.24693154673449,45.115,44.52
2025-02-12,short,XLV,24.672819420336506,145.82,145.82
2025-02-12,short,XLI,26.118261545360937,137.75,137.75
2025-02-19,long,XLRE,85.86612238361502,41.9,42.29
2025-02-19,long,XLC,34.36816704558317,104.94,104.94
2025-02-19,long,XLB,80.2178703239212,44.96,44.96
2025-02-19,short,XLV,24.672819420336506,145.82,146.4
2025-02-19,short,XLY,31.882915927895134,113.12,113.12
2025-02-26,long,XLC,34.36816704558317,104.94,101.51
2025-02-26,long,XLB,80.2178703239212,44.96,44.305
2025-02-26,long,XLU,90.33536761480946,39.9,39.9
2025-02-26,short,XLY,31.882915927895134,113.12,107.77
2025-02-26,short,XLF,70.88261883639916,50.85,50.85
2025-02-26,short,XLI,26.69911976171035,135.0,135.0
2025-03-05,long,XLC,34.36816704558317,104.94,101.47
2025-03-05,long,XLB,80.2178703239212,44.96,44.02
2025-03-05,long,XLP,43.767624700878834,82.44,82.44
2025-03-05,short,XLY,31.882915927895134,113.12,105.705
2025-03-05,short,XLF,70.88261883639916,50.85,50.21
2025-03-05,short,XLI,26.69911976171035,135.0,133.85
2025-03-12,long,XLC,34.36816704558317,104.94,96.83
2025-03-12,long,XLB,80.2178703239212,44.96,42.465
2025-03-12,long,XLE,82.93090367312604,43.89,43.89
2025-03-12,short,XLU,94.33296260758071,38.585,38.585
2025-03-12,short,XLRE,87.77037285299016,41.47,41.47
2025-03-12,short,XLP,45.66922662752198,79.7,79.7
2025-03-19,long,XLC,34.36816704558317,104.94,97.05
2025-03-19,long,XLB,80.2178703239212,44.96,43.6
2025-03-19,long,XLF,74.60823041646097,49.57,49.57
2025-03-19,short,XLRE,87.77037285299016,41.47,41.97
2025-03-19,short,XLV,25.172406627715567,146.92,146.92
2025-03-19,short,XLI,27.675895994492034,133.63,133.63
2025-03-26,long,XLB,80.2178703239212,44.96,43.34
2025-03-26,long,XLP,47.098927603355044,79.9,79.9
2025-03-26,long,XLK,35.25580209394855,106.74,106.74
2025-03-26,short,XLRE,87.77037285299016,41.47,41.53
2025-03-26,short,XLV,25.172406627715567,146.92,144.74
2025-03-26,short,XLU,97.20274610636879,38.715,38.715
2025-04-02,long,XLK,35.25580209394855,106.74,104.765
2025-04-02,long,XLC,38.457642082099426,96.85,96.85
2025-04-02,long,XLV,25.811660676724383,144.3,144.3
2025-04-02,short,XLRE,87.77037285299016,41.47,42.08
2025-04-02,short,XLB,85.61366821402893,43.505,43.505
2025-04-09,long,XLC,38.457642082099426,96.85,93.74
2025-04-09,long,XLB,93.50473370987159,40.38,40.38
2025-04-09,long,XLE,91.68822601273956,41.18,41.18
2025-04-09,short,XLP,47.60712580008341,79.31,79.31
2025-04-09,short,XLY,38.61840183292028,97.77,97.77
2025-04-09,short,XLF,79.94328069457157,47.23,47.23
2025-04-16,long,XLC,38.457642082099426,96.85,89.63
2025-04-16,long,XLB,93.50473370987159,40.38,40.1
2025-04-16,long,XLE,91.68822601273956,41.18,39.85
2025-04-16,short,XLP,47.60712580008341,79.31,80.16
2025-04-16,short,XLF,79.94328069457157,47.23,46.53
2025-04-16,short,XLU,97.43367786894504,38.49,38.49
2025-04-23,long,XLC,38.457642082099426,96.85,91.93
2025-04-23,long,XLE,91.68822601273956,41.18,40.62
2025-04-23,long,XLV,27.583676862207682,135.73,135.73
2025-04-30,long,XLE,91.68822601273956,41.18,40.25
2025-04-30,long,XLU,96.83996896976826,39.45,39.45
2025-04-30,long,XLY,38.734023885809165,98.63,98.63
2025-05-07,long,XLY,38.734023885809165,98.63,99.545
2025-05-07,long,XLB,92.79734059333389,41.615,41.615
2025-05-07,long,XLI,28.786890263075584,134.15,134.15
2025-05-14,long,XLB,92.79734059333389,41.615,42.65
2025-05-14,long,XLF,79.79038073166119,50.94,50.94
2025-05-14,long,XLE,95.35535470899286,42.625,42.625
2025-05-14,short,XLRE,99.76735381617134,40.74,40.74
2025-05-14,short,XLP,51.11963268105673,79.51,79.51
2025-05-14,short,XLV,31.56419969302493,128.77,128.77
2025-05-21,long,XLB,92.79734059333389,41.615,42.98
2025-05-21,long,XLF,79.79038073166119,50.94,50.29
2025-05-21,long,XLY,37.21839884807804,105.825,105.825
2025-05-21,short,XLRE,99.76735381617134,40.74,40.77
2025-05-21,short,XLV,31.56419969302493,128.77,131.58
2025-05-28,long,XLB,92.79734059333389,41.615,43.005
2025-05-28,long,XLRE,95.6165094631524,41.31,41.31
2025-05-28,long,XLE,96.75243125346786,40.825,40.825
2025-05-28,short,XLV,31.56419969302493,128.77,131.48
2025-06-04,long,XLRE,95.6165094631524,41.31,41.77
2025-06-04,long,XLU,98.34523882185414,40.48,40.48
2025-06-04,long,XLP,48.41906187677761,82.22,82.22
2025-06-04,short,XLY,37.05510557554479,107.435,107.435
2025-06-04,short,XLF,78.38187177611056,50.79,50.79
2025-06-04,short,XLE,97.15717553407333,40.975,40.975
2025-06-11,long,XLU,98.34523882185414,40.48,40.455
2025-06-11,long,XLP,48.41906187677761,82.22,81.48
2025-06-18,long,XLRE,92.64493213194488,41.84,41.84
2025-06-18,long,XLC,37.462684453470324,103.47,103.47
2025-06-18,long,XLK,32.086949715662215,120.805,120.805
2025-06-18,short,XLU,96.23296823238765,40.28,40.28
2025-06-18,short,XLF,77.18566229391826,50.22,50.22
2025-06-18,short,XLI,27.257323397796036,142.21,142.21
2025-06-25,long,XLRE,92.64493213194488,41.84,41.23
2025-06-25,long,XLB,89.27271132214554,43.41,43.41
2025-06-25,long,XLE,91.6803500944958,42.27,42.27
2025-06-25,short,XLU,96.23296823238765,40.28,40.25
2025-06-25,short,XLI,27.257323397796036,142.21,143.78
2025-06-25,short,XLP,48.29671483666922,80.24,80.24
2025-07-02,long,XLRE,92.64493213194488,41.84,41.78
2025-07-02,long,XLC,36.4162258218364,107.45,107.45
2025-07-02,long,XLK,30.856584374704845,126.81,126.81
2025-07-02,short,XLU,96.23296823238765,40.28,40.615
2025-07-02,short,XLE,90.02469721744671,43.465,43.465
2025-07-02,short,XLV,28.90753150529197,135.36,135.36
2025-07-09,long,XLRE,92.64493213194488,41.84,41.4
2025-07-09,long,XLC,36.4162258218364,107.45,107.06
2025-07-09,long,XLF,74.19598445988699,52.4,52.4
2025-07-09,short,XLE,90.02469721744671,43.465,44.03
2025-07-09,short,XLP,48.1052905926513,80.82,80.82
2025-07-16,long,XLC,36.4162258218364,107.45,106.31
2025-07-16,long,XLY,35.68514548270653,109.735,109.735
2025-07-16,long,XLI,26.034900867926346,150.41,150.41
2025-07-16,short,XLP,48.1052905926513,80.82,80.35
2025-07-23,long,XLK,30.664057461361736,130.145,130.145
2025-07-23,long,XLF,75.15581465741852,53.1,53.1
2025-07-23,long,XLE,91.94271992417747,43.405,43.405
2025-07-23,short,XLP,48.1052905926513,80.82,81.65
2025-07-30,long,XLF,75.15581465741852,53.1,52.7
2025-07-30,long,XLY,36.14555744633148,111.6,111.6
2025-07-30,long,XLI,26.538448756648638,152.0,152.0
2025-07-30,short,XLP,48.1052905926513,80.82,80.47
2025-07-30,short,XLC,37.894262198314635,106.45,106.45
2025-07-30,short,XLE,92.01286977670148,43.84,43.84
2025-08-06,long,XLF,75.15581465741852,53.1,51.95
2025-08-06,long,XLU,93.83002845196344,42.81,42.81
2025-08-06,long,XLC,37.2863967142723,107.73,107.73
2025-08-06,short,XLRE,96.95543128236918,41.43,41.43
2025-08-06,short,XLB,91.7825549646648,43.765,43.765
2025-08-06,short,XLV,30.77820487340859,130.51,130.51
2025-08-13,long,XLU,93.83002845196344,42.81,43.235
