date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6758.891742548058,-6738.479562001704,10087.307162456202,10107.719343002555,0.0,0.0,0.0,0.0
2025-01-15,10078.591745647303,-10078.591745647307,10078.591745647307,10078.591745647303,0.0,0.0,0.0,0.0
2025-01-22,3236.051311022906,-0.0,6838.7594288105665,10074.810739833472,0.0,0.0,0.0,0.0
2025-01-29,3236.051311022906,-0.0,6904.135362316734,10140.18667333964,0.0,0.0,0.0,0.0
2025-02-05,6722.506306860758,-6822.224648118042,10333.055313434346,10233.336972177061,0.0,0.0,0.0,0.0
2025-02-12,10054.050602624015,-10167.391610481463,10280.732618338909,10167.39161048146,0.0,0.0,0.0,0.0
2025-02-19,6603.588370056217,-6831.739338420584,10442.370154827842,10214.219186463475,0.0,0.0,0.0,0.0
2025-02-26,10226.90962880168,-10214.599377492466,10202.289126183256,10214.59937749247,0.0,0.0,0.0,0.0
2025-03-05,10147.876028185437,-10018.880025421422,10043.992241582182,10172.988244346197,0.0,0.0,0.0,0.0
2025-03-12,10939.398034142778,-10663.267482043257,10387.136929943734,10663.267482043255,0.0,0.0,0.0,0.0
2025-03-19,10905.420389885014,-10660.99617537346,10329.894189413802,10574.318403925356,0.0,0.0,0.0,0.0
2025-03-26,10521.56788067297,-10521.567880672968,10445.556055618923,10445.556055618925,0.0,0.0,0.0,0.0
2025-04-02,10333.0553198554,-10333.055319855403,10179.010719551976,10179.010719551974,0.0,0.0,0.0,0.0
2025-04-09,10576.681977887994,-10104.964025428835,9707.006013260476,10178.723965719635,0.0,0.0,0.0,0.0
2025-04-16,10529.227850326992,-10289.61987624133,10484.727895188938,10724.3358692746,0.0,0.0,0.0,0.0
2025-04-23,3453.8424949722053,-0.0,7252.838137047656,10706.680632019861,0.0,0.0,0.0,0.0
2025-04-30,3655.2209198462137,-0.0,7310.441839692429,10965.662759538644,0.0,0.0,0.0,0.0
2025-05-07,27.05492879213989,-0.0,11026.58358778102,11053.63851657316,0.0,0.0,0.0,0.0
2025-05-14,7705.005884019793,-7654.126542631777,11430.31047255965,11481.189813947665,0.0,0.0,0.0,0.0
2025-05-21,3744.761651630147,-3829.881432782248,11593.297413152088,11508.177631999986,0.0,0.0,0.0,0.0
2025-05-28,7585.465730323275,-7721.312417869844,11657.958923625953,11522.112236079385,0.0,0.0,0.0,0.0
2025-06-04,11574.130215522368,-11687.02939743814,11757.71305558165,11644.813873665877,0.0,0.0,0.0,0.0
2025-06-11,7865.46877269935,-7933.319111292107,11967.829005530919,11899.978666938161,0.0,0.0,0.0,0.0
2025-06-18,7922.757575880672,-7865.043411969411,11777.651273443787,11835.365437355049,0.0,0.0,0.0,0.0
2025-06-25,12066.066974297719,-11968.555312281536,11935.482703708545,12032.994365724728,0.0,0.0,0.0,0.0
2025-07-02,8147.5123332442745,-8147.512333244271,12249.024882343067,12249.02488234307,0.0,0.0,0.0,0.0
2025-07-09,4044.5799516885254,-4027.536314504032,12238.653155277767,12255.69679246226,0.0,0.0,0.0,0.0
