date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6758.891742548058,-6738.479562001704,10087.307162456202,10107.719343002555,0.0,0.0,0.0,0.0
2025-01-15,10078.591745647303,-10078.591745647307,10078.591745647307,10078.591745647303,0.0,0.0,0.0,0.0
2025-01-22,3236.051311022906,-0.0,6838.7594288105665,10074.810739833472,0.0,0.0,0.0,0.0
2025-01-29,3236.051311022906,-0.0,6904.135362316734,10140.18667333964,0.0,0.0,0.0,0.0
2025-02-05,6722.506306860758,-6822.224648118042,10333.055313434346,10233.336972177061,0.0,0.0,0.0,0.0
2025-02-12,10054.050602624015,-10167.391610481463,10280.732618338909,10167.39161048146,0.0,0.0,0.0,0.0
2025-02-19,6598.534968746251,-6830.054871317262,10440.685687724519,10209.16578515351,0.0,0.0,0.0,0.0
2025-02-26,10220.22626515961,-10209.586854760917,10198.947444362224,10209.586854760917,0.0,0.0,0.0,0.0
2025-03-05,10307.786585254918,-10180.475972473057,10040.62146161786,10167.932074399721,0.0,0.0,0.0,0.0
2025-03-12,10562.877059801693,-10308.458171482496,10338.825480782696,10593.244369101893,0.0,0.0,0.0,0.0
2025-03-19,10604.714537086893,-10361.032726888085,10323.51819261229,10567.200002811098,0.0,0.0,0.0,0.0
2025-03-26,10316.998584293851,-10316.998584293853,10316.998584293853,10316.998584293851,0.0,0.0,0.0,0.0
2025-04-02,9972.033028640046,-9972.033028640048,9972.033028640046,9972.033028640044,0.0,0.0,0.0,0.0
2025-04-09,10201.815483493894,-9766.360398914467,9509.625958788809,9945.081043368236,0.0,0.0,0.0,0.0
2025-04-16,10017.960091697922,-9810.294595838172,10217.393132440366,10425.058628300116,0.0,0.0,0.0,0.0
2025-04-23,3366.920383351616,-0.0,7050.437782065401,10417.358165417016,0.0,0.0,0.0,0.0
2025-04-30,1.3642420526593924e-12,-0.0,10669.113042919544,10669.113042919545,0.0,0.0,0.0,0.0
2025-05-07,59.92585389751912,-0.0,10679.572607423275,10739.498461320794,0.0,0.0,0.0,0.0
2025-05-14,3864.818634376154,-3660.180668449908,10775.904039423474,10980.54200534972,0.0,0.0,0.0,0.0
2025-05-21,3689.921179459692,-3662.875941401638,11141.98769645733,11169.032934515384,0.0,0.0,0.0,0.0
2025-05-28,7417.529000751969,-7438.9986758250625,11204.293138949923,11182.82346387683,0.0,0.0,0.0,0.0
2025-06-04,11288.441221536952,-11286.911548092654,11299.760089005706,11301.289762450004,0.0,0.0,0.0,0.0
2025-06-11,7616.81640591219,-7620.083933706468,11569.209117947403,11565.941590153125,0.0,0.0,0.0,0.0
2025-06-18,7610.466284714721,-7554.116433894986,11447.559466989336,11503.909317809072,0.0,0.0,0.0,0.0
2025-06-25,11637.969492620308,-11542.980938908782,11600.943910251786,11695.932463963312,0.0,0.0,0.0,0.0
2025-07-02,7834.479551568478,-7834.479551568482,11751.719327352723,11751.71932735272,0.0,0.0,0.0,0.0
2025-07-09,3898.01695301439,-3881.6114580533163,11741.876333676284,11758.281828637359,0.0,0.0,0.0,0.0
