date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6758.891742548058,-6738.479562001704,10087.307162456202,10107.719343002555,0.0,0.0,0.0,0.0
2025-01-15,6748.469317493671,-6719.061163764871,10049.183591918503,10078.591745647303,0.0,0.0,0.0,0.0
2025-01-22,0.38127743149061644,-0.0,10210.245102401808,10210.626379833298,0.0,0.0,0.0,0.0
2025-01-29,77.30429944839489,-0.0,10130.137553021881,10207.441852470276,0.0,0.0,0.0,0.0
2025-02-05,3527.024527337195,-3466.8043174546306,10340.192742481326,10400.412952363891,0.0,0.0,0.0,0.0
2025-02-12,10471.886529092551,-10365.944307265278,10311.350780805762,10417.293002633036,0.0,0.0,0.0,0.0
2025-02-19,3472.9439236843823,-3486.242617806145,10358.843776813535,10345.545082691773,0.0,0.0,0.0,0.0
2025-02-26,6899.431429174225,-6773.363887675897,10033.978290015519,10160.045831513846,0.0,0.0,0.0,0.0
2025-03-05,10270.098307102067,-10030.360811501656,9789.718164126898,10029.45565972731,0.0,0.0,0.0,0.0
2025-03-12,10125.07706087308,-9784.172898287532,9341.33600004025,9682.240162625798,0.0,0.0,0.0,0.0
2025-03-19,9992.60669707114,-9760.726038256327,9413.73486711552,9645.615525930332,0.0,0.0,0.0,0.0
2025-03-26,6571.293580998401,-6451.790713957405,9700.11556652163,9819.618433562626,0.0,0.0,0.0,0.0
2025-04-02,6534.903045063482,-6520.6440717207715,9885.520714385977,9899.779687728687,0.0,0.0,0.0,0.0
2025-04-09,9641.880826652226,-9641.88082665223,9817.220807869231,9817.220807869227,0.0,0.0,0.0,0.0
2025-04-16,9931.853603584337,-9756.805069242952,9897.252735621694,10072.30126996308,0.0,0.0,0.0,0.0
2025-04-23,126.1693543587744,-0.0,10083.716610845504,10209.885965204277,0.0,0.0,0.0,0.0
2025-04-30,173.19961603060347,-0.0,10252.147980536794,10425.347596567397,0.0,0.0,0.0,0.0
2025-05-07,123.14397511851575,-0.0,10461.93910182915,10585.083076947665,0.0,0.0,0.0,0.0
2025-05-14,7576.010331175305,-7403.647078255757,10933.107364464091,11105.470617383638,0.0,0.0,0.0,0.0
2025-05-21,3858.0651899360078,-3704.549476932833,10977.300115808332,11130.815828811506,0.0,0.0,0.0,0.0
2025-05-28,7569.354555768348,-7464.905723254351,11029.419264983026,11133.868097497023,0.0,0.0,0.0,0.0
2025-06-04,11289.769472661113,-11240.754443906564,11112.229721923748,11161.244750678297,0.0,0.0,0.0,0.0
2025-06-11,3565.343228512193,-0.0,7547.257902519337,11112.60113103153,0.0,0.0,0.0,0.0
2025-06-18,11057.725879059555,-11059.426985972144,11061.128092884739,11059.42698597215,0.0,0.0,0.0,0.0
2025-06-25,10813.042043886773,-10988.694836269295,11067.933454623204,10892.280662240682,0.0,0.0,0.0,0.0
2025-07-02,6716.140397195528,-7246.555925830236,11232.501786154144,10702.086257519435,0.0,0.0,0.0,0.0
2025-07-09,6716.140397195528,-7259.464711758939,11202.603962963993,10659.279648400581,0.0,0.0,0.0,0.0
2025-07-16,3056.4689490313303,-3552.2935108863658,11152.70509451413,10656.880532659095,0.0,0.0,0.0,0.0
