date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.3333333333326,-0.0,6666.666666666667,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6758.891742548058,-6738.479562001704,10087.307162456202,10107.719343002555,0.0,0.0,0.0,0.0
2025-01-15,6748.469317493671,-6719.061163764871,10049.183591918503,10078.591745647303,0.0,0.0,0.0,0.0
2025-01-22,0.38127743149061644,-0.0,10210.245102401808,10210.626379833298,0.0,0.0,0.0,0.0
2025-01-29,77.30429944839489,-0.0,10130.137553021881,10207.441852470276,0.0,0.0,0.0,0.0
2025-02-05,3527.024527337195,-3466.8043174546306,10340.192742481326,10400.412952363891,0.0,0.0,0.0,0.0
2025-02-12,10523.235224460306,-10417.293002633034,10311.350780805762,10417.293002633034,0.0,0.0,0.0,0.0
2025-02-19,3475.0881332861345,-3461.8056275119143,10372.134376761525,10385.416882535745,0.0,0.0,0.0,0.0
2025-02-26,6939.65653543482,-6800.18062518296,10060.795027522581,10200.270937774441,0.0,0.0,0.0,0.0
2025-03-05,10323.75082826255,-10070.237380081086,9815.89764862989,10069.411096811355,0.0,0.0,0.0,0.0
2025-03-12,10605.25417535772,-9910.521195226383,9366.569279327714,10061.302259459051,0.0,0.0,0.0,0.0
2025-03-19,10422.35992961672,-10054.263334584015,9686.16673955131,10054.263334584015,0.0,0.0,0.0,0.0
2025-03-26,6873.790278002303,-6774.069261136017,10061.382874837735,10161.10389170402,0.0,0.0,0.0,0.0
2025-04-02,6805.936876564669,-6791.302289482326,10229.057471547787,10243.69205863013,0.0,0.0,0.0,0.0
2025-04-09,10159.95097311398,-10159.95097311398,10159.950973113979,10159.950973113979,0.0,0.0,0.0,0.0
2025-04-16,10361.124547312373,-10076.972351022932,10294.273165886403,10578.425362175843,0.0,0.0,0.0,0.0
2025-04-23,194.09829409996155,-0.0,10467.512556007894,10661.610850107856,0.0,0.0,0.0,0.0
2025-04-30,243.50990494760526,-0.0,10642.193788367054,10885.70369331466,0.0,0.0,0.0,0.0
2025-05-07,159.4755539326802,-0.0,10891.838254396469,11051.313808329149,0.0,0.0,0.0,0.0
2025-05-14,7941.034985128668,-7729.141786591888,11381.819481351053,11593.712679887833,0.0,0.0,0.0,0.0
2025-05-21,4059.497813619152,-3867.4166745133934,11428.49874465747,11620.579883763228,0.0,0.0,0.0,0.0
2025-05-28,7934.024287122695,-7793.167209931022,11482.722343318954,11623.579420510627,0.0,0.0,0.0,0.0
2025-06-04,11818.035808100496,-11735.049902579656,11569.048657412564,11652.034562933404,0.0,0.0,0.0,0.0
2025-06-11,3721.9249591298703,-0.0,7879.194789744288,11601.119748874158,0.0,0.0,0.0,0.0
2025-06-18,11543.830158988661,-11545.606542641886,11547.382926295111,11545.606542641886,0.0,0.0,0.0,0.0
2025-06-25,11288.389864066425,-11471.764961686718,11554.487455764425,11371.112358144132,0.0,0.0,0.0,0.0
2025-07-02,7011.385775160307,-7565.119208150401,11726.290321975328,11172.556888985233,0.0,0.0,0.0,0.0
2025-07-09,7011.385775160307,-7578.595472668918,11695.078175275055,11127.868477766446,0.0,0.0,0.0,0.0
2025-07-16,3190.832807112773,-3708.454632059019,11642.985721123303,11125.363896177058,0.0,0.0,0.0,0.0
