date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2023-07-03,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2023-07-05,10000.0,-10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0
2023-07-06,10000.0,-9924.41884194548,9889.784104009288,9965.365262063808,0.0,0.0,0.0,0.0
2023-07-07,10000.0,-9818.583702600854,9933.669823146905,10115.086120546051,0.0,0.0,0.0,0.0
2023-07-10,10000.0,-9829.534843752897,9959.71231909092,10130.177475338023,0.0,0.0,0.0,0.0
2023-07-11,10000.0,-9875.700582457677,10097.854058941262,10222.153476483585,0.0,0.0,0.0,0.0
2023-07-12,10000.0,-9922.417746720566,10207.802040837083,10285.384294116517,0.0,0.0,0.0,0.0
2023-07-13,10000.0,-9949.03014066354,10288.149145240077,10339.119004576536,0.0,0.0,0.0,0.0
2023-07-14,10000.0,-9996.60379366661,10159.653514165813,10163.049720499203,0.0,0.0,0.0,0.0
2023-07-17,10000.0,-9933.082887653447,10184.402207275207,10251.31931962176,0.0,0.0,0.0,0.0
2023-07-18,10000.0,-9928.58932895704,10280.539464893849,10351.95013593681,0.0,0.0,0.0,0.0
2023-07-19,10000.0,-10011.040096811801,10301.239963436183,10290.199866624382,0.0,0.0,0.0,0.0
2023-07-20,10000.0,-10155.854419571027,10203.91542098592,10048.061001414893,0.0,0.0,0.0,0.0
2023-07-21,10000.0,-10252.41439976825,10199.227382008015,9946.812982239766,0.0,0.0,0.0,0.0
2023-07-24,10000.0,-10248.770207722824,10267.328859948488,10018.558652225664,0.0,0.0,0.0,0.0
2023-07-25,10000.0,-10252.355489068184,10335.558202822778,10083.202713754594,0.0,0.0,0.0,0.0
2023-07-26,6559.752729852296,-6813.848433743966,10342.574132467611,10088.478428575942,0.0,0.0,0.0,0.0
2023-07-27,6559.752729852296,-6723.431111151127,10338.424360305735,10174.745979006904,0.0,0.0,0.0,0.0
2023-07-28,6559.752729852296,-6750.775816426101,10462.716740250173,10271.693653676368,0.0,0.0,0.0,0.0
2023-07-31,6559.752729852296,-6736.640744753756,10536.78275386773,10359.894738966272,0.0,0.0,0.0,0.0
2023-08-01,6559.752729852296,-6677.333924799066,10521.132078579456,10403.550883632686,0.0,0.0,0.0,0.0
2023-08-02,9957.660799313617,-10087.303103882472,10323.366512952818,10193.724208383963,0.0,0.0,0.0,0.0
2023-08-03,9957.660799313617,-9985.389274273137,10336.870678914705,10309.142203955185,0.0,0.0,0.0,0.0
2023-08-04,9957.660799313617,-9902.434601133518,10288.590635231183,10343.816833411282,0.0,0.0,0.0,0.0
2023-08-07,9957.660799313617,-9968.11452728972,10354.675008809276,10344.221280833173,0.0,0.0,0.0,0.0
2023-08-08,9957.660799313617,-9985.197525745512,10337.245957608338,10309.709231176443,0.0,0.0,0.0,0.0
2023-08-09,6524.638807912379,-6563.07012518697,10303.051248543858,10264.619931269266,0.0,0.0,0.0,0.0
2023-08-10,6524.638807912379,-6546.371508330336,10314.677389999568,10292.94468958161,0.0,0.0,0.0,0.0
2023-08-11,6524.638807912379,-6569.228502195567,10330.523513063923,10285.933818780735,0.0,0.0,0.0,0.0
2023-08-14,6524.638807912379,-6527.205413915877,10391.115768662825,10388.549162659327,0.0,0.0,0.0,0.0
2023-08-15,6524.638807912379,-6439.479190733817,10251.806775005778,10336.96639218434,0.0,0.0,0.0,0.0
2023-08-16,6524.638807912379,-6445.882359309429,10149.037196575127,10227.793645178077,0.0,0.0,0.0,0.0
2023-08-17,6524.638807912379,-6407.167507801039,10122.837083495539,10240.308383606878,0.0,0.0,0.0,0.0
2023-08-18,6524.638807912379,-6435.725318082992,10143.755697836172,10232.669187665559,0.0,0.0,0.0,0.0
2023-08-21,6524.638807912379,-6393.840636857887,10205.392127499546,10336.190298554038,0.0,0.0,0.0,0.0
