date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2023-07-03,10000.0,-0.0,0.0,10000.0,0.0,0.0,0.0,0.0
2023-07-05,8000.0,-8000.0,10000.0,10000.0,0.0,0.0,0.0,0.0
2023-07-06,8000.0,-7909.663046608395,9894.58843495943,9984.925388351036,0.0,0.0,0.0,0.0
2023-07-07,8000.0,-7888.183962754431,9911.018811808419,10022.834849053987,0.0,0.0,0.0,0.0
2023-07-10,8000.0,-7910.327506177581,9946.533737259202,10036.206231081622,0.0,0.0,0.0,0.0
2023-07-11,8000.0,-7982.273643257822,10077.505604419219,10095.231961161397,0.0,0.0,0.0,0.0
2023-07-12,8000.0,-8029.337435821241,10168.709249170826,10139.371813349586,0.0,0.0,0.0,0.0
2023-07-13,8000.0,-8037.394848704143,10226.438837221576,10189.043988517433,0.0,0.0,0.0,0.0
2023-07-14,8000.0,-8011.310440827329,10135.548263675348,10124.23782284802,0.0,0.0,0.0,0.0
2023-07-17,8000.0,-7969.242885477991,10134.982877935265,10165.739992457275,0.0,0.0,0.0,0.0
2023-07-18,8000.0,-7986.816185435031,10188.795792831252,10201.97960739622,0.0,0.0,0.0,0.0
2023-07-19,8000.0,-8048.151681372213,10220.375392355847,10172.223710983635,0.0,0.0,0.0,0.0
2023-07-20,8000.0,-8159.017533710235,10207.452876302928,10048.435342592693,0.0,0.0,0.0,0.0
2023-07-21,8000.0,-8235.245451132734,10225.192517919626,9989.947066786892,0.0,0.0,0.0,0.0
2023-07-24,8000.0,-8266.676535707727,10265.337886491181,9998.661350783454,0.0,0.0,0.0,0.0
2023-07-25,8000.0,-8279.951175037746,10307.252067226716,10027.30089218897,0.0,0.0,0.0,0.0
2023-07-26,3831.7848178821496,-4088.30906024638,10300.67387697604,10044.14963461181,0.0,0.0,0.0,0.0
2023-07-27,3831.7848178821496,-4034.0586666906765,10212.279416518762,10010.005567710235,0.0,0.0,0.0,0.0
2023-07-28,3831.7848178821496,-4050.46548985566,10260.586526463521,10041.90585449001,0.0,0.0,0.0,0.0
2023-07-31,3831.7848178821496,-4041.9844468522533,10296.019198028369,10085.819569058265,0.0,0.0,0.0,0.0
2023-08-01,3831.7848178821496,-4006.400354879439,10260.5958088552,10085.98027185791,0.0,0.0,0.0,0.0
2023-08-02,5827.563705160721,-6009.415907931262,10160.746639163399,9978.894436392857,0.0,0.0,0.0,0.0
2023-08-03,5827.563705160721,-5948.48317995334,10105.887434142696,9984.967959350077,0.0,0.0,0.0,0.0
2023-08-04,5827.563705160721,-5898.861596666898,10039.665980038675,9968.368088532497,0.0,0.0,0.0,0.0
2023-08-07,5827.563705160721,-5937.777281054424,10094.95570736724,9984.742131473537,0.0,0.0,0.0,0.0
2023-08-08,5827.563705160721,-5947.695681797585,10105.142209915144,9985.01023327828,0.0,0.0,0.0,0.0
2023-08-09,3811.1604741316296,-3937.8420751121816,10109.297231949895,9982.615630969343,0.0,0.0,0.0,0.0
2023-08-10,3811.1604741316296,-3927.8229049982015,10096.33172406833,9979.669293201758,0.0,0.0,0.0,0.0
2023-08-11,3811.1604741316296,-3941.53710131734,10141.862458749096,10011.485831563386,0.0,0.0,0.0,0.0
2023-08-14,3811.1604741316296,-3916.323248349526,10154.841995883013,10049.679221665116,0.0,0.0,0.0,0.0
2023-08-15,3811.1604741316296,-3863.68751444029,10024.863379546536,9972.336339237874,0.0,0.0,0.0,0.0
2023-08-16,3811.1604741316296,-3867.5294155856573,9969.438436423663,9913.069494969635,0.0,0.0,0.0,0.0
2023-08-17,3811.1604741316296,-3844.3005046806234,9939.930058051552,9906.790027502559,0.0,0.0,0.0,0.0
2023-08-18,3811.1604741316296,-3861.4351908497956,9978.719754585123,9928.445037866957,0.0,0.0,0.0,0.0
2023-08-21,3811.1604741316296,-3836.304382114732,9989.05403976487,9963.910131781766,0.0,0.0,0.0,0.0
2023-08-22,3811.1604741316296,-3830.714291341678,9963.803821228137,9944.25000401809,0.0,0.0,0.0,0.0
