date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,9.999996564147295e-08,-0.0,9999.999999900001,10000.000000000002,0.0,0.0,0.0,0.0
2021-03-10,9.999999406318238e-08,-0.0,10321.776998564988,10321.77699866499,0.0,0.0,0.0,0.0
2021-03-17,1.0000002248489182e-07,-0.0,10455.6148832915,10455.614883391501,0.0,0.0,0.0,0.0
2021-03-24,9.999985195463523e-08,-0.0,10176.590538813805,10176.590538913806,0.0,0.0,0.0,0.0
2021-03-31,1.0000002248489182e-07,-0.0,10366.328820953708,10366.328821053708,0.0,0.0,0.0,0.0
2021-04-07,9.999999406318238e-08,-0.0,10516.948873264608,10516.948873364609,0.0,0.0,0.0,0.0
2021-04-14,9.999996564147295e-08,-0.0,10616.178852453226,10616.178852553227,0.0,0.0,0.0,0.0
2021-04-21,9.999985195463523e-08,-0.0,10726.493670933947,10726.493671033946,0.0,0.0,0.0,0.0
2021-04-28,9.999996564147295e-08,-0.0,10808.16903676487,10808.16903686487,0.0,0.0,0.0,0.0
2021-05-05,9.999985195463523e-08,-0.0,10836.154174858862,10836.154174958861,0.0,0.0,0.0,0.0
2021-05-12,9.999985195463523e-08,-0.0,10513.25067274865,10513.250672848651,0.0,0.0,0.0,0.0
2021-05-19,1.0000007932831068e-07,-0.0,10610.306970102332,10610.306970202333,0.0,0.0,0.0,0.0
2021-05-26,9.999999406318238e-08,-0.0,10788.91319351765,10788.91319361765,0.0,0.0,0.0,0.0
2021-06-02,1.0000007932831068e-07,-0.0,10868.77874610438,10868.778746204382,0.0,0.0,0.0,0.0
2021-06-09,9.999996564147295e-08,-0.0,10933.245768681014,10933.245768781015,0.0,0.0,0.0,0.0
2021-06-16,9.999985195463523e-08,-0.0,10830.909706135659,10830.90970623566,0.0,0.0,0.0,0.0
2021-06-23,9.999999406318238e-08,-0.0,10725.587903868229,10725.58790396823,0.0,0.0,0.0,0.0
2021-06-30,9.999996564147295e-08,-0.0,10790.890169500593,10790.890169600594,0.0,0.0,0.0,0.0
2021-07-07,1.0000002248489182e-07,-0.0,10831.259216079165,10831.259216179165,0.0,0.0,0.0,0.0
2021-07-14,1.0000007932831068e-07,-0.0,10754.140155978013,10754.140156078014,0.0,0.0,0.0,0.0
2021-07-21,1.0000002248489182e-07,-0.0,10684.865278790905,10684.865278890906,0.0,0.0,0.0,0.0
2021-07-28,1.0000007932831068e-07,-0.0,10828.629299989816,10828.629300089817,0.0,0.0,0.0,0.0
2021-08-04,1.0000007932831068e-07,-0.0,10818.067702853728,10818.06770295373,0.0,0.0,0.0,0.0
2021-08-11,9.999996564147295e-08,-0.0,11061.81091736108,11061.81091746108,0.0,0.0,0.0,0.0
2021-08-18,1.0000030670198612e-07,-0.0,11031.007047829238,11031.007047929239,0.0,0.0,0.0,0.0
2021-08-25,9.999999406318238e-08,-0.0,11275.62955443684,11275.629554536841,0.0,0.0,0.0,0.0
2021-09-01,1.0000002248489182e-07,-0.0,11412.735339520883,11412.735339620884,0.0,0.0,0.0,0.0
2021-09-08,1.0000002248489182e-07,-0.0,11343.859067071928,11343.859067171928,0.0,0.0,0.0,0.0
2021-09-15,9.999996564147295e-08,-0.0,11290.091278787491,11290.091278887492,0.0,0.0,0.0,0.0
2021-09-22,9.999996564147295e-08,-0.0,10989.00180469046,10989.001804790461,0.0,0.0,0.0,0.0
2021-09-29,9.999996564147295e-08,-0.0,10959.947544994004,10959.947545094004,0.0,0.0,0.0,0.0
2021-10-06,9.999996564147295e-08,-0.0,10909.974216216215,10909.974216316215,0.0,0.0,0.0,0.0
2021-10-13,1.0000002248489182e-07,-0.0,10929.26875507663,10929.26875517663,0.0,0.0,0.0,0.0
2021-10-20,1.0000007932831068e-07,-0.0,11335.862360276764,11335.862360376765,0.0,0.0,0.0,0.0
2021-10-27,1.0000000116860974e-07,-0.0,11337.725231671173,11337.725231771174,0.0,0.0,0.0,0.0
2021-11-03,9.999999406318238e-08,-0.0,11523.61173727485,11523.611737374851,0.0,0.0,0.0,0.0
2021-11-10,1.00000761449337e-07,-0.0,11521.709721026858,11521.70972112686,0.0,0.0,0.0,0.0
2021-11-17,9.999999406318238e-08,-0.0,11727.195956037982,11727.195956137983,0.0,0.0,0.0,0.0
2021-11-24,9.999985195463523e-08,-0.0,11707.255305460221,11707.255305560222,0.0,0.0,0.0,0.0
2021-12-01,1.0000002248489182e-07,-0.0,11193.686207673794,11193.686207773795,0.0,0.0,0.0,0.0
2021-12-08,9.999999406318238e-08,-0.0,11758.76097903018,11758.76097913018,0.0,0.0,0.0,0.0
2021-12-15,9.999985195463523e-08,-0.0,11830.346060343454,11830.346060443455,0.0,0.0,0.0,0.0
2021-12-22,1.0000002248489182e-07,-0.0,11772.141741425436,11772.141741525436,0.0,0.0,0.0,0.0
2021-12-29,9.999985195463523e-08,-0.0,12019.098519704401,12019.0985198044,0.0,0.0,0.0,0.0
2022-01-05,9.999999406318238e-08,-0.0,11943.898402127557,11943.898402227558,0.0,0.0,0.0,0.0
2022-01-12,1.0000007932831068e-07,-0.0,11926.075825325865,11926.075825425865,0.0,0.0,0.0,0.0
2022-01-19,9.999985195463523e-08,-0.0,11483.478552029257,11483.478552129258,0.0,0.0,0.0,0.0
2022-01-26,9.999985195463523e-08,-0.0,10949.457431402972,10949.457431502971,0.0,0.0,0.0,0.0
2022-02-02,1.0000002248489182e-07,-0.0,11514.011426410063,11514.011426510064,0.0,0.0,0.0,0.0
2022-02-09,1.0000002248489182e-07,-0.0,11590.762535689893,11590.762535789894,0.0,0.0,0.0,0.0
2022-02-16,9.999999406318238e-08,-0.0,11366.852847555898,11366.852847655899,0.0,0.0,0.0,0.0
2022-02-23,1.00000761449337e-07,-0.0,11026.12133401076,11026.121334110761,0.0,0.0,0.0,0.0
2022-03-02,9.999996564147295e-08,-0.0,11635.96539843316,11635.96539853316,0.0,0.0,0.0,0.0
2022-03-09,9.999985195463523e-08,-0.0,11336.577445421812,11336.577445521812,0.0,0.0,0.0,0.0
2022-03-16,9.99999993922529e-08,-0.0,11580.330463107777,11580.330463207778,0.0,0.0,0.0,0.0
2022-03-23,9.999985195463523e-08,-0.0,12430.632889568782,12430.632889668781,0.0,0.0,0.0,0.0
2022-03-30,9.999999999940612e-08,-0.0,12876.92617962372,12876.926179723721,0.0,0.0,0.0,0.0
2022-04-06,1.0000000005838672e-07,-0.0,12721.860789771112,12721.860789871113,0.0,0.0,0.0,0.0
2022-04-13,9.999999994736442e-08,-0.0,13131.091435549204,13131.091435649205,0.0,0.0,0.0,0.0
2022-04-20,9.999999994736442e-08,-0.0,13348.79174978908,13348.79174988908,0.0,0.0,0.0,0.0
2022-04-27,9.999999406318238e-08,-0.0,12488.658176519404,12488.658176619405,0.0,0.0,0.0,0.0
2022-05-04,1.0000002248489182e-07,-0.0,12882.121835399219,12882.12183549922,0.0,0.0,0.0,0.0
2022-05-11,9.999996564147295e-08,-0.0,12378.405818229736,12378.405818329737,0.0,0.0,0.0,0.0
2022-05-18,9.999999406318238e-08,-0.0,12671.43906575195,12671.439065851951,0.0,0.0,0.0,0.0
2022-05-25,1.0000007932831068e-07,-0.0,12939.601487734202,12939.601487834203,0.0,0.0,0.0,0.0
2022-06-01,1.0000000028043132e-07,-0.0,13341.475957843972,13341.475957943972,0.0,0.0,0.0,0.0
2022-06-08,9.999999983634211e-08,-0.0,13578.121334603939,13578.12133470394,0.0,0.0,0.0,0.0
2022-06-15,1.0000000116860974e-07,-0.0,12338.187971111982,12338.187971211983,0.0,0.0,0.0,0.0
2022-06-22,9.999999406318238e-08,-0.0,11453.85471397967,11453.85471407967,0.0,0.0,0.0,0.0
2022-06-29,9.999996564147295e-08,-0.0,11475.777707790916,11475.777707890917,0.0,0.0,0.0,0.0
2022-07-06,1.0000000116860974e-07,-0.0,11385.537452557455,11385.537452657456,0.0,0.0,0.0,0.0
2022-07-13,1.0000000116860974e-07,-0.0,11372.786775539442,11372.786775639443,0.0,0.0,0.0,0.0
