date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,9.999985195463523e-08,-0.0,10036.699672770665,10036.699672870665,0.0,0.0,0.0,0.0
2025-01-15,9.999999406318238e-08,-0.0,10097.32500208301,10097.32500218301,0.0,0.0,0.0,0.0
2025-01-22,1.0000002248489182e-07,-0.0,10286.368499022765,10286.368499122766,0.0,0.0,0.0,0.0
2025-01-29,9.999999406318238e-08,-0.0,10259.770199151639,10259.77019925164,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10321.265024885444,10321.265024985445,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10249.145271574538,10249.145271674537,0.0,0.0,0.0,0.0
2025-02-19,9.999985195463523e-08,-0.0,10378.928878645313,10378.928878745312,0.0,0.0,0.0,0.0
2025-02-26,9.999985195463523e-08,-0.0,10117.078517101774,10117.078517201775,0.0,0.0,0.0,0.0
2025-03-05,9.999985195463523e-08,-0.0,9890.164232538025,9890.164232638024,0.0,0.0,0.0,0.0
2025-03-12,9.999985195463523e-08,-0.0,9465.722275076805,9465.722275176806,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,9583.196293217487,9583.196293317487,0.0,0.0,0.0,0.0
2025-03-26,1.0000002248489182e-07,-0.0,9651.611639160916,9651.611639260916,0.0,0.0,0.0,0.0
2025-04-02,1.0000002248489182e-07,-0.0,9656.691297293664,9656.691297393665,0.0,0.0,0.0,0.0
2025-04-09,1.0000000116860974e-07,-0.0,9204.479089024328,9204.479089124328,0.0,0.0,0.0,0.0
2025-04-16,9.999894245993346e-08,-0.0,9248.416725768331,9248.41672586833,0.0,0.0,0.0,0.0
2025-04-23,9.999996564147295e-08,-0.0,9530.876474527779,9530.87647462778,0.0,0.0,0.0,0.0
2025-04-30,9.999985195463523e-08,-0.0,9749.17193886788,9749.17193896788,0.0,0.0,0.0,0.0
2025-05-07,9.999985195463523e-08,-0.0,9864.771379608985,9864.771379708985,0.0,0.0,0.0,0.0
2025-05-14,9.999999999999904e-08,-0.0,10465.36872052317,10465.368720623172,0.0,0.0,0.0,0.0
2025-05-21,1.0000000000000243e-07,-0.0,10600.217305399854,10600.217305499855,0.0,0.0,0.0,0.0
2025-05-28,1.0000000000000243e-07,-0.0,10675.05168818728,10675.051688287282,0.0,0.0,0.0,0.0
2025-06-04,9.999999999999904e-08,-0.0,10726.249326793559,10726.24932689356,0.0,0.0,0.0,0.0
2025-06-11,1.0000000000000243e-07,-0.0,10836.76749445139,10836.76749455139,0.0,0.0,0.0,0.0
2025-06-18,1.0000000000027348e-07,-0.0,10739.21315147281,10739.21315157281,0.0,0.0,0.0,0.0
2025-06-25,1.0000000000005664e-07,-0.0,10706.442770697711,10706.442770797712,0.0,0.0,0.0,0.0
2025-07-02,1.0000000000000243e-07,-0.0,10905.271010942894,10905.271011042894,0.0,0.0,0.0,0.0
2025-07-09,1.0000000000000243e-07,-0.0,10929.495350816795,10929.495350916795,0.0,0.0,0.0,0.0
2025-07-16,1.0000000000000243e-07,-0.0,10925.828641643639,10925.82864174364,0.0,0.0,0.0,0.0
2025-07-23,1.0000000000000074e-07,-0.0,11140.241759028406,11140.241759128407,0.0,0.0,0.0,0.0
2025-07-30,9.999999999999904e-08,-0.0,11110.61881941066,11110.61881951066,0.0,0.0,0.0,0.0
2025-08-06,9.999999999999989e-08,-0.0,11071.103122817,11071.103122917,0.0,0.0,0.0,0.0
2025-08-13,1e-07,-0.0,11280.3427696661,11280.3427697661,0.0,0.0,0.0,0.0
2025-08-20,9.999999999999989e-08,-0.0,11436.245389491622,11436.245389591622,0.0,0.0,0.0,0.0
2025-08-27,9.999999983634211e-08,-0.0,11659.177287331995,11659.177287431996,0.0,0.0,0.0,0.0
2025-09-03,1e-07,-0.0,11407.700280802132,11407.700280902132,0.0,0.0,0.0,0.0
2025-09-10,9.999999994736442e-08,-0.0,11592.612463315325,11592.612463415326,0.0,0.0,0.0,0.0
2025-09-17,1.0000000000000005e-07,-0.0,11742.181853123448,11742.181853223448,0.0,0.0,0.0,0.0
2025-09-24,1e-07,-0.0,11874.859860520739,11874.85986062074,0.0,0.0,0.0,0.0
2025-10-01,9.999996564147295e-08,-0.0,11885.933939005336,11885.933939105336,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11839.177644131676,11839.177644231677,0.0,0.0,0.0,0.0
2025-10-15,9.999996564147295e-08,-0.0,11831.83602865217,11831.83602875217,0.0,0.0,0.0,0.0
2025-10-22,9.999996564147295e-08,-0.0,11869.60351325894,11869.603513358941,0.0,0.0,0.0,0.0
2025-10-29,9.999996564147295e-08,-0.0,11950.400172701668,11950.400172801668,0.0,0.0,0.0,0.0
2025-11-05,9.999999406318238e-08,-0.0,11904.838811814061,11904.838811914062,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,11930.015844667065,11930.015844767066,0.0,0.0,0.0,0.0
2025-11-19,9.999985195463523e-08,-0.0,11611.365194286074,11611.365194386075,0.0,0.0,0.0,0.0
2025-11-26,9.999999406318238e-08,-0.0,11892.947752653366,11892.947752753367,0.0,0.0,0.0,0.0
2025-12-03,1.0000002248489182e-07,-0.0,11830.81841534457,11830.818415444572,0.0,0.0,0.0,0.0
2025-12-10,9.999985195463523e-08,-0.0,11718.27868969432,11718.278689794319,0.0,0.0,0.0,0.0
2025-12-17,9.999999406318238e-08,-0.0,11724.81964674696,11724.819646846961,0.0,0.0,0.0,0.0
2025-12-24,1.0000007932831068e-07,-0.0,12213.624644516365,12213.624644616366,0.0,0.0,0.0,0.0
2025-12-31,1.0000030670198612e-07,-0.0,12106.304654760224,12106.304654860225,0.0,0.0,0.0,0.0
2026-01-07,9.999999406318238e-08,-0.0,12302.66445733901,12302.66445743901,0.0,0.0,0.0,0.0
2026-01-14,9.999985195463523e-08,-0.0,12604.512251879485,12604.512251979486,0.0,0.0,0.0,0.0
2026-01-21,9.999985195463523e-08,-0.0,12493.017707348925,12493.017707448926,0.0,0.0,0.0,0.0
2026-01-28,1.0000007932831068e-07,-0.0,12672.215560195717,12672.215560295717,0.0,0.0,0.0,0.0
2026-02-04,9.999999406318238e-08,-0.0,12783.399836870345,12783.399836970346,0.0,0.0,0.0,0.0
2026-02-11,9.999985195463523e-08,-0.0,13191.287406005045,13191.287406105046,0.0,0.0,0.0,0.0
2026-02-18,1.0000007932831068e-07,-0.0,13244.938054313025,13244.938054413025,0.0,0.0,0.0,0.0
2026-02-25,1.0000030670198612e-07,-0.0,13424.800368624237,13424.800368724238,0.0,0.0,0.0,0.0
