date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,20000.000000000004,-10000.0,0.0,10000.000000000004,0.0,0.0,0.0,0.0
2025-01-08,19926.60065425987,-9963.300327129935,0.0,9963.300327129935,0.0,0.0,0.0,0.0
2025-01-15,19640.98909502804,-9820.494547514016,0.0,9820.494547514023,0.0,0.0,0.0,0.0
2025-01-22,19289.38425261511,-9644.692126307555,0.0,9644.692126307555,0.0,0.0,0.0,0.0
2025-01-29,19300.993855625933,-9650.496927812968,0.0,9650.496927812965,0.0,0.0,0.0,0.0
2025-02-05,19135.891505503383,-9567.945752751688,0.0,9567.945752751695,0.0,0.0,0.0,0.0
2025-02-12,19162.595196897146,-9581.297598448575,0.0,9581.297598448571,0.0,0.0,0.0,0.0
2025-02-19,18894.702071154323,-9447.35103557716,0.0,9447.351035577163,0.0,0.0,0.0,0.0
2025-02-26,19234.095539389033,-9617.04776969452,0.0,9617.047769694513,0.0,0.0,0.0,0.0
2025-03-05,19420.226244102287,-9710.113122051142,0.0,9710.113122051145,0.0,0.0,0.0,0.0
2025-03-12,20117.669388316346,-10058.834694158171,0.0,10058.834694158175,0.0,0.0,0.0,0.0
2025-03-19,19687.87363674042,-9843.936818370212,0.0,9843.936818370208,0.0,0.0,0.0,0.0
2025-03-26,19638.584280339703,-9819.292140169855,0.0,9819.292140169848,0.0,0.0,0.0,0.0
2025-04-02,19577.073734768892,-9788.536867384451,0.0,9788.53686738444,0.0,0.0,0.0,0.0
2025-04-09,20595.11405459587,-10297.557027297933,0.0,10297.557027297937,0.0,0.0,0.0,0.0
2025-04-16,21079.034046522254,-10539.517023261127,0.0,10539.517023261127,0.0,0.0,0.0,0.0
2025-04-23,20710.030232938687,-10355.015116469342,0.0,10355.015116469345,0.0,0.0,0.0,0.0
2025-04-30,20226.6835524321,-10113.34177621605,0.0,10113.34177621605,0.0,0.0,0.0,0.0
2025-05-07,20082.411922464158,-10041.205961232075,0.0,10041.205961232083,0.0,0.0,0.0,0.0
2025-05-14,19675.052165100995,-9837.5260825505,0.0,9837.526082550496,0.0,0.0,0.0,0.0
2025-05-21,19685.858015562342,-9842.929007781177,0.0,9842.929007781166,0.0,0.0,0.0,0.0
2025-05-28,19605.774346778817,-9802.887173389407,0.0,9802.88717338941,0.0,0.0,0.0,0.0
2025-06-04,19430.71178030103,-9715.355890150515,0.0,9715.355890150515,0.0,0.0,0.0,0.0
2025-06-11,19251.27775940404,-9625.63887970202,0.0,9625.63887970202,0.0,0.0,0.0,0.0
2025-06-18,19384.372231112837,-9692.186115556418,0.0,9692.186115556418,0.0,0.0,0.0,0.0
2025-06-25,19305.50409191051,-9652.752045955256,0.0,9652.752045955252,0.0,0.0,0.0,0.0
2025-07-02,18877.43383204043,-9438.716916020216,0.0,9438.716916020216,0.0,0.0,0.0,0.0
2025-07-09,18855.996378801294,-9427.998189400649,0.0,9427.998189400645,0.0,0.0,0.0,0.0
2025-07-16,18952.148094351538,-9476.074047175769,0.0,9476.074047175769,0.0,0.0,0.0,0.0
2025-07-23,18553.847191564797,-9276.923595782393,0.0,9276.923595782404,0.0,0.0,0.0,0.0
2025-07-30,18727.953620974615,-9363.976810487302,0.0,9363.976810487313,0.0,0.0,0.0,0.0
2025-08-06,18851.84823726169,-9425.924118630845,0.0,9425.924118630845,0.0,0.0,0.0,0.0
2025-08-13,18505.563554395165,-9252.78177719758,0.0,9252.781777197584,0.0,0.0,0.0,0.0
2025-08-20,18509.775437042874,-9254.887718521437,0.0,9254.887718521437,0.0,0.0,0.0,0.0
2025-08-27,18325.91637780475,-9162.958188902381,0.0,9162.95818890237,0.0,0.0,0.0,0.0
2025-09-03,18471.15504452243,-9235.577522261212,0.0,9235.57752226122,0.0,0.0,0.0,0.0
2025-09-10,18340.227185469834,-9170.113592734922,0.0,9170.113592734911,0.0,0.0,0.0,0.0
2025-09-17,18194.70115688955,-9097.350578444777,0.0,9097.350578444773,0.0,0.0,0.0,0.0
2025-09-24,18233.942882528474,-9116.971441264237,0.0,9116.971441264237,0.0,0.0,0.0,0.0
2025-10-01,18059.847486685565,-9029.92374334278,0.0,9029.923743342784,0.0,0.0,0.0,0.0
2025-10-08,17989.29483364317,-8994.647416821585,0.0,8994.647416821585,0.0,0.0,0.0,0.0
2025-10-15,18054.42616308999,-9027.213081544995,0.0,9027.213081544995,0.0,0.0,0.0,0.0
2025-10-22,18015.111181946304,-9007.555590973154,0.0,9007.55559097315,0.0,0.0,0.0,0.0
2025-10-29,18162.80825863129,-9081.404129315644,0.0,9081.404129315644,0.0,0.0,0.0,0.0
2025-11-05,18301.51249838179,-9150.756249190894,0.0,9150.756249190898,0.0,0.0,0.0,0.0
2025-11-12,18037.75573660578,-9018.877868302896,0.0,9018.877868302885,0.0,0.0,0.0,0.0
2025-11-19,18467.87312455093,-9233.936562275465,0.0,9233.936562275465,0.0,0.0,0.0,0.0
2025-11-26,18042.306353581735,-9021.15317679087,0.0,9021.153176790865,0.0,0.0,0.0,0.0
2025-12-03,18002.98403248519,-9001.492016242599,0.0,9001.492016242591,0.0,0.0,0.0,0.0
2025-12-10,18001.200564765975,-9000.600282382988,0.0,9000.600282382988,0.0,0.0,0.0,0.0
2025-12-17,18085.60667986551,-9042.80333993275,0.0,9042.803339932758,0.0,0.0,0.0,0.0
2025-12-24,17946.57372792833,-8973.286863964167,0.0,8973.286863964164,0.0,0.0,0.0,0.0
2025-12-31,18100.16664999474,-9050.08332499737,0.0,9050.08332499737,0.0,0.0,0.0,0.0
2026-01-07,17926.314392375538,-8963.157196187767,0.0,8963.15719618777,0.0,0.0,0.0,0.0
2026-01-14,17620.52440749185,-8810.26220374592,0.0,8810.262203745928,0.0,0.0,0.0,0.0
2026-01-21,17639.49719887893,-8819.74859943946,0.0,8819.74859943947,0.0,0.0,0.0,0.0
2026-01-28,17581.889648078177,-8790.944824039085,0.0,8790.944824039092,0.0,0.0,0.0,0.0
2026-02-04,17398.66210240087,-8699.331051200432,0.0,8699.33105120044,0.0,0.0,0.0,0.0
2026-02-11,17114.455985995366,-8557.227992997683,0.0,8557.227992997683,0.0,0.0,0.0,0.0
