date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770666,10036.699672870667,0.0,0.0,0.0,0.0
2025-01-15,1.0000002248489182e-07,-0.0,10104.113441586453,10104.113441686453,0.0,0.0,0.0,0.0
2025-01-22,9.999996564147295e-08,-0.0,10306.41896586914,10306.41896596914,0.0,0.0,0.0,0.0
2025-01-29,1.0000002248489182e-07,-0.0,10307.216872054685,10307.216872154686,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10390.427566871094,10390.427566971095,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10355.611105335867,10355.611105435866,0.0,0.0,0.0,0.0
2025-02-19,9.999985195463523e-08,-0.0,10495.090939156129,10495.09093925613,0.0,0.0,0.0,0.0
2025-02-26,9.999985195463523e-08,-0.0,10245.715023391098,10245.715023491099,0.0,0.0,0.0,0.0
2025-03-05,9.999985195463523e-08,-0.0,10047.982826650505,10047.982826750504,0.0,0.0,0.0,0.0
2025-03-12,9.999985195463523e-08,-0.0,9643.928727438431,9643.92872753843,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,9766.711470592938,9766.711470692939,0.0,0.0,0.0,0.0
2025-03-26,9.999996564147295e-08,-0.0,9851.316007135436,9851.316007235437,0.0,0.0,0.0,0.0
2025-04-02,9.999996564147295e-08,-0.0,9874.83340800251,9874.833408102511,0.0,0.0,0.0,0.0
2025-04-09,9.999996564147295e-08,-0.0,9392.648280870431,9392.648280970432,0.0,0.0,0.0,0.0
2025-04-16,1.00000761449337e-07,-0.0,9274.913315996338,9274.91331609634,0.0,0.0,0.0,0.0
2025-04-23,1.0000098882301245e-07,-0.0,9496.860419214507,9496.860419314507,0.0,0.0,0.0,0.0
2025-04-30,1.0000053407566156e-07,-0.0,9730.76199622198,9730.76199632198,0.0,0.0,0.0,0.0
2025-05-07,1.0000030670198612e-07,-0.0,9831.688968560698,9831.6889686607,0.0,0.0,0.0,0.0
2025-05-14,1.0000000000287557e-07,-0.0,10293.994020136048,10293.994020236049,0.0,0.0,0.0,0.0
2025-05-21,1.0000000000287557e-07,-0.0,10383.373433727249,10383.37343382725,0.0,0.0,0.0,0.0
2025-05-28,1.0000000000287557e-07,-0.0,10445.666697562137,10445.666697662138,0.0,0.0,0.0,0.0
2025-06-04,1.0000000000287557e-07,-0.0,10508.91158802588,10508.91158812588,0.0,0.0,0.0,0.0
2025-06-11,1.0000000000287557e-07,-0.0,10654.210835042382,10654.210835142383,0.0,0.0,0.0,0.0
2025-06-18,1.0000000028043132e-07,-0.0,10579.74319486471,10579.74319496471,0.0,0.0,0.0,0.0
2025-06-25,9.999999994736442e-08,-0.0,10544.698673080447,10544.698673180448,0.0,0.0,0.0,0.0
2025-07-02,1.0000000000287557e-07,-0.0,10757.571618123096,10757.571618223097,0.0,0.0,0.0,0.0
2025-07-09,1.0000000000287557e-07,-0.0,10767.402025210757,10767.402025310757,0.0,0.0,0.0,0.0
2025-07-16,1.0000000000287557e-07,-0.0,10739.832664727195,10739.832664827196,0.0,0.0,0.0,0.0
2025-07-23,1.0000000000287557e-07,-0.0,10954.095086025829,10954.09508612583,0.0,0.0,0.0,0.0
2025-07-30,1.0000000000287557e-07,-0.0,10903.617776000505,10903.617776100506,0.0,0.0,0.0,0.0
2025-08-06,1.0000000000287557e-07,-0.0,10819.388581494153,10819.388581594154,0.0,0.0,0.0,0.0
2025-08-13,9.999999999940612e-08,-0.0,11000.229937036174,11000.229937136175,0.0,0.0,0.0,0.0
2025-08-20,1.0000000000287557e-07,-0.0,11123.520474130064,11123.520474230065,0.0,0.0,0.0,0.0
2025-08-27,1.0000000000005664e-07,-0.0,11296.456681965152,11296.456682065153,0.0,0.0,0.0,0.0
2025-09-03,9.999999999994822e-08,-0.0,11086.00274609294,11086.00274619294,0.0,0.0,0.0,0.0
2025-09-10,1.0000000000005664e-07,-0.0,11261.40070005141,11261.400700151411,0.0,0.0,0.0,0.0
2025-09-17,9.999999999940612e-08,-0.0,11367.160028458287,11367.160028558288,0.0,0.0,0.0,0.0
2025-09-24,9.999999999940612e-08,-0.0,11440.603631336357,11440.603631436357,0.0,0.0,0.0,0.0
2025-10-01,1.0000007932831068e-07,-0.0,11479.761175955846,11479.761176055847,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11468.80048106773,11468.800481167731,0.0,0.0,0.0,0.0
2025-10-15,1.0000007932831068e-07,-0.0,11466.228202091146,11466.228202191147,0.0,0.0,0.0,0.0
2025-10-22,9.999996564147295e-08,-0.0,11492.137063715525,11492.137063815526,0.0,0.0,0.0,0.0
2025-10-29,9.999996564147295e-08,-0.0,11526.78443301218,11526.784433112181,0.0,0.0,0.0,0.0
2025-11-05,1.0000002248489182e-07,-0.0,11468.19650243042,11468.196502530422,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,11545.496050484653,11545.496050584654,0.0,0.0,0.0,0.0
2025-11-19,9.999985195463523e-08,-0.0,11228.572435875545,11228.572435975544,0.0,0.0,0.0,0.0
2025-11-26,9.999999406318238e-08,-0.0,11510.798548690063,11510.798548790064,0.0,0.0,0.0,0.0
2025-12-03,9.999996564147295e-08,-0.0,11507.43067170493,11507.43067180493,0.0,0.0,0.0,0.0
2025-12-10,1.0000007932831068e-07,-0.0,11460.528914121434,11460.528914221435,0.0,0.0,0.0,0.0
2025-12-17,1.0000002248489182e-07,-0.0,11467.91658522288,11467.91658532288,0.0,0.0,0.0,0.0
2025-12-24,1.0000007932831068e-07,-0.0,11833.298152680514,11833.298152780515,0.0,0.0,0.0,0.0
2025-12-31,9.999985195463523e-08,-0.0,11734.997925279164,11734.997925379164,0.0,0.0,0.0,0.0
2026-01-07,9.999996564147295e-08,-0.0,11893.240253166583,11893.240253266584,0.0,0.0,0.0,0.0
2026-01-14,9.999985195463523e-08,-0.0,12144.483680748208,12144.483680848207,0.0,0.0,0.0,0.0
2026-01-21,9.999985195463523e-08,-0.0,12057.737553612355,12057.737553712355,0.0,0.0,0.0,0.0
2026-01-28,9.999985195463523e-08,-0.0,12183.5249180665,12183.524918166499,0.0,0.0,0.0,0.0
2026-02-04,9.999996564147295e-08,-0.0,12302.739703829096,12302.739703929097,0.0,0.0,0.0,0.0
2026-02-11,9.999985195463523e-08,-0.0,12630.250449448355,12630.250449548355,0.0,0.0,0.0,0.0
2026-02-18,1.0000007932831068e-07,-0.0,12639.431595221831,12639.431595321832,0.0,0.0,0.0,0.0
2026-02-25,9.999985195463523e-08,-0.0,12767.915702542836,12767.915702642837,0.0,0.0,0.0,0.0
