date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770668,10036.699672870669,0.0,0.0,0.0,0.0
2025-01-15,9.999996564147295e-08,-0.0,10105.04020934928,10105.04020944928,0.0,0.0,0.0,0.0
2025-01-22,9.999996564147295e-08,-0.0,10298.115291749056,10298.115291849057,0.0,0.0,0.0,0.0
2025-01-29,1.0000002248489182e-07,-0.0,10285.740370834632,10285.740370934633,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10399.671983336862,10399.671983436863,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10344.81304419673,10344.81304429673,0.0,0.0,0.0,0.0
2025-02-19,1.0000007932831068e-07,-0.0,10504.435359935225,10504.435360035226,0.0,0.0,0.0,0.0
2025-02-26,9.999985195463523e-08,-0.0,10287.04474252301,10287.04474262301,0.0,0.0,0.0,0.0
2025-03-05,1.0000007932831068e-07,-0.0,10110.430564949527,10110.430565049528,0.0,0.0,0.0,0.0
2025-03-12,9.999985195463523e-08,-0.0,9802.282610777205,9802.282610877206,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,9961.838340139628,9961.838340239628,0.0,0.0,0.0,0.0
2025-03-26,1.0000007932831068e-07,-0.0,9986.298250997213,9986.298251097214,0.0,0.0,0.0,0.0
2025-04-02,1.0000002248489182e-07,-0.0,10001.969455313572,10001.969455413573,0.0,0.0,0.0,0.0
2025-04-09,9.999999406318238e-08,-0.0,9518.061207248606,9518.061207348606,0.0,0.0,0.0,0.0
2025-04-16,9.999985195463523e-08,-0.0,9510.44400765334,9510.44400775334,0.0,0.0,0.0,0.0
2025-04-23,1.0000002248489182e-07,-0.0,9730.894891199217,9730.894891299218,0.0,0.0,0.0,0.0
2025-04-30,9.999985195463523e-08,-0.0,9953.952166324976,9953.952166424977,0.0,0.0,0.0,0.0
2025-05-07,1.0000007932831068e-07,-0.0,10048.067743930409,10048.06774403041,0.0,0.0,0.0,0.0
2025-05-14,1.0000000028043132e-07,-0.0,10275.30021824309,10275.30021834309,0.0,0.0,0.0,0.0
2025-05-21,1.0000000116860974e-07,-0.0,10456.326330010525,10456.326330110525,0.0,0.0,0.0,0.0
2025-05-28,1.0000000116860974e-07,-0.0,10466.313991997715,10466.313992097716,0.0,0.0,0.0,0.0
2025-06-04,1.0000000116860974e-07,-0.0,10550.172232113022,10550.172232213023,0.0,0.0,0.0,0.0
2025-06-11,9.999999406318238e-08,-0.0,10753.355318410417,10753.355318510417,0.0,0.0,0.0,0.0
2025-06-18,1.0000002248489182e-07,-0.0,10678.727541648315,10678.727541748316,0.0,0.0,0.0,0.0
2025-06-25,9.999999406318238e-08,-0.0,10647.899070759335,10647.899070859336,0.0,0.0,0.0,0.0
2025-07-02,1.0000000116860974e-07,-0.0,10882.797010502425,10882.797010602426,0.0,0.0,0.0,0.0
2025-07-09,9.999999406318238e-08,-0.0,10897.977452022455,10897.977452122455,0.0,0.0,0.0,0.0
2025-07-16,1.0000000116860974e-07,-0.0,10827.71883924397,10827.71883934397,0.0,0.0,0.0,0.0
2025-07-23,1.0000000116860974e-07,-0.0,11036.51237003873,11036.512370138731,0.0,0.0,0.0,0.0
2025-07-30,9.999999406318238e-08,-0.0,11010.8895083265,11010.8895084265,0.0,0.0,0.0,0.0
2025-08-06,1.0000000028043132e-07,-0.0,10934.623977106,10934.623977206002,0.0,0.0,0.0,0.0
2025-08-13,9.99999993922529e-08,-0.0,11130.548606662216,11130.548606762217,0.0,0.0,0.0,0.0
2025-08-20,1.0000000116860974e-07,-0.0,11197.058948605498,11197.058948705499,0.0,0.0,0.0,0.0
2025-08-27,9.99999993922529e-08,-0.0,11300.335270600612,11300.335270700612,0.0,0.0,0.0,0.0
2025-09-03,9.99999993922529e-08,-0.0,11164.529139172913,11164.529139272914,0.0,0.0,0.0,0.0
2025-09-10,9.99999993922529e-08,-0.0,11300.959646268397,11300.959646368397,0.0,0.0,0.0,0.0
2025-09-17,9.99999993922529e-08,-0.0,11373.618749328562,11373.618749428562,0.0,0.0,0.0,0.0
2025-09-24,1.0000000116860974e-07,-0.0,11405.202295000883,11405.202295100884,0.0,0.0,0.0,0.0
2025-10-01,9.999996564147295e-08,-0.0,11452.83058675433,11452.83058685433,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11452.454708838943,11452.454708938942,0.0,0.0,0.0,0.0
2025-10-15,1.0000007932831068e-07,-0.0,11452.68452864116,11452.684528741162,0.0,0.0,0.0,0.0
2025-10-22,9.999996564147295e-08,-0.0,11489.168035061357,11489.168035161358,0.0,0.0,0.0,0.0
2025-10-29,9.999996564147295e-08,-0.0,11492.01979936311,11492.01979946311,0.0,0.0,0.0,0.0
2025-11-05,9.999996564147295e-08,-0.0,11427.768191283149,11427.76819138315,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,11530.81058286759,11530.810582967591,0.0,0.0,0.0,0.0
2025-11-19,1.0000007932831068e-07,-0.0,11241.464965619052,11241.464965719053,0.0,0.0,0.0,0.0
2025-11-26,9.999996564147295e-08,-0.0,11523.391163043736,11523.391163143737,0.0,0.0,0.0,0.0
2025-12-03,9.999996564147295e-08,-0.0,11596.578622549208,11596.57862264921,0.0,0.0,0.0,0.0
2025-12-10,1.0000002248489182e-07,-0.0,11545.616393673821,11545.616393773822,0.0,0.0,0.0,0.0
2025-12-17,1.0000002248489182e-07,-0.0,11578.53961982397,11578.539619923971,0.0,0.0,0.0,0.0
2025-12-24,9.999996564147295e-08,-0.0,11949.34548140859,11949.345481508592,0.0,0.0,0.0,0.0
