date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,9.999985195463523e-08,-0.0,10036.699672770665,10036.699672870665,0.0,0.0,0.0,0.0
2025-01-15,9.999999406318238e-08,-0.0,10097.32500208301,10097.32500218301,0.0,0.0,0.0,0.0
2025-01-22,1.0000002248489182e-07,-0.0,10286.368499022765,10286.368499122766,0.0,0.0,0.0,0.0
2025-01-29,9.999999406318238e-08,-0.0,10259.770199151639,10259.77019925164,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10321.265024885444,10321.265024985445,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10249.145271574538,10249.145271674537,0.0,0.0,0.0,0.0
2025-02-19,9.999985195463523e-08,-0.0,10378.928878645313,10378.928878745312,0.0,0.0,0.0,0.0
2025-02-26,9.999985195463523e-08,-0.0,10117.078517101774,10117.078517201775,0.0,0.0,0.0,0.0
2025-03-05,9.999985195463523e-08,-0.0,9890.164232538025,9890.164232638024,0.0,0.0,0.0,0.0
2025-03-12,9.999985195463523e-08,-0.0,9465.722275076805,9465.722275176806,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,9583.196293217487,9583.196293317487,0.0,0.0,0.0,0.0
2025-03-26,1.0000002248489182e-07,-0.0,9651.611639160916,9651.611639260916,0.0,0.0,0.0,0.0
2025-04-02,1.0000002248489182e-07,-0.0,9656.691297293664,9656.691297393665,0.0,0.0,0.0,0.0
2025-04-09,1.0000038308533021e-07,-0.0,9204.47908902433,9204.47908912433,0.0,0.0,0.0,0.0
2025-04-16,9.999894245993346e-08,-0.0,9111.824328662091,9111.82432876209,0.0,0.0,0.0,0.0
2025-04-23,1.0000013617172954e-07,-0.0,9343.561587723438,9343.561587823438,0.0,0.0,0.0,0.0
2025-04-30,1.00000761449337e-07,-0.0,9584.396056367614,9584.396056467614,0.0,0.0,0.0,0.0
2025-05-07,9.999985195463523e-08,-0.0,9698.724882310824,9698.724882410825,0.0,0.0,0.0,0.0
2025-05-14,9.999999999999904e-08,-0.0,10289.212806504485,10289.212806604486,0.0,0.0,0.0,0.0
2025-05-21,1.0000000000000243e-07,-0.0,10421.791583566479,10421.79158366648,0.0,0.0,0.0,0.0
2025-05-28,1.0000000000000243e-07,-0.0,10495.366333804468,10495.366333904469,0.0,0.0,0.0,0.0
2025-06-04,9.999999999999904e-08,-0.0,10545.702199925958,10545.702200025959,0.0,0.0,0.0,0.0
2025-06-11,1.0000000000000243e-07,-0.0,10654.360095925795,10654.360096025795,0.0,0.0,0.0,0.0
2025-06-18,1.0000000000027348e-07,-0.0,10558.447814007093,10558.447814107094,0.0,0.0,0.0,0.0
2025-06-25,1.0000000000005664e-07,-0.0,10526.229033135625,10526.229033235626,0.0,0.0,0.0,0.0
2025-07-02,1.0000000000000243e-07,-0.0,10721.71054271992,10721.710542819921,0.0,0.0,0.0,0.0
2025-07-09,1.0000000000000243e-07,-0.0,10745.527131959729,10745.52713205973,0.0,0.0,0.0,0.0
2025-07-16,1.0000000000000243e-07,-0.0,10741.92214182779,10741.922141927791,0.0,0.0,0.0,0.0
2025-07-23,9.999999999999904e-08,-0.0,10952.726199688765,10952.726199788765,0.0,0.0,0.0,0.0
2025-07-30,9.999999999999904e-08,-0.0,10923.601881396356,10923.601881496357,0.0,0.0,0.0,0.0
2025-08-06,9.999999999999989e-08,-0.0,10884.751323686432,10884.751323786433,0.0,0.0,0.0,0.0
2025-08-13,1e-07,-0.0,11090.468992265742,11090.468992365742,0.0,0.0,0.0,0.0
2025-08-20,9.999999999999989e-08,-0.0,11243.74741707181,11243.747417171811,0.0,0.0,0.0,0.0
2025-08-27,9.999999983634211e-08,-0.0,11462.926864972502,11462.926865072503,0.0,0.0,0.0,0.0
2025-09-03,1e-07,-0.0,11215.68278736451,11215.682787464511,0.0,0.0,0.0,0.0
2025-09-10,9.999999994736442e-08,-0.0,11397.48247805919,11397.48247815919,0.0,0.0,0.0,0.0
2025-09-17,9.999999999999994e-08,-0.0,11544.534275486769,11544.53427558677,0.0,0.0,0.0,0.0
2025-09-24,1e-07,-0.0,11674.97901081623,11674.979010916231,0.0,0.0,0.0,0.0
2025-10-01,9.999996564147295e-08,-0.0,11685.866687419604,11685.866687519605,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11639.897407134617,11639.897407234617,0.0,0.0,0.0,0.0
2025-10-15,9.999996564147295e-08,-0.0,11632.679367710542,11632.679367810542,0.0,0.0,0.0,0.0
2025-10-22,9.999996564147295e-08,-0.0,11669.811139811798,11669.811139911799,0.0,0.0,0.0,0.0
2025-10-29,9.999996564147295e-08,-0.0,11749.247808051898,11749.247808151898,0.0,0.0,0.0,0.0
2025-11-05,9.999999406318238e-08,-0.0,11704.4533483012,11704.4533484012,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,11729.206594534533,11729.206594634534,0.0,0.0,0.0,0.0
2025-11-19,9.999939720728435e-08,-0.0,11415.919557998737,11415.919558098736,0.0,0.0,0.0,0.0
2025-11-26,9.999999406318238e-08,-0.0,11692.762442661247,11692.762442761248,0.0,0.0,0.0,0.0
2025-12-03,1.0000002248489182e-07,-0.0,11631.67888314505,11631.678883245051,0.0,0.0,0.0,0.0
2025-12-10,1.0000007932831068e-07,-0.0,11521.03345656464,11521.033456664642,0.0,0.0,0.0,0.0
2025-12-17,9.999999406318238e-08,-0.0,11527.464314460822,11527.464314560822,0.0,0.0,0.0,0.0
2025-12-24,1.0000007932831068e-07,-0.0,12008.041614434962,12008.041614534963,0.0,0.0,0.0,0.0
2025-12-31,9.999985195463523e-08,-0.0,11902.528063743794,11902.528063843794,0.0,0.0,0.0,0.0
2026-01-07,9.999999406318238e-08,-0.0,12095.582685070069,12095.58268517007,0.0,0.0,0.0,0.0
2026-01-14,9.999985195463523e-08,-0.0,12392.349695974983,12392.349696074984,0.0,0.0,0.0,0.0
2026-01-21,9.999985195463523e-08,-0.0,12282.731857743263,12282.731857843264,0.0,0.0,0.0,0.0
2026-01-28,1.0000007932831068e-07,-0.0,12458.913403912527,12458.913404012528,0.0,0.0,0.0,0.0
2026-02-04,9.999999406318238e-08,-0.0,12568.226196800728,12568.226196900729,0.0,0.0,0.0,0.0
2026-02-11,9.999985195463523e-08,-0.0,12969.248092162507,12969.248092262507,0.0,0.0,0.0,0.0
2026-02-18,1.0000007932831068e-07,-0.0,13021.995678262028,13021.99567836203,0.0,0.0,0.0,0.0
2026-02-25,9.999985195463523e-08,-0.0,13198.830501500814,13198.830501600813,0.0,0.0,0.0,0.0
