date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,20000.000000000004,-10000.0,0.0,10000.000000000004,0.0,0.0,0.0,0.0
2025-01-08,19926.600654259866,-9963.300327129933,0.0,9963.300327129933,0.0,0.0,0.0,0.0
2025-01-15,19609.214651202605,-9804.607325601311,0.0,9804.607325601293,0.0,0.0,0.0,0.0
2025-01-22,19237.71445139132,-9618.857225695656,0.0,9618.857225695663,0.0,0.0,0.0,0.0
2025-01-29,19276.744105634945,-9638.372052817467,0.0,9638.372052817478,0.0,0.0,0.0,0.0
2025-02-05,18819.623030896862,-9409.81151544843,0.0,9409.811515448433,0.0,0.0,0.0,0.0
2025-02-12,18794.55170431165,-9397.275852155826,0.0,9397.275852155823,0.0,0.0,0.0,0.0
2025-02-19,18522.106329572634,-9261.053164786319,0.0,9261.053164786315,0.0,0.0,0.0,0.0
2025-02-26,18972.708305996744,-9486.35415299837,0.0,9486.354152998374,0.0,0.0,0.0,0.0
2025-03-05,19645.576042872948,-9822.788021436476,0.0,9822.788021436472,0.0,0.0,0.0,0.0
2025-03-12,20389.698816342312,-10194.84940773803,0.0,10194.849408604283,0.0,0.0,0.0,0.0
2025-03-19,20078.57482262246,-10039.287411311228,0.0,10039.287411311232,0.0,0.0,0.0,0.0
2025-03-26,20154.215595065427,-10077.107797532712,0.0,10077.107797532715,0.0,0.0,0.0,0.0
2025-04-02,19889.660244707145,-9944.830122353575,0.0,9944.830122353571,0.0,0.0,0.0,0.0
2025-04-09,20930.64719775373,-10465.323598876868,0.0,10465.323598876861,0.0,0.0,0.0,0.0
2025-04-16,21899.738406589433,-10949.86920329246,0.0,10949.869203296974,0.0,0.0,0.0,0.0
2025-04-23,21476.581604258434,-10738.290802129217,0.0,10738.290802129217,0.0,0.0,0.0,0.0
2025-04-30,21232.921329386234,-10616.460664693115,0.0,10616.460664693119,0.0,0.0,0.0,0.0
2025-05-07,21254.363043371915,-10627.181521685963,0.0,10627.181521685952,0.0,0.0,0.0,0.0
2025-05-14,20558.547798194464,-10279.273892970625,0.0,10279.27390522384,0.0,0.0,0.0,0.0
2025-05-21,20979.30823202996,-10489.654107725222,0.0,10489.65412430474,0.0,0.0,0.0,0.0
2025-05-28,20996.514990583262,-10498.257495291633,0.0,10498.25749529163,0.0,0.0,0.0,0.0
2025-06-04,20707.469888823623,-10353.734944411739,0.0,10353.734944411884,0.0,0.0,0.0,0.0
2025-06-11,19461.517763000607,-9656.107508599092,0.0,9805.410254401515,0.0,0.0,0.0,0.0
2025-06-18,19456.629067936232,-9730.758881500304,0.0,9725.870186435928,0.0,0.0,0.0,0.0
2025-06-25,19480.212185344262,-9728.314533968116,0.0,9751.897651376146,0.0,0.0,0.0,0.0
2025-07-02,19295.375361937546,-9740.10609267213,0.0,9555.269269265416,0.0,0.0,0.0,0.0
2025-07-09,19133.13225030236,-9647.687680968775,0.0,9485.444569333584,0.0,0.0,0.0,0.0
2025-07-16,19026.16584084418,-9566.56612515118,0.0,9459.599715693,0.0,0.0,0.0,0.0
2025-07-23,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-07-30,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-08-06,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-08-13,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-08-20,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-08-27,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-09-03,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-09-10,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-09-17,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-09-24,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-10-01,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-10-08,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-10-15,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-10-22,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-10-29,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-11-05,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-11-12,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-11-19,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-11-26,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-12-03,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-12-10,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-12-17,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-12-24,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2025-12-31,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2026-01-07,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
2026-01-14,9272.140551241848,-0.0,0.0,9272.140551241848,0.0,0.0,0.0,0.0
