date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,20000.000000000004,-10000.0,0.0,10000.000000000004,0.0,0.0,0.0,0.0
2025-01-08,19926.600654259877,-9963.300327129937,0.0,9963.30032712994,0.0,0.0,0.0,0.0
2025-01-15,19590.369004534095,-9795.184502267048,0.0,9795.184502267048,0.0,0.0,0.0,0.0
2025-01-22,19236.643060236605,-9618.321530118297,0.0,9618.321530118308,0.0,0.0,0.0,0.0
2025-01-29,19310.60816878173,-9655.304084390866,0.0,9655.304084390866,0.0,0.0,0.0,0.0
2025-02-05,18979.128058837887,-9489.564029418947,0.0,9489.56402941894,0.0,0.0,0.0,0.0
2025-02-12,18961.723065589966,-9480.861532794983,0.0,9480.861532794983,0.0,0.0,0.0,0.0
2025-02-19,18695.469875478528,-9347.734937739266,0.0,9347.734937739262,0.0,0.0,0.0,0.0
2025-02-26,19122.92303269783,-9561.461516348916,0.0,9561.461516348912,0.0,0.0,0.0,0.0
2025-03-05,19543.16358166886,-9771.581790834432,0.0,9771.581790834429,0.0,0.0,0.0,0.0
2025-03-12,20268.966830114783,-10134.483243054334,0.0,10134.48358706045,0.0,0.0,0.0,0.0
2025-03-19,19959.686576690994,-9979.843288345497,0.0,9979.843288345497,0.0,0.0,0.0,0.0
2025-03-26,19962.146636537233,-9981.073318268613,0.0,9981.07331826862,0.0,0.0,0.0,0.0
2025-04-02,19767.268292546956,-9883.634146273482,0.0,9883.634146273474,0.0,0.0,0.0,0.0
2025-04-09,20787.45407628389,-10393.727038141944,0.0,10393.727038141948,0.0,0.0,0.0,0.0
2025-04-16,21648.630172001816,-10824.315013957674,0.0,10824.315158044143,0.0,0.0,0.0,0.0
2025-04-23,21230.325579608892,-10615.162789804446,0.0,10615.162789804446,0.0,0.0,0.0,0.0
2025-04-30,20758.303608675196,-10379.151804337602,0.0,10379.151804337595,0.0,0.0,0.0,0.0
2025-05-07,20709.799499372264,-10354.899749686132,0.0,10354.899749686132,0.0,0.0,0.0,0.0
2025-05-14,20096.30243082015,-10048.151215410073,0.0,10048.151215410076,0.0,0.0,0.0,0.0
2025-05-21,20476.935378194237,-10238.467688970346,0.0,10238.467689223891,0.0,0.0,0.0,0.0
2025-05-28,20416.402058231874,-10208.20102911594,0.0,10208.201029115933,0.0,0.0,0.0,0.0
2025-06-04,20135.774615449205,-10067.88716723468,0.0,10067.887448214526,0.0,0.0,0.0,0.0
2025-06-11,18982.146681036767,-9447.363829643964,0.0,9534.782851392803,0.0,0.0,0.0,0.0
2025-06-18,18954.3421085845,-9491.073340518384,0.0,9463.268768066117,0.0,0.0,0.0,0.0
2025-06-25,18995.06500787387,-9477.17105429225,0.0,9517.893953581619,0.0,0.0,0.0,0.0
2025-07-02,18811.96413886096,-9497.532503936935,0.0,9314.431634924025,0.0,0.0,0.0,0.0
2025-07-09,18667.10622655796,-9405.98206943048,0.0,9261.12415712748,0.0,0.0,0.0,0.0
2025-07-16,18602.503969084424,-9333.553113278978,0.0,9268.950855805446,0.0,0.0,0.0,0.0
2025-07-23,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-07-30,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-08-06,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-08-13,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-08-20,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-08-27,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-09-03,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-09-10,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-09-17,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-09-24,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-10-01,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-10-08,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-10-15,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-10-22,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-10-29,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-11-05,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-11-12,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-11-19,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-11-26,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-12-03,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-12-10,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-12-17,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-12-24,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2025-12-31,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2026-01-07,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
2026-01-14,9078.917762824529,-0.0,0.0,9078.917762824529,0.0,0.0,0.0,0.0
