date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,20000.000000000004,-10000.0,0.0,10000.000000000004,0.0,0.0,0.0,0.0
2025-01-08,19926.600654259866,-9963.300327129935,0.0,9963.300327129931,0.0,0.0,0.0,0.0
2025-01-15,19752.014075635292,-9876.007037817648,0.0,9876.007037817644,0.0,0.0,0.0,0.0
2025-01-22,19549.1065149028,-9774.5532574514,0.0,9774.5532574514,0.0,0.0,0.0,0.0
2025-01-29,19599.40648880666,-9799.703244403327,0.0,9799.703244403334,0.0,0.0,0.0,0.0
2025-02-05,19225.478350923604,-9612.739175461804,0.0,9612.7391754618,0.0,0.0,0.0,0.0
2025-02-12,19565.958010192906,-9782.979005096455,0.0,9782.979005096451,0.0,0.0,0.0,0.0
2025-02-19,19486.081886698877,-9743.040943349446,0.0,9743.040943349431,0.0,0.0,0.0,0.0
2025-02-26,19301.150039487544,-9650.575019743772,0.0,9650.575019743772,0.0,0.0,0.0,0.0
2025-03-05,19058.934735043793,-9529.467367521895,0.0,9529.467367521898,0.0,0.0,0.0,0.0
2025-03-12,19705.784091727142,-9852.89204586357,0.0,9852.892045863573,0.0,0.0,0.0,0.0
2025-03-19,19390.149953267326,-9695.074976633665,0.0,9695.074976633661,0.0,0.0,0.0,0.0
2025-03-26,19675.878861607864,-9837.939430803935,0.0,9837.939430803928,0.0,0.0,0.0,0.0
2025-04-02,19727.038181618056,-9863.519090809026,0.0,9863.51909080903,0.0,0.0,0.0,0.0
2025-04-09,20584.30440914657,-10292.152204573282,0.0,10292.152204573289,0.0,0.0,0.0,0.0
2025-04-16,21489.184396470122,-10744.59219823506,0.0,10744.592198235063,0.0,0.0,0.0,0.0
2025-04-23,21172.729816839306,-10586.364908419651,0.0,10586.364908419655,0.0,0.0,0.0,0.0
2025-04-30,20188.894089073518,-10094.447044536762,0.0,10094.447044536755,0.0,0.0,0.0,0.0
2025-05-07,19674.523760684828,-9837.26176900002,0.0,9837.261991684807,0.0,0.0,0.0,0.0
2025-05-14,17629.42983479858,-8474.03528497739,0.0,9155.394549821189,0.0,0.0,0.0,0.0
2025-05-21,18083.795248051425,-8814.71491737379,0.0,9269.080330677634,0.0,0.0,0.0,0.0
2025-05-28,18233.739195118094,-9041.897623971292,0.0,9191.841571146802,0.0,0.0,0.0,0.0
2025-06-04,9046.193599389002,-0.0,0.0,9046.193599389002,0.0,0.0,0.0,0.0
2025-06-11,9046.193599389002,-0.0,0.0,9046.193599389002,0.0,0.0,0.0,0.0
