date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.333333333332,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,3328.696797788441,-3338.7621991214696,10026.351998697437,10016.286597364407,0.0,0.0,0.0,0.0
2025-01-15,6581.9806844731975,-6607.220828877071,9936.071387719478,9910.831243315604,0.0,0.0,0.0,0.0
2025-01-22,3222.7146453371097,-0.0,6710.270823920379,9932.985469257488,0.0,0.0,0.0,0.0
2025-01-29,3296.9036408900483,-0.0,6700.04122127409,9996.944862164139,0.0,0.0,0.0,0.0
2025-02-05,6664.448471692125,-6744.560363004479,10196.952435819072,10116.840544506718,0.0,0.0,0.0,0.0
2025-02-12,10016.267685219587,-10051.689884758256,10087.112084296927,10051.689884758258,0.0,0.0,0.0,0.0
2025-02-19,3318.755062868154,-3363.8901822534835,10185.52447791888,10140.38935853355,0.0,0.0,0.0,0.0
2025-02-26,6718.961648986358,-6580.161433407309,9731.441934531913,9870.242150110962,0.0,0.0,0.0,0.0
2025-03-05,9829.900049175685,-9758.494522982308,9671.900819570503,9743.30634576388,0.0,0.0,0.0,0.0
2025-03-12,10110.924417295188,-9639.639448150347,9436.366572224195,9907.651541369036,0.0,0.0,0.0,0.0
2025-03-19,9794.61694345361,-9623.613414518437,9719.982922609062,9890.986451544235,0.0,0.0,0.0,0.0
2025-03-26,9965.374228907702,-9851.54763731257,9769.848601178199,9883.675192773331,0.0,0.0,0.0,0.0
2025-04-02,9841.858193770007,-9829.257476396844,9772.830530805835,9785.431248178998,0.0,0.0,0.0,0.0
2025-04-09,9894.899468410033,-9769.748265159618,9769.155215264633,9894.306418515047,0.0,0.0,0.0,0.0
2025-04-16,9893.794917271112,-9673.224860283406,10015.887825918702,10236.457882906408,0.0,0.0,0.0,0.0
2025-04-23,138.66887883533946,-0.0,10198.780206787174,10337.449085622513,0.0,0.0,0.0,0.0
2025-04-30,184.22936031103927,-0.0,10377.545491271547,10561.774851582586,0.0,0.0,0.0,0.0
2025-05-07,184.22936031103927,-0.0,10488.727927433938,10672.957287744977,0.0,0.0,0.0,0.0
2025-05-14,3762.7590153688802,-3762.7590153688825,11288.277046106648,11288.277046106647,0.0,0.0,0.0,0.0
2025-05-21,3819.517476148722,-3765.5298246585508,11366.416604506949,11420.40425599712,0.0,0.0,0.0,0.0
2025-05-28,7627.805962802689,-7623.692878526537,11420.75237568575,11424.8654599619,0.0,0.0,0.0,0.0
2025-06-04,11445.609423244148,-11497.974568194582,11505.775526274816,11453.410381324382,0.0,0.0,0.0,0.0
2025-06-11,3659.348484618529,-3801.195072200179,11545.431804182186,11403.585216600535,0.0,0.0,0.0,0.0
2025-06-18,11401.081591072274,-11383.528683092289,11365.975775112302,11383.528683092287,0.0,0.0,0.0,0.0
2025-06-25,11099.897020480334,-11261.39353373446,11298.98532994115,11137.488816687024,0.0,0.0,0.0,0.0
2025-07-02,6890.502475050835,-7406.47534344668,11476.470696893051,10960.497828497206,0.0,0.0,0.0,0.0
2025-07-09,3133.9220424570467,-3700.990984230469,11407.5069858262,10840.438044052777,0.0,0.0,0.0,0.0
2025-07-16,3160.0678081777232,-3646.0225936989905,11424.022566618238,10938.06778109697,0.0,0.0,0.0,0.0
2025-07-23,-559.3485241207954,-0.0,11695.817427642189,11136.468903521392,0.0,0.0,0.0,0.0
2025-07-30,10813.8830406502,-11055.030289274082,11296.177537897967,11055.030289274086,0.0,0.0,0.0,0.0
2025-08-06,7374.606564628164,-7322.898196085374,11026.194984821264,11077.903353364054,0.0,0.0,0.0,0.0
2025-08-13,11036.75392344821,-11185.70785346692,11135.396006478848,10986.442076460138,0.0,0.0,0.0,0.0
2025-08-20,3685.0634609800286,-3736.7148583556955,11261.795972442755,11210.144575067088,0.0,0.0,0.0,0.0
2025-08-27,3770.9722971349006,-3762.494582525134,11279.006032965635,11287.483747575403,0.0,0.0,0.0,0.0
2025-09-03,7466.449354388524,-7449.586731708255,11069.5685490806,11086.431171760869,0.0,0.0,0.0,0.0
2025-09-10,11021.963066602577,-11099.25320709521,11176.543347587842,11099.25320709521,0.0,0.0,0.0,0.0
2025-09-17,10857.04564789976,-10962.10006989636,11003.831338122496,10898.776916125897,0.0,0.0,0.0,0.0
2025-09-24,11004.064808740319,-10976.941582737707,11215.266694783975,11242.389920786587,0.0,0.0,0.0,0.0
2025-10-01,7459.4478901114635,-7459.381449077694,11173.592199575864,11173.658640609632,0.0,0.0,0.0,0.0
2025-10-08,11174.21511847197,-11153.920929789845,11124.007496399394,11144.301685081518,0.0,0.0,0.0,0.0
2025-10-15,11241.194700170658,-11161.980561367349,11134.762066701529,11213.976205504838,0.0,0.0,0.0,0.0
2025-10-22,11136.478483876557,-11145.942240670236,11101.560599608834,11092.096842815155,0.0,0.0,0.0,0.0
2025-10-29,7659.088454842611,-7528.634477540517,11162.49773900868,11292.951716310774,0.0,0.0,0.0,0.0
2025-11-05,11278.242579053262,-11278.242579053258,11231.994695780379,11231.994695780382,0.0,0.0,0.0,0.0
2025-11-12,11104.850276617151,-11170.45245997994,11236.054643342739,11170.45245997995,0.0,0.0,0.0,0.0
2025-11-19,11257.714242053617,-11088.130802498545,11023.53792981881,11193.121369373883,0.0,0.0,0.0,0.0
2025-11-26,11132.734874401029,-11152.006019426191,11219.573924132275,11200.302779107113,0.0,0.0,0.0,0.0
2025-12-03,7167.958239668254,-7366.323152960507,11247.849642733012,11049.48472944076,0.0,0.0,0.0,0.0
2025-12-10,7184.1045210090515,-7313.7501496439945,11291.341682840815,11161.696054205873,0.0,0.0,0.0,0.0
2025-12-17,11035.993352124076,-11071.016361834172,11178.201853041703,11143.178843331607,0.0,0.0,0.0,0.0
2025-12-24,3931.3084847204823,-3785.5442491348313,11210.868511818842,11356.632747404494,0.0,0.0,0.0,0.0
2025-12-31,11427.218408118937,-11427.218408118943,11427.218408118943,11427.218408118937,0.0,0.0,0.0,0.0
2026-01-07,3824.4419271527177,-3824.4419271527163,11473.325781458148,11473.32578145815,0.0,0.0,0.0,0.0
