date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.333333333332,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6728.678270749758,-6728.678270749759,10093.017406124636,10093.017406124636,0.0,0.0,0.0,0.0
2025-01-15,6677.966211378138,-6692.535157082573,10015.760782007656,10001.19183630322,0.0,0.0,0.0,0.0
2025-01-22,3335.0532183873092,-0.0,6801.326304430284,10136.379522817593,0.0,0.0,0.0,0.0
2025-01-29,3367.418557887756,-0.0,6833.284909441092,10200.703467328847,0.0,0.0,0.0,0.0
2025-02-05,6803.6009821761,-6881.972986635374,10401.331484412332,10322.959479953059,0.0,0.0,0.0,0.0
2025-02-12,10185.748657988399,-10256.489479545693,10327.230301102987,10256.489479545693,0.0,0.0,0.0,0.0
2025-02-19,3313.9788795709333,-3432.4282444234664,10351.752398207629,10233.303033355096,0.0,0.0,0.0,0.0
2025-02-26,6750.511438502539,-6655.181557880208,9887.442456197981,9982.772336820311,0.0,0.0,0.0,0.0
2025-03-05,10253.298591468096,-9993.781956587141,9782.289347098282,10041.805981979236,0.0,0.0,0.0,0.0
2025-03-12,10261.28160373991,-9872.577201623255,9256.418773540941,9645.123175657596,0.0,0.0,0.0,0.0
2025-03-19,9610.816519400023,-9557.242944750358,9382.354822532532,9435.928397182197,0.0,0.0,0.0,0.0
2025-03-26,6405.02362310153,-6454.721112802762,9759.399358920857,9709.701869219625,0.0,0.0,0.0,0.0
2025-04-02,9700.79827263042,-9722.270241655462,9792.321058177004,9770.849089151961,0.0,0.0,0.0,0.0
2025-04-09,9964.162290473254,-9729.118940090331,9730.843594143142,9965.886944526064,0.0,0.0,0.0,0.0
2025-04-16,10310.602237455369,-9802.420117315412,9621.966473298597,10130.148593438553,0.0,0.0,0.0,0.0
2025-04-23,331.91717776115865,-0.0,9820.891235058516,10152.808412819675,0.0,0.0,0.0,0.0
2025-04-30,331.91717776115865,-0.0,9883.941800145607,10215.858977906766,0.0,0.0,0.0,0.0
2025-05-07,414.93957628964745,-0.0,9928.929528907822,10343.86910519747,0.0,0.0,0.0,0.0
2025-05-14,7596.187672220874,-7283.726385892278,10613.12829250982,10925.589578838417,0.0,0.0,0.0,0.0
2025-05-21,3937.856243504137,-3644.544977329752,10659.036285327353,10952.347551501738,0.0,0.0,0.0,0.0
2025-05-28,7589.361065397737,-7344.321918128381,10709.475318411443,10954.514465680799,0.0,0.0,0.0,0.0
2025-06-04,11285.416837365434,-10985.513407709563,10680.984805224201,10980.888234880073,0.0,0.0,0.0,0.0
2025-06-11,3443.951682088913,-3635.2805549569166,11097.170537738753,10905.84166487075,0.0,0.0,0.0,0.0
2025-06-18,10857.99300232047,-10886.386947182189,10914.780892043906,10886.386947182187,0.0,0.0,0.0,0.0
2025-06-25,10587.221767413948,-10786.84568291901,10876.606049102851,10676.982133597789,0.0,0.0,0.0,0.0
2025-07-02,2881.538159270029,-3469.725646076714,10997.364425036829,10409.176938230145,0.0,0.0,0.0,0.0
2025-07-09,6336.34428784983,-6969.634615793828,10997.7087136834,10364.418385739402,0.0,0.0,0.0,0.0
2025-07-16,6386.936412746556,-6923.101631873693,11001.324887154042,10465.159668026905,0.0,0.0,0.0,0.0
2025-07-23,2828.3293014760015,-3490.2860727362136,11258.789347155673,10596.83257589546,0.0,0.0,0.0,0.0
2025-07-30,9953.712765470997,-10565.228170340164,11176.743575209332,10565.228170340164,0.0,0.0,0.0,0.0
2025-08-06,9906.021735102875,-10388.672350469356,11031.84648425034,10549.195868883859,0.0,0.0,0.0,0.0
2025-08-13,9942.071324165441,-10653.249387948623,11138.73992982959,10427.561866046408,0.0,0.0,0.0,0.0
2025-08-20,3089.00319840981,-3542.05634840427,11079.22219520727,10626.16904521281,0.0,0.0,0.0,0.0
2025-08-27,3049.7905238243707,-3565.5469995939297,11212.397474551348,10696.64099878179,0.0,0.0,0.0,0.0
2025-09-03,6703.323176467964,-7073.294854405851,10917.053243856633,10547.081565918746,0.0,0.0,0.0,0.0
2025-09-10,10103.147543713754,-10562.803390769888,11022.459237826022,10562.803390769888,0.0,0.0,0.0,0.0
2025-09-17,10008.970264365826,-10431.776943249446,10794.069904820093,10371.263225936473,0.0,0.0,0.0,0.0
2025-09-24,10023.0146854282,-10400.663591765882,10831.38256769239,10453.733661354707,0.0,0.0,0.0,0.0
2025-10-01,9954.23072577494,-10385.981961849342,10775.26960082472,10343.518364750318,0.0,0.0,0.0,0.0
2025-10-08,10558.87726691534,-10374.883409801798,10240.979177607194,10424.973034720737,0.0,0.0,0.0,0.0
2025-10-15,10526.054951646303,-10403.121053715175,10349.958208251091,10472.89210618222,0.0,0.0,0.0,0.0
2025-10-22,10628.431409760427,-10523.112251739643,10435.368299124817,10540.687457145601,0.0,0.0,0.0,0.0
2025-10-29,3684.501932744422,-3593.2021829813907,10688.306799181139,10779.60654894417,0.0,0.0,0.0,0.0
2025-11-05,10883.358759207049,-10758.901428644951,10586.966201725312,10711.42353228741,0.0,0.0,0.0,0.0
2025-11-12,10767.648916770082,-10739.447925397813,10541.1211879053,10569.32217927757,0.0,0.0,0.0,0.0
2025-11-19,10618.052426894374,-10411.545629233384,10264.436914488895,10470.943712149885,0.0,0.0,0.0,0.0
2025-11-26,10488.158453762393,-10508.796072377743,10553.59521900911,10532.95760039376,0.0,0.0,0.0,0.0
2025-12-03,3236.3474279529364,-3425.604069777936,10466.068851158807,10276.812209333808,0.0,0.0,0.0,0.0
2025-12-10,3175.760440165037,-3384.788073572115,10363.391854123423,10154.364220716345,0.0,0.0,0.0,0.0
2025-12-17,6798.143025682892,-6815.443002780046,10199.1379015411,10181.837924443946,0.0,0.0,0.0,0.0
2025-12-24,6894.122351062671,-6801.4206703001055,10222.946022241864,10315.64770300443,0.0,0.0,0.0,0.0
2025-12-31,10365.761404593715,-10260.804714317832,10203.289532586652,10308.246222862535,0.0,0.0,0.0,0.0
2026-01-07,7042.836334184001,-6849.585441828129,10187.922714336966,10381.173606692839,0.0,0.0,0.0,0.0
2026-01-14,3474.6109020262015,-3430.09439961835,10245.7666964472,10290.28319885505,0.0,0.0,0.0,0.0
2026-01-21,3474.6109020262015,-3408.9970670982375,10130.952483239475,10196.566318167439,0.0,0.0,0.0,0.0
2026-01-28,6750.104332024946,-6750.104332024942,10125.156498037413,10125.156498037417,0.0,0.0,0.0,0.0
2026-02-04,10269.281414961708,-10210.975771523834,10102.907545513293,10161.213188951167,0.0,0.0,0.0,0.0
2026-02-11,6772.953657497197,-6713.483845509219,10003.594411716635,10063.064223704612,0.0,0.0,0.0,0.0
2026-02-18,6772.953657497197,-6655.598395072319,9951.22086617602,10068.576128600896,0.0,0.0,0.0,0.0
2026-02-25,3433.687562941624,-3303.716849425681,9995.956655373846,10125.927368889788,0.0,0.0,0.0,0.0
