date,direction,ticker,volume,price,market_price
2025-01-01,long,XLE,77.82706825433887,42.83,42.83
2025-01-01,long,XLB,79.23302432453848,42.07,42.07
2025-01-08,long,XLK,28.769789083075757,116.94,116.94
2025-01-08,long,XLY,30.172092151696148,111.505,111.505
2025-01-08,long,XLP,43.47814855744222,77.38,77.38
2025-01-08,short,XLB,79.9510250802015,42.08,42.08
2025-01-08,short,XLC,34.591189958614834,97.26,97.26
2025-01-15,long,XLK,28.769789083075757,116.94,116.145
2025-01-15,long,XLP,43.47814855744222,77.38,76.23
2025-01-15,long,XLU,86.59954059976813,38.395,38.395
2025-01-15,short,XLC,34.591189958614834,97.26,97.1
2025-01-15,short,XLY,29.258970092644297,113.64,113.64
2025-01-15,short,XLRE,82.73175818183871,40.19,40.19
2025-01-22,long,XLP,43.47814855744222,77.38,77.22
2025-01-22,long,XLU,86.59954059976813,38.395,39.16
2025-01-29,long,XLU,86.59954059976813,38.395,38.37
2025-01-29,long,XLK,28.860154073932435,115.87,115.87
2025-01-29,long,XLI,24.26900393748858,137.79,137.79
2025-02-05,long,XLU,86.59954059976813,38.395,39.195
2025-02-05,long,XLI,24.26900393748858,137.79,137.12
2025-02-05,long,XLY,29.447182542034046,114.585,114.585
2025-02-05,short,XLE,74.79120938887223,45.115,45.115
2025-02-12,long,XLU,86.59954059976813,38.395,39.625
2025-02-12,long,XLI,24.26900393748858,137.79,137.75
2025-02-12,long,XLY,29.447182542034046,114.585,111.87
2025-02-12,short,XLE,74.79120938887223,45.115,44.52
2025-02-12,short,XLB,76.27845616986525,44.31,44.31
2025-02-12,short,XLV,23.178565305765527,145.82,145.82
2025-02-19,long,XLU,86.59954059976813,38.395,40.13
2025-02-19,long,XLY,29.447182542034046,114.585,113.12
2025-02-19,long,XLRE,79.3767466105437,42.29,42.29
2025-02-19,short,XLV,23.178565305765527,145.82,146.4
2025-02-26,long,XLU,86.59954059976813,38.395,39.9
2025-02-26,long,XLY,29.447182542034046,114.585,107.77
2025-02-26,long,XLK,28.54119294387752,115.5,115.5
2025-02-26,short,XLI,24.418576185317434,135.0,135.0
2025-02-26,short,XLF,64.82807836809938,50.85,50.85
2025-02-26,short,XLC,32.474709733207106,101.51,101.51
2025-03-05,long,XLU,86.59954059976813,38.395,38.745
2025-03-05,long,XLY,29.447182542034046,114.585,105.705
2025-03-05,long,XLK,28.54119294387752,115.5,110.785
2025-03-05,short,XLC,32.474709733207106,101.51,101.47
2025-03-05,short,XLE,75.18468339275903,42.85,42.85
2025-03-05,short,XLB,73.18636263924861,44.02,44.02
2025-03-12,long,XLY,29.447182542034046,114.585,98.765
2025-03-12,long,XLK,28.54119294387752,115.5,105.84
2025-03-12,long,XLI,24.31770771919058,130.11,130.11
2025-03-12,short,XLE,75.18468339275903,42.85,43.89
2025-03-12,short,XLB,73.18636263924861,44.02,42.465
2025-03-12,short,XLV,21.880891779694927,144.6,144.6
2025-03-19,long,XLY,29.447182542034046,114.585,98.605
2025-03-19,long,XLU,78.50046572510506,39.47,39.47
2025-03-19,long,XLC,31.92594932684077,97.05,97.05
2025-03-19,short,XLV,21.880891779694927,144.6,146.92
2025-03-19,short,XLK,28.834520331021327,107.455,107.455
2025-03-19,short,XLP,38.85157845981062,79.75,79.75
2025-03-26,long,XLU,78.50046572510506,39.47,38.715
2025-03-26,long,XLC,31.92594932684077,97.05,99.09
2025-03-26,long,XLF,62.663925618622116,50.28,50.28
2025-03-26,short,XLV,21.880891779694927,144.6,144.74
2025-03-26,short,XLP,38.85157845981062,79.75,79.9
2025-03-26,short,XLRE,75.86665495074212,41.53,41.53
2025-04-02,long,XLU,78.50046572510506,39.47,39.71
2025-04-02,long,XLC,31.92594932684077,97.05,96.85
2025-04-02,long,XLF,62.663925618622116,50.28,50.16
2025-04-02,short,XLV,21.880891779694927,144.6,144.3
2025-04-02,short,XLRE,75.86665495074212,41.53,42.08
2025-04-02,short,XLB,71.67832458985214,43.505,43.505
2025-04-09,long,XLU,78.50046572510506,39.47,37.985
2025-04-09,long,XLF,62.663925618622116,50.28,47.23
2025-04-09,long,XLRE,80.75950378739384,39.21,39.21
2025-04-09,short,XLV,21.880891779694927,144.6,138.76
2025-04-09,short,XLK,31.066223324867185,101.93,101.93
2025-04-09,short,XLI,24.980909936129002,126.76,126.76
2025-04-16,long,XLU,78.50046572510506,39.47,38.49
2025-04-16,long,XLF,62.663925618622116,50.28,46.53
2025-04-16,long,XLY,35.48574730814867,92.12,92.12
2025-04-16,short,XLV,21.880891779694927,144.6,136.29
2025-04-16,short,XLK,31.066223324867185,101.93,96.955
