date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,3333.333333333332,-0.0,6666.666666666668,10000.0,0.0,0.0,0.0,0.0
2025-01-08,6728.678270749758,-6728.678270749759,10093.017406124636,10093.017406124636,0.0,0.0,0.0,0.0
2025-01-15,10002.955572706236,-10008.783267637697,9980.795778915752,9974.968083984291,0.0,0.0,0.0,0.0
2025-01-22,3276.653956216488,-0.0,6748.620641492607,10025.274597709096,0.0,0.0,0.0,0.0
2025-01-29,21.201679733448145,-0.0,10010.876477906206,10032.078157639655,0.0,0.0,0.0,0.0
2025-02-05,3400.5814210205667,-3374.205411578971,10096.240225295318,10122.616234736914,0.0,0.0,0.0,0.0
2025-02-12,10160.378206794026,-10089.50142776605,10068.818399632213,10139.69517866019,0.0,0.0,0.0,0.0
2025-02-19,3300.7223356602703,-3393.3419607640735,10163.147467583482,10070.527842479678,0.0,0.0,0.0,0.0
2025-02-26,9853.69439260351,-9889.523355053561,9925.352317503612,9889.52335505356,0.0,0.0,0.0,0.0
2025-03-05,9773.577522095948,-9738.536163387973,9629.949691431197,9664.991050139171,0.0,0.0,0.0,0.0
2025-03-12,9970.494652671556,-9571.691594927772,9093.127796287876,9491.93085403166,0.0,0.0,0.0,0.0
2025-03-19,9606.341332225205,-9411.567384612572,9100.46619889706,9295.240146509694,0.0,0.0,0.0,0.0
2025-03-26,9520.820086100779,-9422.023575236233,9353.430029448415,9452.22654031296,0.0,0.0,0.0,0.0
2025-04-02,9470.839373984742,-9468.247035418724,9352.504195278536,9355.096533844553,0.0,0.0,0.0,0.0
2025-04-09,9761.055719829677,-9369.352830357893,9108.03754103935,9499.740430511134,0.0,0.0,0.0,0.0
2025-04-16,9707.952118617046,-9107.293419357517,9206.182426820436,9806.841126079966,0.0,0.0,0.0,0.0
2025-04-23,509.54021889058595,-0.0,9441.616984487813,9951.1572033784,0.0,0.0,0.0,0.0
2025-04-30,509.54021889058595,-0.0,9652.295643022113,10161.8358619127,0.0,0.0,0.0,0.0
2025-05-07,242.27773581762722,-0.0,10067.878624354598,10310.156360172226,0.0,0.0,0.0,0.0
2025-05-14,7683.281069355371,-7213.1818163114785,10349.673471423323,10819.772724467215,0.0,0.0,0.0,0.0
2025-05-21,3980.0728975300094,-3609.2467188392116,10393.992383071301,10764.818561762098,0.0,0.0,0.0,0.0
2025-05-28,7568.6762895065185,-7245.654703118227,10442.788589541236,10765.810175929528,0.0,0.0,0.0,0.0
2025-06-04,11161.122440457559,-10892.00860013513,10522.238447447822,10791.35228777025,0.0,0.0,0.0,0.0
2025-06-11,3606.0741424388602,-3645.358152989216,10975.358469518005,10936.07445896765,0.0,0.0,0.0,0.0
2025-06-18,10935.2322220703,-10917.775428365112,10900.318634659925,10917.775428365114,0.0,0.0,0.0,0.0
2025-06-25,10646.373695318634,-10800.640575882937,10836.073848423815,10681.806967859513,0.0,0.0,0.0,0.0
2025-07-02,6609.202693945379,-7103.442750281969,11006.29055386313,10512.05049752654,0.0,0.0,0.0,0.0
2025-07-09,3006.3198807134027,-3549.565423567572,10940.148709359011,10396.903166504842,0.0,0.0,0.0,0.0
2025-07-16,3031.3949118067717,-3496.845073472144,10955.985382081804,10490.535220416432,0.0,0.0,0.0,0.0
2025-07-23,-535.8409852683294,-0.0,11216.642556311259,10680.80157104293,0.0,0.0,0.0,0.0
2025-07-30,-535.8409852683294,-0.0,11138.538092744548,10602.697107476219,0.0,0.0,0.0,0.0
2025-08-06,-535.8409852683294,-0.0,11146.553230713358,10610.71224544503,0.0,0.0,0.0,0.0
2025-08-13,-535.8409852683294,-0.0,11223.606001982254,10687.765016713925,0.0,0.0,0.0,0.0
2025-08-20,-535.8409852683294,-0.0,11278.44693340929,10742.605948140961,0.0,0.0,0.0,0.0
2025-08-27,-535.8409852683294,-0.0,11158.737933817078,10622.896948548749,0.0,0.0,0.0,0.0
2025-09-03,-535.8409852683294,-0.0,11023.640468435347,10487.799483167018,0.0,0.0,0.0,0.0
2025-09-10,-535.8409852683294,-0.0,11062.80442963976,10526.963444371431,0.0,0.0,0.0,0.0
2025-09-17,10140.87300359269,-10543.1280129295,10945.38302226631,10543.1280129295,0.0,0.0,0.0,0.0
2025-09-24,10498.777550579613,-10487.20553553528,10645.318904692374,10656.890919736707,0.0,0.0,0.0,0.0
2025-10-01,6919.579924262114,-7029.829131934925,10551.578798788938,10441.329591116128,0.0,0.0,0.0,0.0
2025-10-08,10391.643110103347,-10479.858295386259,10504.404742806608,10416.189557523696,0.0,0.0,0.0,0.0
2025-10-15,10396.107967241926,-10371.07821092213,10454.845324550517,10479.875080870312,0.0,0.0,0.0,0.0
2025-10-22,10435.622346085987,-10493.737374022867,10423.924215992485,10365.809188055606,0.0,0.0,0.0,0.0
2025-10-29,3608.7838403033684,-3502.240638392426,10400.178713266334,10506.721915177277,0.0,0.0,0.0,0.0
2025-11-05,10561.084371817476,-10485.022464722017,10361.925320267934,10437.987227363394,0.0,0.0,0.0,0.0
2025-11-12,10462.345338452107,-10579.768640867356,10432.198440767137,10314.775138351888,0.0,0.0,0.0,0.0
2025-11-19,10248.080444163817,-10198.198507260206,10224.984183170556,10274.866120074168,0.0,0.0,0.0,0.0
2025-11-26,10082.944276467913,-10217.759158320021,10357.1798932483,10222.365011396192,0.0,0.0,0.0,0.0
2025-12-03,3025.327833241101,-3323.9634331918555,10270.525899526321,9971.890299575567,0.0,0.0,0.0,0.0
2025-12-10,2965.988506284608,-3283.808475391321,10169.245395280677,9851.425426173964,0.0,0.0,0.0,0.0
2025-12-17,9636.853429025225,-9905.228122005765,10147.08345844188,9878.70876546134,0.0,0.0,0.0,0.0
2025-12-24,6435.778335240619,-6665.758710815054,10438.99594697628,10209.015571401844,0.0,0.0,0.0,0.0
2025-12-31,9875.868034775958,-10060.099898409804,10342.748516699909,10158.516653066063,0.0,0.0,0.0,0.0
2026-01-07,6613.925595090288,-6789.526957385545,10524.285916764948,10348.684554469692,0.0,0.0,0.0,0.0
2026-01-14,3259.9925576536866,-3394.989715047542,10319.966302536479,10184.969145142622,0.0,0.0,0.0,0.0
2026-01-21,6644.661303343004,-6721.154265544425,10230.499199269372,10154.006237067952,0.0,0.0,0.0,0.0
2026-01-28,3401.481913469248,-3391.570803774868,10164.801301630221,10174.7124113246,0.0,0.0,0.0,0.0
2026-02-04,10138.486889405674,-10190.6596385462,10157.680213045163,10105.507463904638,0.0,0.0,0.0,0.0
2026-02-11,6472.794661359338,-6673.8232065189995,10095.788737027293,9894.76019186763,0.0,0.0,0.0,0.0
2026-02-18,6638.185876749287,-6616.69933918682,9878.59998018156,9900.086517744026,0.0,0.0,0.0,0.0
2026-02-25,3405.0664151741244,-3319.8863482129154,9996.590527248545,10081.770594209755,0.0,0.0,0.0,0.0
