date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770666,10036.699672870667,0.0,0.0,0.0,0.0
2025-01-15,9.999999406318238e-08,-0.0,10122.606951873611,10122.606951973612,0.0,0.0,0.0,0.0
2025-01-22,9.999996564147295e-08,-0.0,10368.839755487686,10368.839755587687,0.0,0.0,0.0,0.0
2025-01-29,9.999999406318238e-08,-0.0,10366.952925020247,10366.952925120248,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10522.219031251676,10522.219031351677,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10455.796313481023,10455.796313581024,0.0,0.0,0.0,0.0
2025-02-19,1.0000002248489182e-07,-0.0,10572.702691304909,10572.70269140491,0.0,0.0,0.0,0.0
2025-02-26,1.0000007932831068e-07,-0.0,10545.23379960815,10545.23379970815,0.0,0.0,0.0,0.0
2025-03-05,1.0000007932831068e-07,-0.0,10373.0840429175,10373.084043017501,0.0,0.0,0.0,0.0
2025-03-12,1.0000007932831068e-07,-0.0,10015.778059223216,10015.778059323216,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,10201.807684828826,10201.807684928826,0.0,0.0,0.0,0.0
2025-03-26,9.999999406318238e-08,-0.0,10287.518215370936,10287.518215470936,0.0,0.0,0.0,0.0
2025-04-02,9.999985195463523e-08,-0.0,10380.217942134532,10380.217942234533,0.0,0.0,0.0,0.0
2025-04-09,1.0000007932831068e-07,-0.0,9982.119755020838,9982.119755120839,0.0,0.0,0.0,0.0
2025-04-16,9.999996564147295e-08,-0.0,9805.395372523168,9805.395372623168,0.0,0.0,0.0,0.0
2025-04-23,9.999999406318238e-08,-0.0,9977.151492358656,9977.151492458657,0.0,0.0,0.0,0.0
2025-04-30,9.999996564147295e-08,-0.0,10405.408791559881,10405.408791659882,0.0,0.0,0.0,0.0
2025-05-07,9.999996564147295e-08,-0.0,10447.685808792721,10447.685808892722,0.0,0.0,0.0,0.0
2025-05-14,9.999999406318238e-08,-0.0,10508.607477109706,10508.607477209707,0.0,0.0,0.0,0.0
2025-05-21,9.999985195463523e-08,-0.0,10674.086868497525,10674.086868597526,0.0,0.0,0.0,0.0
2025-05-28,1.0000007932831068e-07,-0.0,10744.635670943328,10744.635671043328,0.0,0.0,0.0,0.0
2025-06-04,9.999999406318238e-08,-0.0,10840.39285979839,10840.392859898391,0.0,0.0,0.0,0.0
2025-06-11,9.999999406318238e-08,-0.0,11029.485200482393,11029.485200582394,0.0,0.0,0.0,0.0
2025-06-18,1.0000007932831068e-07,-0.0,10943.008707886273,10943.008707986273,0.0,0.0,0.0,0.0
2025-06-25,9.999999406318238e-08,-0.0,11008.64827844278,11008.648278542782,0.0,0.0,0.0,0.0
2025-07-02,9.999999406318238e-08,-0.0,11257.190643072356,11257.190643172356,0.0,0.0,0.0,0.0
2025-07-09,1.0000002248489182e-07,-0.0,11264.99618916705,11264.99618926705,0.0,0.0,0.0,0.0
2025-07-16,9.999999406318238e-08,-0.0,11187.23809519657,11187.23809529657,0.0,0.0,0.0,0.0
2025-07-23,1.0000002248489182e-07,-0.0,11404.734843907892,11404.734844007893,0.0,0.0,0.0,0.0
2025-07-30,9.999985195463523e-08,-0.0,11419.774562717346,11419.774562817347,0.0,0.0,0.0,0.0
2025-08-06,1.0000007932831068e-07,-0.0,11460.001315916017,11460.001316016018,0.0,0.0,0.0,0.0
2025-08-13,9.999999406318238e-08,-0.0,11671.305044043169,11671.30504414317,0.0,0.0,0.0,0.0
2025-08-20,9.999996564147295e-08,-0.0,11701.577475937553,11701.577476037553,0.0,0.0,0.0,0.0
2025-08-27,9.999999406318238e-08,-0.0,11878.59672873202,11878.59672883202,0.0,0.0,0.0,0.0
2025-09-03,1.0000007932831068e-07,-0.0,11776.990752261881,11776.990752361882,0.0,0.0,0.0,0.0
2025-09-10,9.999999406318238e-08,-0.0,11867.585667882808,11867.585667982808,0.0,0.0,0.0,0.0
2025-09-17,9.999999406318238e-08,-0.0,11937.752855698225,11937.752855798226,0.0,0.0,0.0,0.0
2025-09-24,1.0000007932831068e-07,-0.0,11842.446136098244,11842.446136198245,0.0,0.0,0.0,0.0
2025-10-01,9.999999406318238e-08,-0.0,11904.263732228688,11904.263732328689,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11894.656120304337,11894.656120404336,0.0,0.0,0.0,0.0
2025-10-15,1.0000007932831068e-07,-0.0,11857.298866799927,11857.298866899928,0.0,0.0,0.0,0.0
2025-10-22,9.999996564147295e-08,-0.0,11916.372494014044,11916.372494114044,0.0,0.0,0.0,0.0
2025-10-29,9.999999406318238e-08,-0.0,11833.856849434942,11833.856849534943,0.0,0.0,0.0,0.0
2025-11-05,1.0000007932831068e-07,-0.0,11795.889821102126,11795.889821202127,0.0,0.0,0.0,0.0
2025-11-12,9.999985195463523e-08,-0.0,11935.95838231116,11935.958382411161,0.0,0.0,0.0,0.0
2025-11-19,1.0000007932831068e-07,-0.0,11509.87385525934,11509.873855359341,0.0,0.0,0.0,0.0
2025-11-26,1.0000002248489182e-07,-0.0,11793.544981782767,11793.544981882767,0.0,0.0,0.0,0.0
2025-12-03,1.0000002248489182e-07,-0.0,12004.400248772847,12004.400248872847,0.0,0.0,0.0,0.0
2025-12-10,9.999999406318238e-08,-0.0,11798.52855284368,11798.52855294368,0.0,0.0,0.0,0.0
2025-12-17,9.999999406318238e-08,-0.0,11903.902526640697,11903.902526740698,0.0,0.0,0.0,0.0
2025-12-24,9.999999406318238e-08,-0.0,12153.286549106693,12153.286549206694,0.0,0.0,0.0,0.0
2025-12-31,1.0000007932831068e-07,-0.0,12119.259107452039,12119.25910755204,0.0,0.0,0.0,0.0
2026-01-07,1.0000007932831068e-07,-0.0,12340.125617398884,12340.125617498885,0.0,0.0,0.0,0.0
2026-01-14,1.0000002248489182e-07,-0.0,12490.860826424341,12490.860826524342,0.0,0.0,0.0,0.0
2026-01-21,9.999985195463523e-08,-0.0,12337.496141734504,12337.496141834505,0.0,0.0,0.0,0.0
2026-01-28,9.999985195463523e-08,-0.0,12533.181185622081,12533.181185722082,0.0,0.0,0.0,0.0
