date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,20000.000000000004,-10000.000000000002,0.0,10000.000000000002,0.0,0.0,0.0,0.0
2021-03-10,19356.4460026643,-9678.223001332144,0.0,9678.223001332155,0.0,0.0,0.0,0.0
2021-03-17,18852.170521349908,-9426.085260674956,0.0,9426.085260674952,0.0,0.0,0.0,0.0
2021-03-24,19342.764355793697,-9671.382177896849,0.0,9671.382177896849,0.0,0.0,0.0,0.0
2021-03-31,18929.712160005187,-9464.856080002593,0.0,9464.856080002593,0.0,0.0,0.0,0.0
2021-04-07,18433.80659588824,-9216.903297944122,0.0,9216.903297944118,0.0,0.0,0.0,0.0
2021-04-14,18324.969964921867,-9162.484982460935,0.0,9162.484982460932,0.0,0.0,0.0,0.0
2021-04-21,18082.268850084078,-9041.134425042042,0.0,9041.134425042035,0.0,0.0,0.0,0.0
2021-04-28,18141.741995707223,-9070.870997853612,0.0,9070.870997853612,0.0,0.0,0.0,0.0
2021-05-05,17832.900610354613,-8916.450305177314,0.0,8916.450305177299,0.0,0.0,0.0,0.0
2021-05-12,18013.890230458845,-9006.945115229426,0.0,9006.945115229419,0.0,0.0,0.0,0.0
2021-05-19,17862.753771748423,-8931.37688587421,0.0,8931.376885874213,0.0,0.0,0.0,0.0
2021-05-26,17629.199393733903,-8814.599696866953,0.0,8814.59969686695,0.0,0.0,0.0,0.0
2021-06-02,17532.709670529082,-8766.354835264541,0.0,8766.354835264541,0.0,0.0,0.0,0.0
2021-06-09,17456.63632128161,-8728.318160640805,0.0,8728.318160640805,0.0,0.0,0.0,0.0
2021-06-16,17453.98952341439,-8726.994761707201,0.0,8726.99476170719,0.0,0.0,0.0,0.0
2021-06-23,17595.196592057713,-8797.598296028857,0.0,8797.598296028857,0.0,0.0,0.0,0.0
2021-06-30,17416.288256835942,-8708.14412841797,0.0,8708.144128417973,0.0,0.0,0.0,0.0
2021-07-07,17196.68134837673,-8598.340674188365,0.0,8598.340674188365,0.0,0.0,0.0,0.0
2021-07-14,17130.52001127368,-8565.260005636841,0.0,8565.260005636837,0.0,0.0,0.0,0.0
2021-07-21,17196.108138582862,-8598.05406929143,0.0,8598.054069291433,0.0,0.0,0.0,0.0
2021-07-28,17096.148651739815,-8548.074325869911,0.0,8548.074325869904,0.0,0.0,0.0,0.0
2021-08-04,17138.530205656712,-8569.26510282835,0.0,8569.265102828362,0.0,0.0,0.0,0.0
2021-08-11,16994.40170536946,-8497.20085268473,0.0,8497.20085268473,0.0,0.0,0.0,0.0
2021-08-18,17327.76679822943,-8663.883399114713,0.0,8663.883399114717,0.0,0.0,0.0,0.0
2021-08-25,17184.80630420975,-8592.403152104878,0.0,8592.403152104871,0.0,0.0,0.0,0.0
2021-09-01,17153.359844567058,-8576.679922283529,0.0,8576.679922283529,0.0,0.0,0.0,0.0
2021-09-08,17182.43963878652,-8591.219819393258,0.0,8591.219819393262,0.0,0.0,0.0,0.0
2021-09-15,17289.903234742913,-8644.95161737146,0.0,8644.951617371453,0.0,0.0,0.0,0.0
2021-09-22,17703.491377850663,-8851.745688925334,0.0,8851.74568892533,0.0,0.0,0.0,0.0
2021-09-29,17623.98910861496,-8811.994554307486,0.0,8811.994554307472,0.0,0.0,0.0,0.0
2021-10-06,17368.291792113272,-8684.145896056632,0.0,8684.14589605664,0.0,0.0,0.0,0.0
2021-10-13,17300.6096086052,-8650.304804302601,0.0,8650.304804302597,0.0,0.0,0.0,0.0
2021-10-20,16697.521725914667,-8348.760862957337,0.0,8348.76086295733,0.0,0.0,0.0,0.0
2021-10-27,16694.096189355816,-8347.04809467791,0.0,8347.048094677906,0.0,0.0,0.0,0.0
