date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2021-03-03,19999.999999999996,-10000.000000000002,0.0,9999.999999999995,0.0,0.0,0.0,0.0
2021-03-10,19321.470333755628,-9660.735166877814,0.0,9660.735166877814,0.0,0.0,0.0,0.0
2021-03-17,19059.28152226451,-9529.640761132256,0.0,9529.640761132256,0.0,0.0,0.0,0.0
2021-03-24,19518.34622763548,-9759.17311381774,0.0,9759.17311381774,0.0,0.0,0.0,0.0
2021-03-31,19106.789687085315,-9553.394843542657,0.0,9553.394843542657,0.0,0.0,0.0,0.0
2021-04-07,18721.12042275333,-9360.560211376665,0.0,9360.560211376665,0.0,0.0,0.0,0.0
2021-04-14,18563.192869445742,-9281.59643472287,0.0,9281.596434722873,0.0,0.0,0.0,0.0
2021-04-21,18365.92532432087,-9182.962662160433,0.0,9182.962662160437,0.0,0.0,0.0,0.0
2021-04-28,18243.861451291566,-9121.930725645785,0.0,9121.930725645781,0.0,0.0,0.0,0.0
2021-05-05,18053.819780559395,-9026.9098902797,0.0,9026.909890279696,0.0,0.0,0.0,0.0
2021-05-12,18354.230880846404,-9177.115440423197,0.0,9177.115440423207,0.0,0.0,0.0,0.0
2021-05-19,18159.278595841246,-9079.639297920625,0.0,9079.639297920621,0.0,0.0,0.0,0.0
2021-05-26,17877.130708369365,-8938.565354184684,0.0,8938.56535418468,0.0,0.0,0.0,0.0
2021-06-02,17670.92398870681,-8835.461994353407,0.0,8835.461994353403,0.0,0.0,0.0,0.0
2021-06-09,17628.428344058033,-8814.214172029022,0.0,8814.214172029011,0.0,0.0,0.0,0.0
2021-06-16,17720.058723814862,-8860.029361907425,0.0,8860.029361907436,0.0,0.0,0.0,0.0
2021-06-23,17882.963855122165,-8941.481927561075,0.0,8941.48192756109,0.0,0.0,0.0,0.0
2021-06-30,17713.17583949145,-8856.587919745729,0.0,8856.587919745722,0.0,0.0,0.0,0.0
2021-07-07,17581.287682438935,-8790.643841219468,0.0,8790.643841219468,0.0,0.0,0.0,0.0
2021-07-14,17570.28344306989,-8785.141721534948,0.0,8785.141721534941,0.0,0.0,0.0,0.0
2021-07-21,17640.259102104555,-8820.129551052278,0.0,8820.129551052278,0.0,0.0,0.0,0.0
2021-07-28,17478.329224816454,-8739.164612408225,0.0,8739.164612408229,0.0,0.0,0.0,0.0
2021-08-04,17505.2523122994,-8752.626156149703,0.0,8752.626156149696,0.0,0.0,0.0,0.0
2021-08-11,17183.029976592614,-8591.514988296305,0.0,8591.514988296309,0.0,0.0,0.0,0.0
2021-08-18,17460.782697925744,-8730.391348962876,0.0,8730.391348962869,0.0,0.0,0.0,0.0
2021-08-25,17183.68365074648,-8591.841825373236,0.0,8591.841825373243,0.0,0.0,0.0,0.0
2021-09-01,17125.506437039625,-8562.75321851981,0.0,8562.753218519814,0.0,0.0,0.0,0.0
2021-09-08,17160.896241166767,-8580.448120583382,0.0,8580.448120583385,0.0,0.0,0.0,0.0
