date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770668,10036.699672870669,0.0,0.0,0.0,0.0
2025-01-15,1.0000002248489182e-07,-0.0,10135.730820903918,10135.73082100392,0.0,0.0,0.0,0.0
2025-01-22,9.999996564147295e-08,-0.0,10361.1189515192,10361.1189516192,0.0,0.0,0.0,0.0
2025-01-29,1.0000007932831068e-07,-0.0,10356.5103034928,10356.5103035928,0.0,0.0,0.0,0.0
2025-02-05,9.999985195463523e-08,-0.0,10470.965534826042,10470.965534926043,0.0,0.0,0.0,0.0
2025-02-12,1.0000000116860974e-07,-0.0,10280.90814114361,10280.90814124361,0.0,0.0,0.0,0.0
2025-02-19,9.999996564147295e-08,-0.0,10612.379874336708,10612.379874436709,0.0,0.0,0.0,0.0
2025-02-26,9.999985195463523e-08,-0.0,10400.681673420435,10400.681673520434,0.0,0.0,0.0,0.0
2025-03-05,1.0000000116860974e-07,-0.0,10255.823358301419,10255.82335840142,0.0,0.0,0.0,0.0
2025-03-12,9.999985195463523e-08,-0.0,10009.379093289288,10009.379093389289,0.0,0.0,0.0,0.0
2025-03-19,1.0000000028043132e-07,-0.0,10186.378383232963,10186.378383332963,0.0,0.0,0.0,0.0
2025-03-26,1.00000761449337e-07,-0.0,10144.027389007982,10144.027389107983,0.0,0.0,0.0,0.0
2025-04-02,1.0000000028043132e-07,-0.0,10129.106447408949,10129.10644750895,0.0,0.0,0.0,0.0
2025-04-09,1.0000000000287557e-07,-0.0,9533.31959116941,9533.31959126941,0.0,0.0,0.0,0.0
2025-04-16,9.999985195463523e-08,-0.0,9544.530296826677,9544.530296926678,0.0,0.0,0.0,0.0
2025-04-23,1.0000007932831068e-07,-0.0,9770.30378080798,9770.303780907981,0.0,0.0,0.0,0.0
2025-04-30,9.999999406318238e-08,-0.0,10071.590868216234,10071.590868316234,0.0,0.0,0.0,0.0
2025-05-07,9.999999406318238e-08,-0.0,10151.925142833206,10151.925142933207,0.0,0.0,0.0,0.0
2025-05-14,9.99999993922529e-08,-0.0,10412.032788089618,10412.03278818962,0.0,0.0,0.0,0.0
2025-05-21,1.0000000000287557e-07,-0.0,10638.298893794494,10638.298893894495,0.0,0.0,0.0,0.0
2025-05-28,9.999996564147295e-08,-0.0,10630.229377204732,10630.229377304733,0.0,0.0,0.0,0.0
2025-06-04,1.0000002248489182e-07,-0.0,10753.145647213165,10753.145647313166,0.0,0.0,0.0,0.0
2025-06-11,9.999985195463523e-08,-0.0,11012.099297477127,11012.099297577126,0.0,0.0,0.0,0.0
2025-06-18,9.999985195463523e-08,-0.0,10838.221294522755,10838.221294622756,0.0,0.0,0.0,0.0
2025-06-25,1.00000761449337e-07,-0.0,10943.40512444142,10943.405124541421,0.0,0.0,0.0,0.0
2025-07-02,9.999996564147295e-08,-0.0,11300.221141583317,11300.221141683318,0.0,0.0,0.0,0.0
2025-07-09,1.0000002248489182e-07,-0.0,11323.739694589462,11323.739694689462,0.0,0.0,0.0,0.0
2025-07-16,1.0000007932831068e-07,-0.0,11257.03618756143,11257.036187661432,0.0,0.0,0.0,0.0
2025-07-23,1.0000007932831068e-07,-0.0,11495.522365699737,11495.522365799738,0.0,0.0,0.0,0.0
2025-07-30,9.999996564147295e-08,-0.0,11400.803897337515,11400.803897437516,0.0,0.0,0.0,0.0
2025-08-06,1.0000000000287557e-07,-0.0,11240.01925489561,11240.01925499561,0.0,0.0,0.0,0.0
2025-08-13,9.999985195463523e-08,-0.0,11479.06930712339,11479.069307223392,0.0,0.0,0.0,0.0
2025-08-20,9.999985195463523e-08,-0.0,11391.111831152684,11391.111831252685,0.0,0.0,0.0,0.0
2025-08-27,1.0000007932831068e-07,-0.0,11504.74843139905,11504.74843149905,0.0,0.0,0.0,0.0
2025-09-03,9.999996564147295e-08,-0.0,11408.60442284221,11408.604422942211,0.0,0.0,0.0,0.0
2025-09-10,9.999985195463523e-08,-0.0,11481.942352013151,11481.94235211315,0.0,0.0,0.0,0.0
2025-09-17,9.999996564147295e-08,-0.0,11643.311802948618,11643.311803048618,0.0,0.0,0.0,0.0
2025-09-24,1.0000002248489182e-07,-0.0,11670.750036170257,11670.750036270258,0.0,0.0,0.0,0.0
2025-10-01,1.0000002248489182e-07,-0.0,11785.385289082235,11785.385289182235,0.0,0.0,0.0,0.0
2025-10-08,9.999996564147295e-08,-0.0,11813.514415111198,11813.514415211199,0.0,0.0,0.0,0.0
2025-10-15,1.0000007932831068e-07,-0.0,11837.654543879133,11837.654543979133,0.0,0.0,0.0,0.0
2025-10-22,1.0000007932831068e-07,-0.0,11860.899278432405,11860.899278532406,0.0,0.0,0.0,0.0
2025-10-29,9.999985195463523e-08,-0.0,11931.98255016161,11931.982550261611,0.0,0.0,0.0,0.0
2025-11-05,9.999996564147295e-08,-0.0,11855.258349675898,11855.258349775899,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,12067.487481999064,12067.487482099064,0.0,0.0,0.0,0.0
2025-11-19,1.0000007932831068e-07,-0.0,11773.067338605435,11773.067338705436,0.0,0.0,0.0,0.0
2025-11-26,1.0000007932831068e-07,-0.0,12081.543910194343,12081.543910294344,0.0,0.0,0.0,0.0
2025-12-03,1.0000002248489182e-07,-0.0,12151.808288574952,12151.808288674953,0.0,0.0,0.0,0.0
2025-12-10,1.0000002248489182e-07,-0.0,12075.934972688998,12075.934972788998,0.0,0.0,0.0,0.0
2025-12-17,9.999999406318238e-08,-0.0,12085.701691933169,12085.70169203317,0.0,0.0,0.0,0.0
2025-12-24,1.0000007932831068e-07,-0.0,12579.139508390457,12579.139508490458,0.0,0.0,0.0,0.0
