date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,20000.000000000004,-10000.0,0.0,10000.000000000004,0.0,0.0,0.0,0.0
2025-01-08,19926.600654259873,-9963.300327129935,0.0,9963.300327129939,0.0,0.0,0.0,0.0
2025-01-15,19716.35309495319,-9858.176547476594,0.0,9858.176547476594,0.0,0.0,0.0,0.0
2025-01-22,19141.881011864258,-9570.940505932122,0.0,9570.940505932136,0.0,0.0,0.0,0.0
2025-01-29,19514.53257181519,-9757.266285907594,0.0,9757.266285907597,0.0,0.0,0.0,0.0
2025-02-05,19386.34519831058,-9693.172599155292,0.0,9693.172599155288,0.0,0.0,0.0,0.0
2025-02-12,19364.000546998526,-9682.000273499265,0.0,9682.000273499261,0.0,0.0,0.0,0.0
2025-02-19,19089.698398351826,-9544.849199175915,0.0,9544.849199175911,0.0,0.0,0.0,0.0
2025-02-26,19572.882650269996,-9786.441325135003,0.0,9786.441325134992,0.0,0.0,0.0,0.0
2025-03-05,19710.108876412956,-9855.054438206473,0.0,9855.054438206484,0.0,0.0,0.0,0.0
2025-03-12,20352.27575264815,-10176.137876324077,0.0,10176.137876324074,0.0,0.0,0.0,0.0
2025-03-19,19947.95528068826,-9973.977640344125,0.0,9973.977640344136,0.0,0.0,0.0,0.0
2025-03-26,19893.317706143283,-9946.65885307164,0.0,9946.658853071644,0.0,0.0,0.0,0.0
2025-04-02,19949.980336739234,-9974.99016836962,0.0,9974.990168369613,0.0,0.0,0.0,0.0
2025-04-09,20827.177480602448,-10413.588740301218,0.0,10413.58874030123,0.0,0.0,0.0,0.0
2025-04-16,21205.109746631635,-10602.554873315818,0.0,10602.554873315818,0.0,0.0,0.0,0.0
2025-04-23,20814.867803374706,-10407.433901687353,0.0,10407.433901687353,0.0,0.0,0.0,0.0
2025-04-30,19865.292047106017,-9932.646023553007,0.0,9932.64602355301,0.0,0.0,0.0,0.0
2025-05-07,19861.636038787066,-9930.818019393533,0.0,9930.818019393533,0.0,0.0,0.0,0.0
2025-05-14,19513.679357411955,-9756.839678705968,0.0,9756.839678705986,0.0,0.0,0.0,0.0
2025-05-21,19810.579356345912,-9905.289678172956,0.0,9905.289678172956,0.0,0.0,0.0,0.0
2025-05-28,19745.741273389478,-9872.870636694744,0.0,9872.870636694734,0.0,0.0,0.0,0.0
2025-06-04,19559.719461387387,-9779.859730693694,0.0,9779.859730693694,0.0,0.0,0.0,0.0
2025-06-11,19335.783175373796,-9667.8915876869,0.0,9667.891587686896,0.0,0.0,0.0,0.0
2025-06-18,19520.645397803914,-9760.322698901948,0.0,9760.322698901966,0.0,0.0,0.0,0.0
2025-06-25,19488.76279619577,-9744.381398097885,0.0,9744.381398097885,0.0,0.0,0.0,0.0
2025-07-02,19090.317864654684,-9545.158932327342,0.0,9545.158932327342,0.0,0.0,0.0,0.0
2025-07-09,19074.642389193526,-9537.321194596763,0.0,9537.321194596763,0.0,0.0,0.0,0.0
2025-07-16,19189.046301831055,-9594.523150915531,0.0,9594.523150915524,0.0,0.0,0.0,0.0
2025-07-23,18869.963299274135,-9434.981649637064,0.0,9434.981649637071,0.0,0.0,0.0,0.0
2025-07-30,19139.619976537804,-9569.809988268898,0.0,9569.809988268906,0.0,0.0,0.0,0.0
2025-08-06,19281.26823052916,-9640.634115264584,0.0,9640.634115264576,0.0,0.0,0.0,0.0
2025-08-13,18861.85572555298,-9430.92786277649,0.0,9430.92786277649,0.0,0.0,0.0,0.0
2025-08-20,19045.93387644475,-9522.966938222373,0.0,9522.966938222376,0.0,0.0,0.0,0.0
2025-08-27,19031.202381277573,-9515.601190638785,0.0,9515.601190638788,0.0,0.0,0.0,0.0
2025-09-03,19214.139681695768,-9607.06984084789,0.0,9607.069840847878,0.0,0.0,0.0,0.0
2025-09-10,19035.897649298247,-9517.948824649118,0.0,9517.94882464913,0.0,0.0,0.0,0.0
2025-09-17,18917.04436545588,-9458.522182727942,0.0,9458.522182727938,0.0,0.0,0.0,0.0
2025-09-24,18983.223464405997,-9491.611732202991,0.0,9491.611732203006,0.0,0.0,0.0,0.0
2025-10-01,18900.691178200315,-9450.345589100158,0.0,9450.345589100158,0.0,0.0,0.0,0.0
2025-10-08,18763.686620308723,-9381.843310154361,0.0,9381.843310154361,0.0,0.0,0.0,0.0
2025-10-15,18860.44132950599,-9430.220664752993,0.0,9430.220664752997,0.0,0.0,0.0,0.0
2025-10-22,18859.81521758796,-9429.90760879398,0.0,9429.90760879398,0.0,0.0,0.0,0.0
2025-10-29,18897.560567716395,-9448.780283858201,0.0,9448.780283858194,0.0,0.0,0.0,0.0
2025-11-05,19355.264856394064,-9677.632428197037,0.0,9677.632428197026,0.0,0.0,0.0,0.0
2025-11-12,18800.28489880318,-9400.14244940159,0.0,9400.14244940159,0.0,0.0,0.0,0.0
2025-11-19,18897.677917909612,-9448.838958954808,0.0,9448.838958954804,0.0,0.0,0.0,0.0
2025-11-26,18405.613051670898,-9202.806525835447,0.0,9202.80652583545,0.0,0.0,0.0,0.0
2025-12-03,18433.30149711811,-9216.650748559054,0.0,9216.650748559057,0.0,0.0,0.0,0.0
2025-12-10,18283.974139732876,-9141.987069866438,0.0,9141.987069866438,0.0,0.0,0.0,0.0
2025-12-17,18461.51824605603,-9230.759123028012,0.0,9230.75912302802,0.0,0.0,0.0,0.0
2025-12-24,18270.294907676678,-9135.147453838337,0.0,9135.14745383834,0.0,0.0,0.0,0.0
2025-12-31,18430.696827889104,-9215.348413944552,0.0,9215.348413944552,0.0,0.0,0.0,0.0
2026-01-07,18302.137351188332,-9151.068675594166,0.0,9151.068675594166,0.0,0.0,0.0,0.0
2026-01-14,18442.969676193225,-9221.484838096616,0.0,9221.484838096609,0.0,0.0,0.0,0.0
