date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770668,10036.699672870669,0.0,0.0,0.0,0.0
2025-01-15,9.999996564147295e-08,-0.0,10157.964917448002,10157.964917548003,0.0,0.0,0.0,0.0
2025-01-22,9.999996564147295e-08,-0.0,10349.007452081441,10349.007452181442,0.0,0.0,0.0,0.0
2025-01-29,9.999985195463523e-08,-0.0,10339.032802236576,10339.032802336576,0.0,0.0,0.0,0.0
2025-02-05,9.999996564147295e-08,-0.0,10424.811080159701,10424.811080259702,0.0,0.0,0.0,0.0
2025-02-12,9.999985195463523e-08,-0.0,10407.626975034716,10407.626975134717,0.0,0.0,0.0,0.0
2025-02-19,1.0000007932831068e-07,-0.0,10561.280976985558,10561.280977085558,0.0,0.0,0.0,0.0
2025-02-26,9.999996564147295e-08,-0.0,10362.79958342468,10362.79958352468,0.0,0.0,0.0,0.0
2025-03-05,1.0000007932831068e-07,-0.0,10250.14516494707,10250.14516504707,0.0,0.0,0.0,0.0
2025-03-12,9.999996564147295e-08,-0.0,9913.178569298125,9913.178569398126,0.0,0.0,0.0,0.0
2025-03-19,9.999985195463523e-08,-0.0,10110.114827754804,10110.114827854803,0.0,0.0,0.0,0.0
2025-03-26,1.0000007932831068e-07,-0.0,10129.132741021087,10129.132741121088,0.0,0.0,0.0,0.0
2025-04-02,1.0000007932831068e-07,-0.0,10144.672508329579,10144.67250842958,0.0,0.0,0.0,0.0
2025-04-09,9.999996564147295e-08,-0.0,9612.121294656923,9612.121294756924,0.0,0.0,0.0,0.0
2025-04-16,9.999996564147295e-08,-0.0,9437.698678556504,9437.698678656505,0.0,0.0,0.0,0.0
2025-04-23,9.999996564147295e-08,-0.0,9612.083502363956,9612.083502463956,0.0,0.0,0.0,0.0
2025-04-30,9.999996564147295e-08,-0.0,9857.149483220763,9857.149483320763,0.0,0.0,0.0,0.0
2025-05-07,9.999996564147295e-08,-0.0,9925.676603019036,9925.676603119036,0.0,0.0,0.0,0.0
2025-05-14,9.999996564147295e-08,-0.0,10155.327936961648,10155.32793706165,0.0,0.0,0.0,0.0
2025-05-21,9.999996564147295e-08,-0.0,10152.613843282505,10152.613843382505,0.0,0.0,0.0,0.0
2025-05-28,9.999996564147295e-08,-0.0,10197.816192484046,10197.816192584047,0.0,0.0,0.0,0.0
2025-06-04,9.999985195463523e-08,-0.0,10294.483764166085,10294.483764266086,0.0,0.0,0.0,0.0
2025-06-11,9.999996564147295e-08,-0.0,10397.40855460262,10397.40855470262,0.0,0.0,0.0,0.0
2025-06-18,9.999996564147295e-08,-0.0,10317.82381708427,10317.823817184271,0.0,0.0,0.0,0.0
2025-06-25,9.999985195463523e-08,-0.0,10356.21610959879,10356.216109698791,0.0,0.0,0.0,0.0
2025-07-02,9.999996564147295e-08,-0.0,10605.179459328578,10605.179459428578,0.0,0.0,0.0,0.0
2025-07-09,1.0000007932831068e-07,-0.0,10620.246611625033,10620.246611725033,0.0,0.0,0.0,0.0
2025-07-16,9.999985195463523e-08,-0.0,10564.240651818895,10564.240651918895,0.0,0.0,0.0,0.0
2025-07-23,9.999996564147295e-08,-0.0,10782.979408157102,10782.979408257102,0.0,0.0,0.0,0.0
2025-07-30,1.0000007932831068e-07,-0.0,10686.468150318626,10686.468150418626,0.0,0.0,0.0,0.0
2025-08-06,9.999996564147295e-08,-0.0,10600.72512938265,10600.725129482651,0.0,0.0,0.0,0.0
2025-08-13,9.999996564147295e-08,-0.0,10791.321036394384,10791.321036494384,0.0,0.0,0.0,0.0
2025-08-20,9.999996564147295e-08,-0.0,10771.933892129342,10771.933892229343,0.0,0.0,0.0,0.0
2025-08-27,9.999985195463523e-08,-0.0,10884.037741538012,10884.03774163801,0.0,0.0,0.0,0.0
2025-09-03,1.0000007932831068e-07,-0.0,10793.510816317528,10793.510816417529,0.0,0.0,0.0,0.0
2025-09-10,1.0000007932831068e-07,-0.0,10869.674364883562,10869.674364983563,0.0,0.0,0.0,0.0
2025-09-17,9.999996564147295e-08,-0.0,10978.367886077078,10978.367886177079,0.0,0.0,0.0,0.0
2025-09-24,9.999996564147295e-08,-0.0,10950.481580271919,10950.48158037192,0.0,0.0,0.0,0.0
2025-10-01,9.999985195463523e-08,-0.0,11046.801888145777,11046.801888245776,0.0,0.0,0.0,0.0
2025-10-08,9.999985195463523e-08,-0.0,11075.790946915577,11075.790947015576,0.0,0.0,0.0,0.0
2025-10-15,9.999996564147295e-08,-0.0,11019.529739548134,11019.529739648135,0.0,0.0,0.0,0.0
2025-10-22,1.0000007932831068e-07,-0.0,11054.933714358565,11054.933714458566,0.0,0.0,0.0,0.0
2025-10-29,9.999985195463523e-08,-0.0,11031.853374448725,11031.853374548726,0.0,0.0,0.0,0.0
2025-11-05,9.999996564147295e-08,-0.0,10948.211515277928,10948.211515377929,0.0,0.0,0.0,0.0
2025-11-12,9.999996564147295e-08,-0.0,11116.550031243947,11116.550031343948,0.0,0.0,0.0,0.0
2025-11-19,9.999996564147295e-08,-0.0,10844.985793668326,10844.985793768326,0.0,0.0,0.0,0.0
2025-11-26,1.0000007932831068e-07,-0.0,11112.8352802262,11112.8352803262,0.0,0.0,0.0,0.0
2025-12-03,1.0000007932831068e-07,-0.0,11149.871743453776,11149.871743553776,0.0,0.0,0.0,0.0
2025-12-10,1.0000007932831068e-07,-0.0,11149.607643988946,11149.607644088946,0.0,0.0,0.0,0.0
2025-12-17,1.0000007932831068e-07,-0.0,11104.409483063424,11104.409483163425,0.0,0.0,0.0,0.0
2025-12-24,9.999996564147295e-08,-0.0,11231.16889760018,11231.168897700181,0.0,0.0,0.0,0.0
