date,cash,liability_value,securities_value,total_value,long_fee_cum,short_fee_cum,long_fee_rate_cum,short_fee_rate_cum
2025-01-01,9.999996564147295e-08,-0.0,9999.9999999,10000.0,0.0,0.0,0.0,0.0
2025-01-08,1.0000007932831068e-07,-0.0,10036.699672770668,10036.699672870669,0.0,0.0,0.0,0.0
2025-01-15,1.0000007932831068e-07,-0.0,10138.073811086728,10138.073811186729,0.0,0.0,0.0,0.0
2025-01-22,1.0000007932831068e-07,-0.0,10335.32737725155,10335.32737735155,0.0,0.0,0.0,0.0
2025-01-29,1.0000007932831068e-07,-0.0,10322.678418093758,10322.678418193758,0.0,0.0,0.0,0.0
2025-02-05,1.0000007932831068e-07,-0.0,10406.219248375528,10406.219248475529,0.0,0.0,0.0,0.0
2025-02-12,9.999996564147295e-08,-0.0,10383.048725042809,10383.04872514281,0.0,0.0,0.0,0.0
2025-02-19,9.999996564147295e-08,-0.0,10547.66455917664,10547.66455927664,0.0,0.0,0.0,0.0
2025-02-26,1.0000007932831068e-07,-0.0,10351.614645945727,10351.614646045728,0.0,0.0,0.0,0.0
2025-03-05,9.999996564147295e-08,-0.0,10220.866400923147,10220.866401023148,0.0,0.0,0.0,0.0
2025-03-12,1.0000007932831068e-07,-0.0,9925.010898534405,9925.010898634406,0.0,0.0,0.0,0.0
2025-03-19,9.999996564147295e-08,-0.0,10111.386178695191,10111.386178795192,0.0,0.0,0.0,0.0
2025-03-26,1.0000007932831068e-07,-0.0,10124.712193406258,10124.712193506259,0.0,0.0,0.0,0.0
2025-04-02,9.999996564147295e-08,-0.0,10122.478222581452,10122.478222681453,0.0,0.0,0.0,0.0
2025-04-09,9.999996564147295e-08,-0.0,9589.045052425407,9589.045052525407,0.0,0.0,0.0,0.0
2025-04-16,1.0000007932831068e-07,-0.0,9464.194383505863,9464.194383605864,0.0,0.0,0.0,0.0
2025-04-23,1.0000007932831068e-07,-0.0,9649.97174246267,9649.971742562671,0.0,0.0,0.0,0.0
2025-04-30,9.999996564147295e-08,-0.0,9913.67189249294,9913.67189259294,0.0,0.0,0.0,0.0
2025-05-07,1.0000007932831068e-07,-0.0,9981.842642952299,9981.8426430523,0.0,0.0,0.0,0.0
2025-05-14,1.0000007932831068e-07,-0.0,10251.553309430106,10251.553309530107,0.0,0.0,0.0,0.0
2025-05-21,9.999996564147295e-08,-0.0,10251.004358141872,10251.004358241873,0.0,0.0,0.0,0.0
2025-05-28,9.999996564147295e-08,-0.0,10297.076794278088,10297.076794378088,0.0,0.0,0.0,0.0
2025-06-04,9.999996564147295e-08,-0.0,10400.324097060176,10400.324097160177,0.0,0.0,0.0,0.0
2025-06-11,1.0000007932831068e-07,-0.0,10518.822033000351,10518.822033100352,0.0,0.0,0.0,0.0
2025-06-18,1.0000007932831068e-07,-0.0,10430.002055249963,10430.002055349963,0.0,0.0,0.0,0.0
2025-06-25,1.0000007932831068e-07,-0.0,10457.669769482785,10457.669769582786,0.0,0.0,0.0,0.0
2025-07-02,9.999985195463523e-08,-0.0,10730.539631264986,10730.539631364987,0.0,0.0,0.0,0.0
2025-07-09,1.0000007932831068e-07,-0.0,10750.877313141005,10750.877313241006,0.0,0.0,0.0,0.0
2025-07-16,1.0000007932831068e-07,-0.0,10691.48617467163,10691.486174771631,0.0,0.0,0.0,0.0
2025-07-23,9.999996564147295e-08,-0.0,10905.743415445355,10905.743415545356,0.0,0.0,0.0,0.0
2025-07-30,1.0000007932831068e-07,-0.0,10812.259773779293,10812.259773879294,0.0,0.0,0.0,0.0
2025-08-06,9.999996564147295e-08,-0.0,10712.276386466292,10712.276386566293,0.0,0.0,0.0,0.0
2025-08-13,9.999996564147295e-08,-0.0,10902.154355487513,10902.154355587514,0.0,0.0,0.0,0.0
2025-08-20,1.0000007932831068e-07,-0.0,10865.365799113235,10865.365799213236,0.0,0.0,0.0,0.0
2025-08-27,1.0000007932831068e-07,-0.0,10987.745255011972,10987.745255111973,0.0,0.0,0.0,0.0
2025-09-03,1.0000007932831068e-07,-0.0,10892.02355255372,10892.02355265372,0.0,0.0,0.0,0.0
2025-09-10,1.0000007932831068e-07,-0.0,10965.578237398853,10965.578237498854,0.0,0.0,0.0,0.0
2025-09-17,9.999996564147295e-08,-0.0,11101.973423391435,11101.973423491436,0.0,0.0,0.0,0.0
2025-09-24,9.999996564147295e-08,-0.0,11064.739312381884,11064.739312481885,0.0,0.0,0.0,0.0
2025-10-01,1.0000007932831068e-07,-0.0,11154.329104781671,11154.329104881672,0.0,0.0,0.0,0.0
2025-10-08,1.0000007932831068e-07,-0.0,11170.416266952261,11170.416267052262,0.0,0.0,0.0,0.0
2025-10-15,1.0000007932831068e-07,-0.0,11093.989533299324,11093.989533399325,0.0,0.0,0.0,0.0
2025-10-22,1.0000007932831068e-07,-0.0,11140.671908980425,11140.671909080425,0.0,0.0,0.0,0.0
2025-10-29,1.0000007932831068e-07,-0.0,11183.566153994483,11183.566154094484,0.0,0.0,0.0,0.0
2025-11-05,9.999996564147295e-08,-0.0,11097.7487589411,11097.7487590411,0.0,0.0,0.0,0.0
2025-11-12,1.0000007932831068e-07,-0.0,11277.338841209661,11277.338841309662,0.0,0.0,0.0,0.0
2025-11-19,1.0000007932831068e-07,-0.0,10992.293897705142,10992.293897805142,0.0,0.0,0.0,0.0
2025-11-26,9.999996564147295e-08,-0.0,11278.072322890273,11278.072322990274,0.0,0.0,0.0,0.0
2025-12-03,9.999996564147295e-08,-0.0,11330.30876033802,11330.308760438022,0.0,0.0,0.0,0.0
2025-12-10,1.0000007932831068e-07,-0.0,11328.631923128134,11328.631923228135,0.0,0.0,0.0,0.0
2025-12-17,1.0000007932831068e-07,-0.0,11290.363299405357,11290.363299505358,0.0,0.0,0.0,0.0
2025-12-24,1.0000007932831068e-07,-0.0,11463.478924744079,11463.47892484408,0.0,0.0,0.0,0.0
