Dates,SPY US Equity PX_LAST,SPY US Equity PX_OPEN,SPY US Equity PX_HIGH,SPY US Equity PX_LOW,SPY US Equity PX_VOLUME,SPY US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLB US Equity PX_LAST,XLB US Equity PX_OPEN,XLB US Equity PX_HIGH,XLB US Equity PX_LOW,XLB US Equity PX_VOLUME,XLB US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLC US Equity PX_LAST,XLC US Equity PX_OPEN,XLC US Equity PX_HIGH,XLC US Equity PX_LOW,XLC US Equity PX_VOLUME,XLC US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLE US Equity PX_LAST,XLE US Equity PX_OPEN,XLE US Equity PX_HIGH,XLE US Equity PX_LOW,XLE US Equity PX_VOLUME,XLE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLF US Equity PX_LAST,XLF US Equity PX_OPEN,XLF US Equity PX_HIGH,XLF US Equity PX_LOW,XLF US Equity PX_VOLUME,XLF US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLI US Equity PX_LAST,XLI US Equity PX_OPEN,XLI US Equity PX_HIGH,XLI US Equity PX_LOW,XLI US Equity PX_VOLUME,XLI US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLK US Equity PX_LAST,XLK US Equity PX_OPEN,XLK US Equity PX_HIGH,XLK US Equity PX_LOW,XLK US Equity PX_VOLUME,XLK US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLP US Equity PX_LAST,XLP US Equity PX_OPEN,XLP US Equity PX_HIGH,XLP US Equity PX_LOW,XLP US Equity PX_VOLUME,XLP US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLU US Equity PX_LAST,XLU US Equity PX_OPEN,XLU US Equity PX_HIGH,XLU US Equity PX_LOW,XLU US Equity PX_VOLUME,XLU US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLV US Equity PX_LAST,XLV US Equity PX_OPEN,XLV US Equity PX_HIGH,XLV US Equity PX_LOW,XLV US Equity PX_VOLUME,XLV US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLRE US Equity PX_LAST,XLRE US Equity PX_OPEN,XLRE US Equity PX_HIGH,XLRE US Equity PX_LOW,XLRE US Equity PX_VOLUME,XLRE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLY US Equity PX_LAST,XLY US Equity PX_OPEN,XLY US Equity PX_HIGH,XLY US Equity PX_LOW,XLY US Equity PX_VOLUME,XLY US Equity TOT_RETURN_INDEX_GROSS_DVDS,SPX Index PX_LAST,SPX Index PX_OPEN,SPX Index PX_HIGH,SPX Index PX_LOW,SPX Index PX_VOLUME,SPX Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST,VIX Index PX_OPEN,VIX Index PX_HIGH,VIX Index PX_LOW,VIX Index TOT_RETURN_INDEX_GROSS_DVDS,USGG10YR Index PX_LAST,USGG10YR Index PX_OPEN,USGG10YR Index PX_HIGH,USGG10YR Index PX_LOW,USGG10YR Index TOT_RETURN_INDEX_GROSS_DVDS,USGG2YR Index PX_LAST,USGG2YR Index PX_OPEN,USGG2YR Index PX_HIGH,USGG2YR Index PX_LOW,USGG2YR Index TOT_RETURN_INDEX_GROSS_DVDS,FDTR Index PX_LAST,CPI YOY Index PX_LAST,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS,USURTOT Index PX_LAST,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST.1,VIX Index PX_OPEN.1,VIX Index PX_HIGH.1,VIX Index PX_LOW.1,VIX Index TOT_RETURN_INDEX_GROSS_DVDS.1,USGG10YR Index PX_LAST.1,USGG10YR Index PX_OPEN.1,USGG10YR Index PX_HIGH.1,USGG10YR Index PX_LOW.1,USGG10YR Index TOT_RETURN_INDEX_GROSS_DVDS.1,USGG2YR Index PX_LAST.1,USGG2YR Index PX_OPEN.1,USGG2YR Index PX_HIGH.1,USGG2YR Index PX_LOW.1,USGG2YR Index TOT_RETURN_INDEX_GROSS_DVDS.1,FDTR Index PX_LAST.1,FDTR Index TOT_RETURN_INDEX_GROSS_DVDS,CPI YOY Index PX_LAST.1,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS.1,USURTOT Index PX_LAST.1,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS.1,T10Y2Y Index PX_LAST,BAMLH0A0HYM2 Index PX_LAST,DTWEXBGS Index PX_LAST,DCOILWTICO Index PX_LAST,T10YIE Index PX_LAST
2020/1/2,324.87,323.54,324.89,322.53,59253833,324.87,30.35,30.915,30.97,30.3125,14714866,48.3681,54.26,53.97,54.26,53.74,6365149,55.0658,30.29,30.22,30.335,30.115,23893936,46.5895,31.08,30.89,31.08,30.8,28823589,46.3257,83.01,82.05,83.01,81.83,16058043,120.3714,46.695,46.25,46.695,46.16,26577676,59.5349,62.48,63.1,63.1,62.31,14460720,99.2945,31.905,32.365,32.375,31.7825,38217214,65.328,102.13,102.17,102.2899,101.4,6236522,137.0478,38.22,38.79,38.85,38.07,4380139,44.5256,63.455,63.105,63.455,62.86,12581374,81.2904,3257.85,3244.67,3258.14,3235.53,517131498,4804.7878,12.47,13.46,13.72,12.42,12.47,1.8771,1.9122,1.944,1.8491,1.8771,1.569,1.565,1.585,1.543,1.569,1.75,2.3,2.3,3.6,3.6,12.47,13.46,13.72,12.42,12.47,1.8771,1.9122,1.944,1.8491,1.8771,1.569,1.565,1.585,1.543,1.569,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/3,322.41,321.16,323.64,321.1,77783121,322.41,29.86,30.04,30.22,29.85,24846832,47.5872,53.91,53.67,54.2,53.56,2351385,54.7106,30.2,30.565,30.655,30.05,59031246,46.451,30.75,30.68,30.88,30.59,51384939,45.8339,82.85,82.06,82.95,81.99,17571308,120.1393,46.17,46.015,46.49,46.01,30024758,58.8655,62.38,62.25,62.65,62.0851,26388928,99.1355,31.97,31.93,32.085,31.855,35978504,65.4611,101.24,100.95,101.82,100.45,8247451,135.8535,38.5,37.99,38.585,37.97,3498976,44.8518,62.915,62.65,63.1,62.61,11192848,80.5986,3234.85,3226.36,3246.15,3222.34,509241848,4771.3693,14.02,15.01,16.2,13.13,14.02,1.7881,1.8404,1.8404,1.7846,1.7881,1.5246,1.5346,1.5527,1.5066,1.5246,1.75,2.3,2.3,3.6,3.6,14.02,15.01,16.2,13.13,14.02,1.7881,1.8404,1.8404,1.7846,1.7881,1.5246,1.5346,1.5527,1.5066,1.5246,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/6,323.64,320.49,323.73,320.36,55761948,323.64,29.73,29.775,29.915,29.705,31528728,47.38,54.63,53.61,54.67,53.6,2535880,55.4413,30.435,30.305,30.59,30.2,44921422,46.8125,30.73,30.47,30.75,30.46,27956661,45.8041,82.88,82.46,82.89,82.2731,16153206,120.1828,46.28,45.71,46.33,45.625,15631100,59.0058,62.51,62.29,62.59,62.18,22541708,99.3421,32,31.93,32.095,31.88,20889056,65.5226,101.87,100.78,101.9,100.75,6441759,136.6989,38.51,38.43,38.66,38.35,3097192,44.8635,63.09,62.455,63.105,62.375,12823140,80.8228,3246.28,3217.55,3246.84,3214.64,575576705,4788.2429,13.85,15.45,16.39,13.54,13.85,1.809,1.7655,1.8142,1.7586,1.809,1.5445,1.5106,1.5586,1.5086,1.5445,1.75,2.3,2.3,3.6,3.6,13.85,15.45,16.39,13.54,13.85,1.809,1.7655,1.8142,1.7586,1.809,1.5445,1.5106,1.5586,1.5086,1.5445,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/7,322.73,323.02,323.54,322.24,42854811,322.73,29.695,29.68,29.9,29.6,40534108,47.3242,54.7,54.69,54.91,54.51,2642767,55.5124,30.355,30.35,30.385,30,22986788,46.6894,30.53,30.66,30.71,30.53,39654652,45.506,82.71,82.57,83.02,82.29,16689119,119.9363,46.26,46.36,46.4875,46.19,15424262,58.9803,62.03,62.32,62.38,61.975,15609921,98.5793,31.955,31.92,31.97,31.775,26171922,65.4304,101.67,101.59,101.76,101.1,6336491,136.4305,38.09,38.4,38.4,37.885,3550992,44.3742,62.99,63.05,63.135,62.725,18302254,80.6947,3237.18,3241.86,3244.91,3232.43,499721948,4775.0671,13.79,13.84,14.46,13.39,13.79,1.8177,1.809,1.8265,1.7933,1.8177,1.5404,1.5425,1.5526,1.5283,1.5404,1.75,2.3,2.3,3.6,3.6,13.79,13.84,14.46,13.39,13.79,1.8177,1.809,1.8265,1.7933,1.8177,1.5404,1.5425,1.5526,1.5283,1.5404,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/8,324.45,322.94,325.78,322.67,68434153,324.45,29.8,29.7,29.92,29.6,16159200,47.4916,55.09,54.73,55.365,54.66,4161180,55.9082,29.855,30.325,30.36,29.815,38076166,45.9204,30.73,30.56,30.9,30.56,47982982,45.8041,82.99,82.77,83.36,82.625,10677738,120.3424,46.755,46.31,46.96,46.225,23266730,59.6114,62.26,62.08,62.52,61.96,11451390,98.9448,31.94,31.97,32.08,31.89,25483344,65.3997,102.33,101.72,102.785,101.68,7494732,137.3162,38.28,38.13,38.34,37.99,5089035,44.5955,63.18,62.935,63.525,62.875,9451944,80.9381,3253.05,3238.59,3267.07,3236.67,542641238,4798.6418,13.45,15.16,15.24,12.83,13.45,1.8738,1.7638,1.8755,1.7032,1.8738,1.5806,1.4841,1.5826,1.448,1.5806,1.75,2.3,2.3,3.6,3.6,13.45,15.16,15.24,12.83,13.45,1.8738,1.7638,1.8755,1.7032,1.8738,1.5806,1.4841,1.5826,1.448,1.5806,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/9,326.65,326.16,326.73,325.52,48569601,326.65,29.91,29.895,29.9625,29.8125,7572318,47.6669,55.38,55.53,55.555,55.0952,2297293,56.2025,30.075,29.84,30.1025,29.49,30735194,46.2588,30.92,30.95,30.975,30.83,27705899,46.0873,83.34,83.34,83.43,83.08,7407283,120.8499,47.285,47.185,47.315,46.945,15555456,60.2871,62.7,62.45,62.71,62.3,6854496,99.6441,32.115,31.9,32.15,31.895,23287112,65.758,102.77,102.64,103.05,102.42,6661046,137.9066,38.27,38.25,38.36,38.15,2885011,44.5839,63.515,63.515,63.745,63.355,7642992,81.3672,3274.7,3266.03,3275.58,3263.67,505064644,4831.843,12.54,12.95,13.24,12.53,12.54,1.8545,1.8685,1.8984,1.8475,1.8545,1.5785,1.5765,1.6027,1.5704,1.5785,1.75,2.3,2.3,3.6,3.6,12.54,12.95,13.24,12.53,12.54,1.8545,1.8685,1.8984,1.8475,1.8545,1.5785,1.5765,1.6027,1.5704,1.5785,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/10,325.71,327.2899,327.46,325.2,53057389,325.71,29.79,29.98,30.055,29.74,11274740,47.4756,55.16,55.59,55.59,55.08,1941803,55.9792,29.905,30.06,30.085,29.87,18302704,45.9973,30.69,30.94,30.95,30.65,33460368,45.7444,82.75,83.51,83.51,82.61,8857680,119.9943,47.175,47.49,47.5525,47.095,15332050,60.1469,62.66,62.76,62.845,62.58,7410845,99.5805,32.2,32.16,32.3125,32.145,21165868,65.9321,102.8,103.16,103.33,102.62,9300436,137.9469,38.64,38.35,38.651,38.265,6513184,45.0149,63.17,63.595,63.595,63.105,7407136,80.9253,3265.35,3281.81,3282.99,3260.86,453658958,4818.0586,12.56,12.42,12.87,12.09,12.56,1.8196,1.8545,1.8669,1.8143,1.8196,1.5702,1.5765,1.5886,1.556,1.5702,1.75,2.3,2.3,3.6,3.6,12.56,12.42,12.87,12.09,12.56,1.8196,1.8545,1.8669,1.8143,1.8196,1.5702,1.5765,1.5886,1.556,1.5702,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/13,327.95,326.39,327.96,325.92,47262010,327.95,30.175,29.815,30.185,29.785,8818614,48.0892,55.68,55.42,55.71,55.18,2853998,56.5069,29.915,29.86,30.0075,29.705,17559382,46.0127,30.9,30.76,30.93,30.68,27553174,46.0574,83.43,83.01,83.52,82.85,7893866,120.9804,47.765,47.39,47.82,47.365,15525896,60.8991,63.07,62.68,63.08,62.65,9625668,100.2321,32.395,32.19,32.49,32.19,25342184,66.3314,102.44,102.97,102.99,102.085,7621781,137.4638,39.11,38.66,39.11,38.6501,2988092,45.5625,63.37,63.3,63.47,63.12,6449030,81.1815,3288.13,3271.13,3288.13,3268.43,487943076,4851.6834,12.32,12.84,13.09,12.32,12.32,1.8459,1.8266,1.8564,1.8248,1.8459,1.5843,1.566,1.5883,1.566,1.5843,1.75,2.3,2.3,3.6,3.6,12.32,12.84,13.09,12.32,12.32,1.8459,1.8266,1.8564,1.8248,1.8459,1.5843,1.566,1.5883,1.566,1.5843,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/14,327.45,327.47,328.62,326.844,63036384,327.45,30.05,30.145,30.235,29.985,11010168,47.89,55.54,55.67,55.785,55.47,2909613,56.3649,29.92,29.85,29.955,29.655,34679744,46.0204,30.84,30.9,31.08,30.8,37576195,45.968,83.44,83.48,83.98,83.33,9649517,120.9949,47.54,47.825,47.87,47.4625,16137670,60.6122,63.09,62.99,63.12,62.91,7512310,100.2639,32.49,32.395,32.5,32.25,22990078,66.5259,103.06,102.13,103.08,101.95,7295065,138.2958,38.92,39.07,39.07,38.705,3720228,45.3411,63.35,63.27,63.5525,63.17,8681282,81.1559,3283.15,3285.35,3294.25,3277.19,557099156,4844.7996,12.39,12.72,13.82,12.05,12.39,1.8109,1.8476,1.8616,1.8091,1.8109,1.57,1.5843,1.5944,1.5639,1.57,1.75,2.3,2.3,3.6,3.6,12.39,12.72,13.82,12.05,12.39,1.8109,1.8476,1.8616,1.8091,1.8109,1.57,1.5843,1.5944,1.5639,1.57,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
2020/1/15,328.19,327.35,329.02,327.26,72056598,328.19,30.255,30.045,30.3941,30.04,7797096,48.2167,55.81,55.68,55.92,55.5931,2136763,56.6389,29.7,29.79,29.88,29.6125,21661608,45.682,30.67,30.69,30.79,30.57,41457270,45.7146,83.57,83.45,83.92,83.38,12014515,121.1834,47.595,47.57,47.825,47.4325,14417212,60.6824,63.54,63.04,63.67,63.01,12454341,100.979,32.945,32.56,32.9975,32.555,31772234,67.4575,103.95,103.18,104.22,103.1,7521760,139.4901,39.19,39.02,39.31,39.01,4468672,45.6557,63.205,63.175,63.425,63.05,6523734,80.9701,3289.29,3282.27,3298.66,3280.69,498362684,4853.9506,12.42,12.79,12.83,11.95,12.42,1.783,1.8039,1.8161,1.7777,1.783,1.5536,1.5619,1.5761,1.5516,1.5536,1.75,2.3,2.3,3.6,3.6,12.42,12.79,12.83,11.95,12.42,1.783,1.8039,1.8161,1.7777,1.783,1.5536,1.5619,1.5761,1.5516,1.5536,1.75,1.75,2.3,2.3,3.6,3.6,,,,,
