Dates,XLB US Equity PX_LAST,XLB US Equity PX_OPEN,XLB US Equity PX_HIGH,XLB US Equity PX_LOW,XLB US Equity PX_VOLUME,XLB US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLC US Equity PX_LAST,XLC US Equity PX_OPEN,XLC US Equity PX_HIGH,XLC US Equity PX_LOW,XLC US Equity PX_VOLUME,XLC US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLE US Equity PX_LAST,XLE US Equity PX_OPEN,XLE US Equity PX_HIGH,XLE US Equity PX_LOW,XLE US Equity PX_VOLUME,XLE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLF US Equity PX_LAST,XLF US Equity PX_OPEN,XLF US Equity PX_HIGH,XLF US Equity PX_LOW,XLF US Equity PX_VOLUME,XLF US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLI US Equity PX_LAST,XLI US Equity PX_OPEN,XLI US Equity PX_HIGH,XLI US Equity PX_LOW,XLI US Equity PX_VOLUME,XLI US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLK US Equity PX_LAST,XLK US Equity PX_OPEN,XLK US Equity PX_HIGH,XLK US Equity PX_LOW,XLK US Equity PX_VOLUME,XLK US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLP US Equity PX_LAST,XLP US Equity PX_OPEN,XLP US Equity PX_HIGH,XLP US Equity PX_LOW,XLP US Equity PX_VOLUME,XLP US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLU US Equity PX_LAST,XLU US Equity PX_OPEN,XLU US Equity PX_HIGH,XLU US Equity PX_LOW,XLU US Equity PX_VOLUME,XLU US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLV US Equity PX_LAST,XLV US Equity PX_OPEN,XLV US Equity PX_HIGH,XLV US Equity PX_LOW,XLV US Equity PX_VOLUME,XLV US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLRE US Equity PX_LAST,XLRE US Equity PX_OPEN,XLRE US Equity PX_HIGH,XLRE US Equity PX_LOW,XLRE US Equity PX_VOLUME,XLRE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLY US Equity PX_LAST,XLY US Equity PX_OPEN,XLY US Equity PX_HIGH,XLY US Equity PX_LOW,XLY US Equity PX_VOLUME,XLY US Equity TOT_RETURN_INDEX_GROSS_DVDS,SPX Index PX_LAST,SPX Index PX_OPEN,SPX Index PX_HIGH,SPX Index PX_LOW,SPX Index PX_VOLUME,SPX Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST,VIX Index PX_OPEN,VIX Index PX_HIGH,VIX Index PX_LOW,VIX Index TOT_RETURN_INDEX_GROSS_DVDS,USGG10YR Index PX_LAST,USGG11YR Index PX_OPEN,USGG12YR Index PX_HIGH,USGG13YR Index PX_LOW,USGG14YR Index TOT_RETURN_INDEX_GROSS_DVDS,USGG2YR Index PX_LAST,USGG3YR Index PX_OPEN,USGG4YR Index PX_HIGH,USGG5YR Index PX_LOW,USGG6YR Index TOT_RETURN_INDEX_GROSS_DVDS,FDTR Index PX_LAST,CPI YOY Index PX_LAST,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS,USURTOT Index PX_LAST,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST,VIX Index PX_OPEN,VIX Index PX_HIGH,VIX Index PX_LOW,VIX Index TOT_RETURN_INDEX_GROSS_DVDS,USGG10YR Index PX_LAST,USGG11YR Index PX_OPEN,USGG12YR Index PX_HIGH,USGG13YR Index PX_LOW,USGG14YR Index TOT_RETURN_INDEX_GROSS_DVDS,USGG2YR Index PX_LAST,USGG3YR Index PX_OPEN,USGG4YR Index PX_HIGH,USGG5YR Index PX_LOW,USGG6YR Index TOT_RETURN_INDEX_GROSS_DVDS,FDTR Index PX_LAST,FDTR Index TOT_RETURN_INDEX_GROSS_DVDS,CPI YOY Index PX_LAST,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS,USURTOT Index PX_LAST,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS
2021/3/1,37.705,37.26,37.905,37.26,15016218,61.4472,73.4,72.52,73.6,72.22,4196107,75.1298,24.7,24.71,25.04,24.53,69391580,40.6164,33.32,32.86,33.52,32.86,67590704,50.9865,92.93,91.93,93.62,91.8,11494283,137.5716,67.45,66.455,67.49,66.0351,24775218,87.0761,63.94,63.75,64.46,63.73,11264333,104.5088,29.825,29.55,30.1575,29.545,31430000,63.298,114.08,113.53,114.61,113.5,7361855,155.7943,37.38,37.76,38.02,37.375,4505641,45.0872,82.465,81.575,82.6075,81.42,8700528,106.8294,3901.82,3842.51,3914.5,3842.51,633792527,5873.5401,23.35,25.2,25.39,23.17,23.35,1.417,1.3912,1.4582,1.3776,1.417,0.1191,0.1211,0.1368,0.1152,0.1191,0.25,1.7,1.7,6.2,6.2,23.35,25.2,25.39,23.17,23.35,1.417,1.3912,1.4582,1.3776,1.417,0.1191,0.1211,0.1368,0.1152,0.1191,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/2,37.915,37.815,38.26,37.79,15129708,61.7894,72.86,73.42,73.87,72.81,4647775,74.5771,24.565,24.79,24.99,24.55,74468188,40.3944,33.2,33.28,33.47,33.17,49987015,50.8029,92.66,92.98,93.125,92.26,11530656,137.1719,66.38,67.545,67.59,66.2825,24802868,85.6948,63.83,63.87,64.32,63.8,12942748,104.329,29.735,29.87,29.9475,29.5675,29306710,63.107,113.75,114.32,114.59,113.64,8456128,155.3436,37.15,37.4,37.42,36.85,7482659,44.8098,81.515,82.58,82.76,81.475,6622460,105.5987,3870.29,3903.64,3906.41,3868.57,633092916,5826.1054,24.1,23.58,24.6,22.8,24.1,1.3914,1.4204,1.4514,1.388,1.3914,0.1211,0.1191,0.1289,0.1132,0.1211,0.25,1.7,1.7,6.2,6.2,24.1,23.58,24.6,22.8,24.1,1.3914,1.4204,1.4514,1.388,1.3914,0.1211,0.1191,0.1289,0.1132,0.1211,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/3,37.54,37.775,38.045,37.535,17340898,61.1783,71.82,72.77,73.095,71.64,4724266,73.5126,24.925,24.745,25.49,24.74,82574436,40.9864,33.46,33.33,33.955,33.29,72541660,51.2007,92.76,92.74,93.85,92.53,17497797,137.3199,64.71,66.06,66.25,64.64,29889504,83.5389,63.53,63.66,64.025,63.49,13450882,103.8387,29.385,29.69,29.69,29.135,45849798,62.3642,112.31,113.33,113.45,112.045,14946770,153.3771,36.69,37.15,37.15,36.635,7743558,44.255,79.6,81.355,81.68,79.6,11125684,103.1179,3819.72,3863.99,3874.47,3818.86,684624424,5750.289,26.67,22.8,26.79,22.45,26.67,1.4808,1.3982,1.4946,1.3965,1.4808,0.1407,0.1191,0.1447,0.1191,0.1407,0.25,1.7,1.7,6.2,6.2,26.67,22.8,26.79,22.45,26.67,1.4808,1.3982,1.4946,1.3965,1.4808,0.1407,0.1191,0.1447,0.1191,0.1407,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/4,36.81,37.48,37.63,36.17,37034706,59.9886,71.69,71.81,73.15,70.81,8581055,73.3795,25.52,25.15,25.98,24.915,107573830,41.9648,33.08,33.37,33.689,32.6,101311814,50.6192,91.28,92.89,93.23,89.85,27730402,135.1289,63.28,64.51,64.98,62.48,76955518,81.6928,63.3,63.66,64.43,62.99,25968678,103.4628,29.36,29.405,29.9075,29.2,44172614,62.3111,110.8,112.06,112.8,109.93,23441748,151.3149,36.42,36.81,37.12,36.07,11162910,43.9293,77.915,79.63,80.15,76.42,18469646,100.9351,3768.47,3818.53,3843.67,3723.34,851214121,5674.1319,28.57,26.52,31.9,24.93,28.57,1.564,1.4825,1.5675,1.4481,1.564,0.1447,0.1407,0.1486,0.1329,0.1447,0.25,1.7,1.7,6.2,6.2,28.57,26.52,31.9,24.93,28.57,1.564,1.4825,1.5675,1.4481,1.564,0.1447,0.1407,0.1486,0.1329,0.1447,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/5,37.655,37.19,37.78,36.41,23513650,61.3657,73.37,72.3,73.59,71.39,11937347,75.0991,26.475,26.245,26.535,25.59,112395764,43.5352,33.71,33.64,33.795,32.78,109299834,51.5833,93.44,92.15,93.75,90.27,22816324,138.3266,64.475,64.07,64.655,62.355,46085774,83.2355,64.7,63.57,64.89,63.325,21719456,105.751,29.84,29.485,29.98,29.225,33606684,63.3298,113.02,111.45,113.38,110.55,15645239,154.3467,36.84,36.7,37,35.89,9431770,44.4359,78.41,78.505,78.64,74.825,20627008,101.5764,3841.94,3793.58,3851.69,3730.19,829073409,5784.9997,24.66,29.48,30.03,24.33,24.66,1.5661,1.564,1.6238,1.5331,1.5661,0.1369,0.1447,0.1527,0.1309,0.1369,0.25,1.7,1.7,6.2,6.2,24.66,29.48,30.03,24.33,24.66,1.5661,1.564,1.6238,1.5331,1.5661,0.1369,0.1447,0.1527,0.1309,0.1369,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/8,38.16,37.78,38.73,37.7125,29673008,62.1887,72.39,73.43,73.87,72.34,8331951,74.096,26.525,26.735,26.875,26.14,100610096,43.6174,34.14,33.96,34.58,33.82,90538153,52.2412,94.42,94.07,95.89,93.81,16782386,139.7773,62.915,64.415,64.725,62.85,35242424,81.2216,64.98,64.72,65.67,64.61,18946972,106.2087,30.26,29.925,30.5225,29.845,38424216,64.2212,112.74,113.11,114.525,112.6,12691821,153.9643,37.02,36.93,37.48,36.67,5381455,44.653,78.505,78.725,80.11,78.37,12536166,101.6994,3821.35,3844.39,3881.06,3819.25,756663265,5754.0623,25.47,27.61,28.39,24.07,25.47,1.5907,1.594,1.6116,1.5731,1.5907,0.1626,0.1448,0.1646,0.1428,0.1626,0.25,1.7,1.7,6.2,6.2,25.47,27.61,28.39,24.07,25.47,1.5907,1.594,1.6116,1.5731,1.5907,0.1626,0.1448,0.1646,0.1428,0.1626,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/9,38.395,38.415,38.705,38.135,15732812,62.5717,73.2,73.55,73.83,73.01,8758085,74.9251,26.06,26.375,26.7558,25.8738,118889538,42.8528,33.83,33.87,34.3291,33.5201,117224570,51.7669,94.03,94.9,95.385,94.02,12485073,139.2,65.055,64.385,65.455,64.3,22987282,83.9842,64.92,65.2,65.51,64.87,17259567,106.1106,30.66,30.425,30.76,30.3825,22224764,65.0701,113.4,113.57,115.2,113.35,11022343,154.8657,37.44,37.21,37.695,37.21,4163396,45.1596,81.47,80.065,81.9975,79.655,18614386,105.5404,3875.44,3851.93,3903.76,3851.93,709867490,5836.0406,24.03,25.11,25.25,22.9,24.03,1.5263,1.5889,1.5924,1.5211,1.5263,0.1607,0.1626,0.1667,0.1548,0.1607,0.25,1.7,1.7,6.2,6.2,24.03,25.11,25.25,22.9,24.03,1.5263,1.5889,1.5924,1.5211,1.5263,0.1607,0.1626,0.1667,0.1548,0.1607,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/10,39.03,38.585,39.335,38.56,14337250,63.6065,73.51,74.11,74.11,73.13,5704604,75.2424,26.72,26.1,26.81,25.975,78416538,43.9381,34.52,33.99,34.65,33.93,73269273,52.8227,95.42,94.29,95.91,94.16,17276218,141.2577,64.795,65.755,65.765,64.745,18458980,83.6486,65.77,64.97,66.055,64.76,15827666,107.4999,30.87,30.65,30.965,30.565,27421438,65.5158,113.66,114.15,114.8,113.62,11641102,155.2207,37.81,37.48,38.04,37.38,4908363,45.6059,81.885,82.54,82.995,81.305,14245800,106.078,3898.81,3891.99,3917.35,3885.73,670320910,5871.5545,22.56,23.76,23.87,22.38,22.56,1.5178,1.5229,1.5647,1.5039,1.5178,0.1528,0.1548,0.1687,0.1508,0.1528,0.25,1.7,1.7,6.2,6.2,22.56,23.76,23.87,22.38,22.56,1.5178,1.5229,1.5647,1.5039,1.5178,0.1528,0.1548,0.1687,0.1508,0.1528,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/11,39.24,39.39,39.555,39.215,9525044,63.9488,74.9,74.23,75.355,74.07,3257114,76.6652,26.73,26.775,27.1825,26.67,50797398,43.9545,34.42,34.34,34.69,34.14,50904816,52.6697,95.49,95.7,96.31,94.92,12211107,141.3613,66.18,65.77,66.5897,65.63,13362854,85.4366,65.61,65.84,66.04,65.54,12386463,107.2384,30.79,30.815,31.1775,30.775,17168866,65.346,114.35,114.05,114.98,113.89,6549499,156.163,38.37,37.92,38.65,37.825,4092682,46.2813,83.14,83,83.46,82.51,8458470,107.7038,3939.34,3915.54,3960.27,3915.54,633849717,5932.9952,21.91,22.5,22.5,21.45,21.91,1.537,1.5212,1.5457,1.4729,1.537,0.1389,0.1528,0.1568,0.1369,0.1389,0.25,1.7,1.7,6.2,6.2,21.91,22.5,22.5,21.45,21.91,1.537,1.5212,1.5457,1.4729,1.537,0.1389,0.1528,0.1568,0.1369,0.1389,0.25,0.25,1.7,1.7,6.2,6.2
2021/3/12,39.345,39.235,39.37,39.13,9627818,64.1199,74.69,74.3,74.79,74.04,3106589,76.4503,26.785,26.78,27.0247,26.5825,59786740,44.045,34.77,34.82,34.9499,34.66,68125959,53.2053,96.77,95.84,96.845,95.75,10112770,143.2562,65.705,65.39,65.725,64.97,12442146,84.8234,66.15,65.85,66.235,65.795,10518244,108.121,31.205,30.925,31.3,30.78,20043816,66.2268,114.6,114.11,114.76,113.93,7452438,156.5045,39.03,38.33,39.03,38.31,3621596,47.0774,83.385,82.26,83.3875,82.03,8343382,108.0212,3943.34,3924.52,3944.99,3915.21,590613509,5940.4641,20.69,22.57,22.99,20.63,20.69,1.6247,1.5387,1.6405,1.53,1.6247,0.147,0.1389,0.159,0.1389,0.147,0.25,1.7,1.7,6.2,6.2,20.69,22.57,22.99,20.63,20.69,1.6247,1.5387,1.6405,1.53,1.6247,0.147,0.1389,0.159,0.1389,0.147,0.25,0.25,1.7,1.7,6.2,6.2
