feature,gain_importance,split_importance
idio_vol_60d,1.67253183061257,233
beta_60d,1.172655030619353,145
dvol_z_60d,0.9909927113913,142
spy_vol_60d,0.7641552984714508,115
rs_spy_20d,0.7507478614570573,124
rs_spy_60d,0.7483158721588552,132
ust10y_level,0.7468970031477511,115
log_dvol_60d,0.7129294812912121,128
skew_60d,0.7085860288934782,103
mom_240_20,0.6019764298107475,99
vol_60d,0.5662089500110596,103
disp_60d,0.5623464196687564,102
vol_20d,0.5168480692664161,87
d_ust10y_20d,0.475830182665959,79
ust10y_z_60d,0.4425497001502663,69
ret_120d,0.4369369412306696,68
spy_ret_20d,0.4002256679814309,59
vol_ratio_20_60,0.3590421602129936,54
spy_dd_252d,0.3403013495262712,56
dd_252d,0.3346381598385051,62
inter_vixz_x_mom60d,0.2601081214379519,49
ret_20d,0.25247397110797465,40
ma_dist_60d,0.25041551142930984,48
inter_dust10y_x_beta60d,0.2053849301300943,42
ret_60d,0.19345038873143494,37
inter_disp20_x_mom60d,0.1789264299441129,30
d_vix_20d,0.15603959967847914,29
vix_level,0.15333713975269347,30
ma_dist_20d,0.15135989128611982,30
disp_5d,0.13645613053813577,25
vix_z_60d,0.12714777886867523,23
ret_5d,0.11548773804679513,24
disp_20d,0.09804982016794384,21
ret_1d,0.07609965861774981,18
is_XLC,0.020569139160215855,4
is_XLK,0.0176423501688987,4
is_XLB,0.012801859993487597,5
is_XLE,0.010504069970920682,3
is_XLU,0.00889431033283472,2
is_XLI,0.0031463000923395157,1
is_XLF,0.0,0
is_XLV,0.0,0
is_XLRE,0.0,0
is_XLP,0.0,0
is_XLY,0.0,0
